ENSPSTP00000011184	ENSPSTG00000007668	pavo_cristatus
ENSBTAP00000037611	ENSBTAG00000020102	bos_taurus
ENSBIXP00005000008	ENSBIXG00005030812	bos_indicus_hybrid
ENSBIXP00000022806	ENSBIXG00000025602	bos_taurus_hybrid
ENSBMUP00000020038	ENSBMUG00000015108	bos_mutus
ENSBGRP00000005527	ENSBGRG00000003384	bos_grunniens
ENSOARP00020022092	ENSOARG00020017175	ovis_aries_rambouillet
ENSOARP00000008621	ENSOARG00000008024	ovis_aries
ENSCHIP00000027412	ENSCHIG00000023334	capra_hircus
ENSCHIP00010042856	ENSCHIG00010031156	capra_hircus_blackbengal
ENSMMSP00000012449	ENSMMSG00000009498	moschus_moschiferus
ENSTTRP00000002340	ENSTTRG00000002497	tursiops_truncatus
ENSDLEP00000015434	ENSDLEG00000011365	delphinapterus_leucas
ENSMMNP00015007886	ENSMMNG00015005850	monodon_monoceros
ENSPSNP00000000014	ENSPSNG00000000007	phocoena_sinus
ENSPCTP00005011945	ENSPCTG00005008456	physeter_catodon
ENSBMSP00010004648	ENSBMSG00010003417	balaenoptera_musculus
ENSECAP00000020293	ENSECAG00000022132	equus_caballus
ENSEASP00005010219	ENSEASG00005007259	equus_asinus_asinus
ENSPTIP00000007801	ENSPTIG00000009325	panthera_tigris_altaica
ENSPPRP00000025348	ENSPPRG00000015623	panthera_pardus
ENSPLOP00000011675	ENSPLOG00000008492	panthera_leo
ENSLCNP00005020553	ENSLCNG00005013411	lynx_canadensis
ENSFCAP00000020185	ENSFCAG00000026563	felis_catus
ENSSSUP00005009797	ENSSSUG00005006307	suricata_suricatta
ENSZCAP00015001023	ENSZCAG00015000727	zalophus_californianus
ENSUTTP00000009250	ENSUTTG00000005815	ursus_thibetanus_thibetanus
ENSUAMP00000026275	ENSUAMG00000020371	ursus_americanus
ENSAMEP00000015553	ENSAMEG00000014652	ailuropoda_melanoleuca
ENSNVIP00000029298	ENSNVIG00000022572	neovison_vison
ENSMPUP00000015852	ENSMPUG00000015957	mustela_putorius_furo
ENSVVUP00000036072	ENSVVUG00000025905	vulpes_vulpes
ENSCAFP00020024948	ENSCAFG00020019592	canis_lupus_dingo
ENSCAFP00000021576	ENSCAFG00000023528	canis_lupus_familiaris
ENSCAFP00040003574	ENSCAFG00040002197	canis_lupus_familiarisgreatdane
ENSCAFP00030003211	ENSCAFG00030001986	canis_lupus_familiarisbasenji
ENSTBEP00000002632	ENSTBEG00000003026	tupaia_belangeri
ENSNLEP00000028588	ENSNLEG00000008246	nomascus_leucogenys
ENSPPYP00000002027	ENSPPYG00000001751	pongo_abelii
ENSPPAP00000035981	ENSPPAG00000040764	pan_paniscus
ENSPTRP00000000553	ENSPTRG00000000316	pan_troglodytes
ENSP00000166244	ENSG00000070886	homo_sapiens
ENSGGOP00000009786	ENSGGOG00000010020	gorilla_gorilla
ENSRROP00000028217	ENSRROG00000037891	rhinopithecus_roxellana
ENSRBIP00000036869	ENSRBIG00000042028	rhinopithecus_bieti
ENSCANP00000033340	ENSCANG00000040319	colobus_angolensis_palliatus
ENSPTEP00000009503	ENSPTEG00000010772	piliocolobus_tephrosceles
ENSCATP00000016908	ENSCATG00000032359	cercocebus_atys
ENSMLEP00000004526	ENSMLEG00000020464	mandrillus_leucophaeus
ENSMNEP00000003529	ENSMNEG00000016192	macaca_nemestrina
ENSMFAP00000006648	ENSMFAG00000037600	macaca_fascicularis
ENSMMUP00000027314	ENSMMUG00000020754	macaca_mulatta
ENSTGEP00000003776	ENSTGEG00000003188	theropithecus_gelada
ENSPANP00000005513	ENSPANG00000018751	papio_anubis
ENSCSAP00000017095	ENSCSAG00000000912	chlorocebus_sabaeus
ENSCJAP00000010755	ENSCJAG00000005832	callithrix_jacchus
ENSCCAP00000036785	ENSCCAG00000036287	cebus_capucinus
ENSSBOP00000011596	ENSSBOG00000022604	saimiri_boliviensis_boliviensis
ENSANAP00000000499	ENSANAG00000004229	aotus_nancymaae
ENSPSMP00000005870	ENSPSMG00000004467	prolemur_simus
ENSPCOP00000017743	ENSPCOG00000020705	propithecus_coquereli
ENSMICP00000004605	ENSMICG00000005047	microcebus_murinus
ENSOGAP00000004291	ENSOGAG00000004798	otolemur_garnettii
ENSTSYP00000015908	ENSTSYG00000026360	carlito_syrichta
ENSOPRP00000002903	ENSOPRG00000003146	ochotona_princeps
ENSOCUP00000012994	ENSOCUG00000015119	oryctolagus_cuniculus
ENSDORP00000013675	ENSDORG00000014542	dipodomys_ordii
ENSCCNP00000010559	ENSCCNG00000011011	castor_canadensis
ENSJJAP00000012309	ENSJJAG00000015371	jaculus_jaculus
ENSRNOP00000017559	ENSRNOG00000013036	rattus_norvegicus
MGP_PahariEiJ_P0080376	MGP_PahariEiJ_G0029004	mus_pahari
ENSMSIP00000005795	ENSMSIG00000005187	mus_spicilegus
ENSMUSP00000030420	ENSMUSG00000028661	mus_musculus
MGP_SPRETEiJ_P0067840	MGP_SPRETEiJ_G0027651	mus_spretus
MGP_CAROLIEiJ_P0065291	MGP_CAROLIEiJ_G0026671	mus_caroli
ENSMUGP00000024378	ENSMUGG00000020352	meriones_unguiculatus
ENSPEMP00000012122	ENSPEMG00000012548	peromyscus_maniculatus_bairdii
ENSMAUP00000024034	ENSMAUG00000021011	mesocricetus_auratus
ENSCGRP00001027161	ENSCGRG00001024240	cricetulus_griseus_chok1gshd
ENSCGRP00015028148	ENSCGRG00015021311	cricetulus_griseus_picr
ENSCGRP00000024690	ENSCGRG00000017892	cricetulus_griseus_crigri
ENSMOCP00000025773	ENSMOCG00000021776	microtus_ochrogaster
ENSNGAP00000015304	ENSNGAG00000016355	nannospalax_galili
ENSSVLP00005007356	ENSSVLG00005005942	sciurus_vulgaris
ENSSTOP00000029794	ENSSTOG00000008929	ictidomys_tridecemlineatus
ENSUPAP00010026317	ENSUPAG00010020808	urocitellus_parryii
ENSFDAP00000014166	ENSFDAG00000001268	fukomys_damarensis
ENSHGLP00000013821	ENSHGLG00000009876	heterocephalus_glaber_female
ENSHGLP00100011040	ENSHGLG00100008207	heterocephalus_glaber_male
ENSCAPP00000016595	ENSCAPG00000016443	cavia_aperea
ENSCPOP00000019022	ENSCPOG00000021134	cavia_porcellus
ENSODEP00000019800	ENSODEG00000014623	octodon_degus
ENSCLAP00000021199	ENSCLAG00000014518	chinchilla_lanigera
ENSDNOP00000027660	ENSDNOG00000038585	dasypus_novemcinctus
ENSPCAP00000001169	ENSPCAG00000001198	procavia_capensis
ENSLAFP00000010004	ENSLAFG00000011971	loxodonta_africana
ENSETEP00000009249	ENSETEG00000011402	echinops_telfairi
ENSOANP00000042806	ENSOANG00000048103	ornithorhynchus_anatinus
ENSLLEP00000017889	ENSLLEG00000011398	leptobrachium_leishanense
ENSXETP00000041112	ENSXETG00000026412	xenopus_tropicalis
ENSLACP00000003231	ENSLACG00000002888	latimeria_chalumnae
ENSLACP00000013164	ENSLACG00000011594	latimeria_chalumnae
ENSOABP00000032036	ENSOABG00000014782	oreochromis_aureus
ENSECRP00000013825	ENSECRG00000008414	erpetoichthys_calabaricus
ENSLOCP00000000891	ENSLOCG00000000766	lepisosteus_oculatus
ENSCMIP00000016693	ENSCMIG00000007931	callorhinchus_milii
