ENSCSAVP00000006363	ENSCSAVG00000003807	ciona_savignyi
ENSSSUP00005034120	ENSSSUG00005021825	suricata_suricatta
ENSPTIP00000009104	ENSPTIG00000010193	panthera_tigris_altaica
ENSPLOP00000027240	ENSPLOG00000019607	panthera_leo
ENSPPRP00000012662	ENSPPRG00000006220	panthera_pardus
ENSFCAP00000002604	ENSFCAG00000002830	felis_catus
ENSLCNP00005034818	ENSLCNG00005022599	lynx_canadensis
ENSEASP00005006272	ENSEASG00005004648	equus_asinus_asinus
ENSECAP00000014782	ENSECAG00000016566	equus_caballus
ENSEEUP00000005319	ENSEEUG00000005759	erinaceus_europaeus
ENSSARP00000006741	ENSSARG00000007431	sorex_araneus
ENSSVLP00005030560	ENSSVLG00005023870	sciurus_vulgaris
ENSUPAP00010010032	ENSUPAG00010008055	urocitellus_parryii
ENSSTOP00000030617	ENSSTOG00000010659	ictidomys_tridecemlineatus
ENSSDAP00000023904	ENSSDAG00000021679	spermophilus_dauricus
ENSMMMP00000010319	ENSMMMG00000009044	marmota_marmota_marmota
ENSODEP00000003266	ENSODEG00000002511	octodon_degus
ENSCPOP00000008890	ENSCPOG00000009907	cavia_porcellus
ENSCAPP00000018315	ENSCAPG00000017746	cavia_aperea
ENSCLAP00000003072	ENSCLAG00000002200	chinchilla_lanigera
ENSHGLP00100002207	ENSHGLG00100001724	heterocephalus_glaber_male
ENSHGLP00000024432	ENSHGLG00000017418	heterocephalus_glaber_female
ENSHGLP00000000242	ENSHGLG00000000247	heterocephalus_glaber_female
ENSFDAP00000003370	ENSFDAG00000012849	fukomys_damarensis
ENSNGAP00000019881	ENSNGAG00000019538	nannospalax_galili
ENSPEMP00000000822	ENSPEMG00000000588	peromyscus_maniculatus_bairdii
ENSMAUP00000020609	ENSMAUG00000018555	mesocricetus_auratus
ENSCGRP00000012150	ENSCGRG00000008847	cricetulus_griseus_crigri
ENSCGRP00015023329	ENSCGRG00015017621	cricetulus_griseus_picr
ENSCGRP00001018823	ENSCGRG00001018441	cricetulus_griseus_chok1gshd
ENSMOCP00000019267	ENSMOCG00000017310	microtus_ochrogaster
ENSMSIP00000002392	ENSMSIG00000002054	mus_spicilegus
MGP_SPRETEiJ_P0065453	MGP_SPRETEiJ_G0027133	mus_spretus
ENSMUSP00000099862	ENSMUSG00000006386	mus_musculus
MGP_CAROLIEiJ_P0062968	MGP_CAROLIEiJ_G0026167	mus_caroli
MGP_PahariEiJ_P0078097	MGP_PahariEiJ_G0028504	mus_pahari
ENSRNOP00000036086	ENSRNOG00000008587	rattus_norvegicus
ENSMUGP00000025433	ENSMUGG00000021205	meriones_unguiculatus
ENSMUGP00000024273	ENSMUGG00000020220	meriones_unguiculatus
ENSJJAP00000017741	ENSJJAG00000019197	jaculus_jaculus
ENSCCNP00000024645	ENSCCNG00000024073	castor_canadensis
ENSDORP00000023908	ENSDORG00000010652	dipodomys_ordii
ENSOCUP00000015174	ENSOCUG00000017666	oryctolagus_cuniculus
ENSOPRP00000006576	ENSOPRG00000007159	ochotona_princeps
ENSTBEP00000004017	ENSTBEG00000004627	tupaia_belangeri
ENSPSMP00000015908	ENSPSMG00000011306	prolemur_simus
ENSMICP00000020097	ENSMICG00000009269	microcebus_murinus
ENSPCOP00000008595	ENSPCOG00000015584	propithecus_coquereli
ENSOGAP00000014994	ENSOGAG00000016749	otolemur_garnettii
ENSTSYP00000019915	ENSTSYG00000013107	carlito_syrichta
ENSNLEP00000019785	ENSNLEG00000016282	nomascus_leucogenys
ENSPPYP00000021466	ENSPPYG00000019158	pongo_abelii
ENSGGOP00000015545	ENSGGOG00000015924	gorilla_gorilla
ENSP00000369375	ENSG00000120156	homo_sapiens
ENSPTRP00000070015	ENSPTRG00000020835	pan_troglodytes
ENSPPAP00000022335	ENSPPAG00000034261	pan_paniscus
ENSCANP00000035303	ENSCANG00000041329	colobus_angolensis_palliatus
ENSCANP00000018258	ENSCANG00000032586	colobus_angolensis_palliatus
ENSPTEP00000014190	ENSPTEG00000015818	piliocolobus_tephrosceles
ENSRROP00000010023	ENSRROG00000029405	rhinopithecus_roxellana
ENSRBIP00000028436	ENSRBIG00000038089	rhinopithecus_bieti
ENSCSAP00000006021	ENSCSAG00000009773	chlorocebus_sabaeus
ENSTGEP00000015300	ENSTGEG00000012387	theropithecus_gelada
ENSPANP00000019170	ENSPANG00000025275	papio_anubis
ENSMFAP00000027377	ENSMFAG00000045003	macaca_fascicularis
ENSMNEP00000025847	ENSMNEG00000036308	macaca_nemestrina
ENSMMUP00000007986	ENSMMUG00000006080	macaca_mulatta
ENSCATP00000019991	ENSCATG00000033710	cercocebus_atys
ENSMLEP00000029281	ENSMLEG00000038804	mandrillus_leucophaeus
ENSCJAP00000034130	ENSCJAG00000018394	callithrix_jacchus
ENSSBOP00000017841	ENSSBOG00000025527	saimiri_boliviensis_boliviensis
ENSCCAP00000030467	ENSCCAG00000033237	cebus_capucinus
ENSANAP00000026943	ENSANAG00000031203	aotus_nancymaae
ENSNPEP00000021075	ENSNPEG00000015640	nothoprocta_perdicaria
ENSNPEP00000021076	ENSNPEG00000015641	nothoprocta_perdicaria
ENSSCUP00000004145	ENSSCUG00000003132	struthio_camelus_australis
ENSSCUP00000004142	ENSSCUG00000003129	struthio_camelus_australis
ENSDNVP00000001990	ENSDNVG00000001435	dromaius_novaehollandiae
ENSAHAP00000014074	ENSAHAG00000010115	apteryx_haastii
ENSAHAP00000014052	ENSAHAG00000010099	apteryx_haastii
ENSAOWP00000018765	ENSAOWG00000012753	apteryx_owenii
ENSARWP00000012340	ENSARWG00000008539	apteryx_rowi
ENSFTIP00000007544	ENSFTIG00000005012	falco_tinnunculus
ENSCPUP00000020078	ENSCPUG00000013745	calidris_pugnax
ENSCPGP00000011591	ENSCPGG00000008251	calidris_pygmaea
ENSOSUP00000000237	ENSOSUG00000000198	otus_sunia
ENSBOBP00000016099	ENSBOBG00000010014	bubo_bubo
ENSSOCP00000015588	ENSSOCG00000011719	strix_occidentalis_caurina
ENSSOCP00000015534	ENSSOCG00000011675	strix_occidentalis_caurina
ENSACUP00000020019	ENSACUG00000013395	athene_cunicularia
ENSANIP00000007837	ENSANIG00000005315	accipiter_nisus
ENSBJAP00000014837	ENSBJAG00000009324	buteo_japonicus
ENSACCP00020017390	ENSACCG00020011937	aquila_chrysaetos_chrysaetos
ENSMUNP00000005174	ENSMUNG00000004269	melopsittacus_undulatus
ENSSHBP00005023330	ENSSHBG00005019564	strigops_habroptila
ENSACOP00000020180	ENSACOG00000013351	amazona_collaria
ENSMVIP00005028385	ENSMVIG00005019766	manacus_vitellinus
ENSLCOP00000020302	ENSLCOG00000014393	lepidothrix_coronata
ENSMCSP00000008842	ENSMCSG00000006091	malurus_cyaneus_samueli
ENSCMUP00000025943	ENSCMUG00000015734	corvus_moneduloides
ENSCCEP00000015279	ENSCCEG00000014476	cyanistes_caeruleus
ENSPMJP00000005723	ENSPMJG00000004938	parus_major
ENSZALP00000020007	ENSZALG00000015794	zonotrichia_albicollis
ENSGFOP00000018121	ENSGFOG00000012222	geospiza_fortis
ENSCPVP00000015949	ENSCPVG00000011632	camarhynchus_parvulus
ENSSCAP00000015027	ENSSCAG00000011019	serinus_canaria
ENSLSDP00000009526	ENSLSDG00000007081	lonchura_striata_domestica
ENSTGUP00000001438	ENSTGUG00000001382	taeniopygia_guttata
ENSEGOP00005020764	ENSEGOG00005016648	erythrura_gouldiae
ENSZLMP00000004729	ENSZLMG00000003382	zosterops_lateralis_melanops
ENSZLMP00000004718	ENSZLMG00000003365	zosterops_lateralis_melanops
ENSCRFP00000004303	ENSCRFG00000003492	stachyris_ruficeps
ENSFALP00000007656	ENSFALG00000007333	ficedula_albicollis
ENSCUSP00005008548	ENSCUSG00005005342	catharus_ustulatus
ENSGALP00000072046	ENSGALG00000001840	gallus_gallus
ENSCPIP00010010656	ENSCPIG00010008267	chrysolophus_pictus
ENSPCLP00000014703	ENSPCLG00000012037	phasianus_colchicus
ENSPSTP00000018938	ENSPSTG00000013542	pavo_cristatus
ENSCJPP00005003460	ENSCJPG00005003628	coturnix_japonica
ENSNMEP00000010728	ENSNMEG00000009892	numida_meleagris
ENSMGAP00000008930	ENSMGAG00000008692	meleagris_gallopavo
ENSAPLP00000012690	ENSAPLG00000012815	anas_platyrhynchos_platyrhynchos
ENSAPLP00020010343	ENSAPLG00020007611	anas_platyrhynchos
ENSAZOP00000018518	ENSAZOG00000012032	anas_zonorhyncha
ENSCMMP00000014829	ENSCMMG00000009436	cairina_moschata_domestica
ENSACDP00005014302	ENSACDG00005010498	anser_cygnoides
ENSABRP00000017067	ENSABRG00000014754	anser_brachyrhynchus
ENSSCUP00000014974	ENSSCUG00000011030	struthio_camelus_australis
ENSCPRP00005022049	ENSCPRG00005015360	crocodylus_porosus
ENSCPRP00005022043	ENSCPRG00005015348	crocodylus_porosus
ENSPCEP00000009502	ENSPCEG00000007576	pelusios_castaneus
ENSCSRP00000005514	ENSCSRG00000004143	chelydra_serpentina
ENSTMTP00000016432	ENSTMTG00000011395	terrapene_carolina_triunguis
ENSTMTP00000032113	ENSTMTG00000022996	terrapene_carolina_triunguis
ENSCPBP00000010291	ENSCPBG00000007922	chrysemys_picta_bellii
ENSCABP00000018960	ENSCABG00000014009	chelonoidis_abingdonii
ENSCABP00000018953	ENSCABG00000014003	chelonoidis_abingdonii
ENSGAGP00000011592	ENSGAGG00000008952	gopherus_agassizii
ENSGEVP00005015961	ENSGEVG00005011363	gopherus_evgoodei
ENSPSIP00000013526	ENSPSIG00000011849	pelodiscus_sinensis
ENSSPUP00000024249	ENSSPUG00000018457	sphenodon_punctatus
ENSSMRP00000027123	ENSSMRG00000020926	salvator_merianae
ENSPMRP00000033743	ENSPMRG00000021875	podarcis_muralis
ENSACAP00000017219	ENSACAG00000017459	anolis_carolinensis
ENSPVIP00000005544	ENSPVIG00000004504	pogona_vitticeps
ENSNSUP00000009415	ENSNSUG00000007205	notechis_scutatus
ENSNSUP00000009411	ENSNSUG00000007204	notechis_scutatus
ENSLLTP00000007724	ENSLLTG00000005849	laticauda_laticaudata
ENSLLTP00000024333	ENSLLTG00000017905	laticauda_laticaudata
ENSPTXP00000021138	ENSPTXG00000014264	pseudonaja_textilis
ENSNNAP00000019014	ENSNNAG00000012699	naja_naja
ENSNNAP00000019108	ENSNNAG00000012746	naja_naja
ENSVKKP00000014367	ENSVKKG00000009886	varanus_komodoensis
ENSLLEP00000000273	ENSLLEG00000000184	leptobrachium_leishanense
ENSXETP00000101559	ENSXETG00000009382	xenopus_tropicalis
ENSLACP00000011084	ENSLACG00000009753	latimeria_chalumnae
ENSPKIP00000000164	ENSPKIG00000018914	paramormyrops_kingsleyae
ENSDCDP00000028701	ENSDCDG00000019924	denticeps_clupeoides
ENSCHAP00000041191	ENSCHAG00000017643	clupea_harengus
ENSCCRP00015051591	ENSCCRG00015021016	cyprinus_carpio_huanghe
ENSCCRP00010092329	ENSCCRG00010039889	cyprinus_carpio_germanmirror
ENSCCRP00020001233	ENSCCRG00020000782	cyprinus_carpio_hebaored
ENSCCRP00000023466	ENSCCRG00000012802	cyprinus_carpio
ENSSGRP00000001050	ENSSGRG00000000654	sinocyclocheilus_grahami
ENSCARP00000000504	ENSCARG00000000296	carassius_auratus
ENSCCRP00010100848	ENSCCRG00010044043	cyprinus_carpio_germanmirror
ENSCCRP00015053729	ENSCCRG00015022153	cyprinus_carpio_huanghe
ENSCCRP00000064970	ENSCCRG00000034583	cyprinus_carpio
ENSCCRP00020007779	ENSCCRG00020002710	cyprinus_carpio_hebaored
ENSSANP00000074953	ENSSANG00000037338	sinocyclocheilus_anshuiensis
ENSSGRP00000089247	ENSSGRG00000044509	sinocyclocheilus_grahami
ENSSRHP00000034535	ENSSRHG00000017752	sinocyclocheilus_rhinocerous
ENSDARP00000055680	ENSDARG00000028663	danio_rerio
ENSIPUP00000027346	ENSIPUG00000018505	ictalurus_punctatus
ENSPNAP00000019246	ENSPNAG00000026138	pygocentrus_nattereri
ENSAMXP00005034305	ENSAMXG00005016477	astyanax_mexicanus_pachon
ENSAMXP00000007315	ENSAMXG00000007111	astyanax_mexicanus
ENSEEEP00000047359	ENSEEEG00000022277	electrophorus_electricus
ENSSSAP00000093572	ENSSSAG00000072071	salmo_salar
ENSSTUP00000045651	ENSSTUG00000018785	salmo_trutta
ENSOMYP00000015195	ENSOMYG00000007424	oncorhynchus_mykiss
ENSOTSP00005001464	ENSOTSG00005000835	oncorhynchus_tshawytscha
ENSOKIP00005002589	ENSOKIG00005001210	oncorhynchus_kisutch
ENSHHUP00000014764	ENSHHUG00000009139	hucho_hucho
ENSHHUP00000001765	ENSHHUG00000001111	hucho_hucho
ENSSTUP00000041419	ENSSTUG00000017124	salmo_trutta
ENSSSAP00000047744	ENSSSAG00000048466	salmo_salar
ENSHHUP00000014701	ENSHHUG00000009108	hucho_hucho
ENSELUP00000014304	ENSELUG00000014402	esox_lucius
ENSHHUP00000066774	ENSHHUG00000039372	hucho_hucho
ENSLOCP00000003757	ENSLOCG00000003173	lepisosteus_oculatus
ENSECRP00000012931	ENSECRG00000008636	erpetoichthys_calabaricus
ENSEBUP00000022080	ENSEBUG00000013619	eptatretus_burgeri
