ENSCINP00000002277	ENSCING00000001197	ciona_intestinalis
ENSCAFP00020033597	ENSCAFG00020026023	canis_lupus_dingo
ENSECAP00000022150	ENSECAG00000024374	equus_caballus
ENSEASP00005003831	ENSEASG00005002897	equus_asinus_asinus
ENSSARP00000006508	ENSSARG00000007165	sorex_araneus
ENSGGOP00000034632	ENSGGOG00000038358	gorilla_gorilla
ENSTSYP00000024668	ENSTSYG00000026934	carlito_syrichta
ENSHGLP00100018908	ENSHGLG00100013951	heterocephalus_glaber_male
ENSHGLP00000019753	ENSHGLG00000014143	heterocephalus_glaber_female
ENSFDAP00000016044	ENSFDAG00000004307	fukomys_damarensis
ENSCLAP00000014821	ENSCLAG00000010219	chinchilla_lanigera
ENSODEP00000010942	ENSODEG00000008152	octodon_degus
ENSCAPP00000001439	ENSCAPG00000002677	cavia_aperea
ENSCPOP00000013382	ENSCPOG00000014852	cavia_porcellus
ENSUTTP00000023588	ENSUTTG00000015063	ursus_thibetanus_thibetanus
ENSUTTP00000023686	ENSUTTG00000015125	ursus_thibetanus_thibetanus
ENSUTTP00000023747	ENSUTTG00000015152	ursus_thibetanus_thibetanus
ENSUTTP00000023633	ENSUTTG00000015093	ursus_thibetanus_thibetanus
ENSMMMP00000015804	ENSMMMG00000014039	marmota_marmota_marmota
ENSSDAP00000006812	ENSSDAG00000006255	spermophilus_dauricus
ENSUPAP00010019299	ENSUPAG00010015264	urocitellus_parryii
ENSSTOP00000023609	ENSSTOG00000024297	ictidomys_tridecemlineatus
ENSSVLP00005003749	ENSSVLG00005002867	sciurus_vulgaris
ENSDORP00000001013	ENSDORG00000001076	dipodomys_ordii
ENSCCNP00000019838	ENSCCNG00000019882	castor_canadensis
ENSNGAP00000011017	ENSNGAG00000013267	nannospalax_galili
ENSCGRP00001001605	ENSCGRG00001001394	cricetulus_griseus_chok1gshd
ENSCGRP00000007949	ENSCGRG00000005793	cricetulus_griseus_crigri
ENSCGRP00015037662	ENSCGRG00015028221	cricetulus_griseus_picr
ENSMOCP00000021257	ENSMOCG00000018658	microtus_ochrogaster
ENSPEMP00000006515	ENSPEMG00000008685	peromyscus_maniculatus_bairdii
ENSRNOP00000006796	ENSRNOG00000004964	rattus_norvegicus
ENSMSIP00000000722	ENSMSIG00000000751	mus_spicilegus
ENSMUSP00000080716	ENSMUSG00000018166	mus_musculus
MGP_SPRETEiJ_P0026468	MGP_SPRETEiJ_G0016770	mus_spretus
MGP_CAROLIEiJ_P0025178	MGP_CAROLIEiJ_G0015945	mus_caroli
MGP_PahariEiJ_P0087493	MGP_PahariEiJ_G0031139	mus_pahari
ENSMUGP00000027292	ENSMUGG00000022725	meriones_unguiculatus
ENSOCUP00000014890	ENSOCUG00000017322	oryctolagus_cuniculus
ENSOPRP00000005278	ENSOPRG00000005724	ochotona_princeps
ENSLAFP00000012397	ENSLAFG00000014798	loxodonta_africana
ENSPCAP00000005068	ENSPCAG00000005292	procavia_capensis
ENSETEP00000015158	ENSETEG00000018645	echinops_telfairi
ENSMAUP00000015863	ENSMAUG00000015213	mesocricetus_auratus
ENSSHAP00000006754	ENSSHAG00000005870	sarcophilus_harrisii
ENSMEUP00000014508	ENSMEUG00000015849	notamacropus_eugenii
ENSPCIP00000044298	ENSPCIG00000032985	phascolarctos_cinereus
ENSPCIP00000008934	ENSPCIG00000007023	phascolarctos_cinereus
ENSVURP00010031011	ENSVURG00010023714	vombatus_ursinus
ENSMODP00000048991	ENSMODG00000001980	monodelphis_domestica
ENSOANP00000033459	ENSOANG00000042871	ornithorhynchus_anatinus
ENSNMEP00000007771	ENSNMEG00000007713	numida_meleagris
ENSPTXP00000008704	ENSPTXG00000006294	pseudonaja_textilis
ENSLLTP00000017554	ENSLLTG00000013315	laticauda_laticaudata
ENSNSUP00000011673	ENSNSUG00000008483	notechis_scutatus
ENSNNAP00000002028	ENSNNAG00000001396	naja_naja
ENSLLTP00000021281	ENSLLTG00000015892	laticauda_laticaudata
ENSACAP00000005159	ENSACAG00000005090	anolis_carolinensis
ENSPVIP00000023265	ENSPVIG00000017574	pogona_vitticeps
ENSVKKP00000011267	ENSVKKG00000007866	varanus_komodoensis
ENSPMRP00000003718	ENSPMRG00000002314	podarcis_muralis
ENSSMRP00000006096	ENSSMRG00000004913	salvator_merianae
ENSECRP00000009530	ENSECRG00000006379	erpetoichthys_calabaricus
ENSPKIP00000023798	ENSPKIG00000007286	paramormyrops_kingsleyae
ENSSFOP00015023549	ENSSFOG00015015143	scleropages_formosus
ENSSFOP00015007931	ENSSFOG00015004845	scleropages_formosus
ENSAMXP00005018409	ENSAMXG00005009562	astyanax_mexicanus_pachon
ENSAMXP00000018672	ENSAMXG00000018110	astyanax_mexicanus
ENSPNAP00000014343	ENSPNAG00000020247	pygocentrus_nattereri
ENSEEEP00000051155	ENSEEEG00000023999	electrophorus_electricus
ENSIPUP00000029116	ENSIPUG00000019692	ictalurus_punctatus
ENSDARP00000105384	ENSDARG00000036993	danio_rerio
ENSSRHP00000087948	ENSSRHG00000043486	sinocyclocheilus_rhinocerous
ENSSANP00000079603	ENSSANG00000039493	sinocyclocheilus_anshuiensis
ENSSGRP00000022029	ENSSGRG00000013034	sinocyclocheilus_grahami
ENSCARP00000128777	ENSCARG00000067099	carassius_auratus
ENSCARP00000098498	ENSCARG00000049708	carassius_auratus
ENSCCRP00020070271	ENSCCRG00020032823	cyprinus_carpio_hebaored
ENSCCRP00015058123	ENSCCRG00015023475	cyprinus_carpio_huanghe
ENSCCRP00010040901	ENSCCRG00010016799	cyprinus_carpio_germanmirror
ENSCCRP00000035437	ENSCCRG00000018982	cyprinus_carpio
ENSCARP00000133511	ENSCARG00000069413	carassius_auratus
ENSCCRP00015013928	ENSCCRG00015003365	cyprinus_carpio_huanghe
ENSCCRP00010016419	ENSCCRG00010005022	cyprinus_carpio_germanmirror
ENSCCRP00020012698	ENSCCRG00020002397	cyprinus_carpio_hebaored
ENSCCRP00000039348	ENSCCRG00000020160	cyprinus_carpio
ENSSGRP00000097356	ENSSGRG00000048602	sinocyclocheilus_grahami
ENSSRHP00000069411	ENSSRHG00000034405	sinocyclocheilus_rhinocerous
ENSSANP00000083334	ENSSANG00000040872	sinocyclocheilus_anshuiensis
ENSDCDP00000009484	ENSDCDG00000004294	denticeps_clupeoides
ENSCHAP00000057184	ENSCHAG00000025795	clupea_harengus
ENSPMGP00000019006	ENSPMGG00000015456	periophthalmus_magnuspinnatus
ENSNMLP00000014935	ENSNMLG00000009941	neogobius_melanostomus
ENSSORP00005045119	ENSSORG00005020706	sphaeramia_orbicularis
ENSKMAP00000028966	ENSKMAG00000021473	kryptolebias_marmoratus
ENSNFUP00015029935	ENSNFUG00015008835	nothobranchius_furzeri
ENSGAFP00000014719	ENSGAFG00000009929	gambusia_affinis
ENSXCOP00000009040	ENSXCOG00000006878	xiphophorus_couchianus
ENSXMAP00000032209	ENSXMAG00000011178	xiphophorus_maculatus
ENSPREP00000030973	ENSPREG00000020900	poecilia_reticulata
ENSPFOP00000006388	ENSPFOG00000005898	poecilia_formosa
ENSPMEP00000027666	ENSPMEG00000012215	poecilia_mexicana
ENSPLAP00000017077	ENSPLAG00000022629	poecilia_latipinna
ENSFHEP00000021201	ENSFHEG00000023395	fundulus_heteroclitus
ENSCVAP00000011473	ENSCVAG00000013738	cyprinodon_variegatus
ENSNBRP00000021984	ENSNBRG00000016856	neolamprologus_brichardi
ENSSFAP00005035138	ENSSFAG00005017823	salarias_fasciatus
ENSATEP00000032358	ENSATEG00000022245	anabas_testudineus
ENSMALP00000021437	ENSMALG00000014899	monopterus_albus
ENSMAMP00000010151	ENSMAMG00000006806	mastacembelus_armatus
ENSENLP00000052450	ENSENLG00000021922	echeneis_naucrates
ENSSLDP00000006600	ENSSLDG00000005146	seriola_lalandi_dorsalis
ENSSDUP00000018046	ENSSDUG00000013061	seriola_dumerili
ENSSMAP00000006038	ENSSMAG00000002968	scophthalmus_maximus
ENSLCAP00010049184	ENSLCAG00010022392	lates_calcarifer
ENSCGOP00000015021	ENSCGOG00000007201	cottoperca_gobio
ENSGACP00000012087	ENSGACG00000009144	gasterosteus_aculeatus
ENSCLMP00005014389	ENSCLMG00005007609	cyclopterus_lumpus
ENSSLUP00000057618	ENSSLUG00000024796	sander_lucioperca
ENSDLAP00005027418	ENSDLAG00005011111	dicentrarchus_labrax
ENSLCRP00005040009	ENSLCRG00005012550	larimichthys_crocea
ENSLBEP00000015422	ENSLBEG00000012001	labrus_bergylta
ENSSAUP00010041997	ENSSAUG00010012083	sparus_aurata
ENSTRUP00000025982	ENSTRUG00000010319	takifugu_rubripes
ENSTNIP00000018114	ENSTNIG00000015062	tetraodon_nigroviridis
ENSMMOP00000011902	ENSMMOG00000009151	mola_mola
ENSBSLP00000034065	ENSBSLG00000016194	betta_splendens
ENSHCOP00000018573	ENSHCOG00000003235	hippocampus_comes
ENSCSEP00000011266	ENSCSEG00000007230	cynoglossus_semilaevis
ENSSPAP00000021675	ENSSPAG00000016356	stegastes_partitus
ENSAPEP00000003966	ENSAPEG00000002872	amphiprion_percula
ENSAOCP00000025476	ENSAOCG00000013304	amphiprion_ocellaris
ENSAPOP00000029182	ENSAPOG00000014876	acanthochromis_polyacanthus
ENSPRNP00000010965	ENSPRNG00000006240	parambassis_ranga
ENSGWIP00000032288	ENSGWIG00000011088	gouania_willdenowi
ENSOJAP00000021897	ENSOJAG00000008096	oryzias_javanicus
ENSOMEP00000015474	ENSOMEG00000017053	oryzias_melastigma
ENSORLP00020006501	ENSORLG00020007438	oryzias_latipes_hni
ENSORLP00000009628	ENSORLG00000007685	oryzias_latipes
ENSORLP00015021544	ENSORLG00015022775	oryzias_latipes_hsok
ENSHBUP00000023714	ENSHBUG00000004664	haplochromis_burtoni
ENSPNYP00000025030	ENSPNYG00000018276	pundamilia_nyererei
ENSACLP00000008919	ENSACLG00000006083	astatotilapia_calliptera
ENSMZEP00005036445	ENSMZEG00005027202	maylandia_zebra
ENSONIP00000029882	ENSONIG00000012148	oreochromis_niloticus
ENSOABP00000018520	ENSOABG00000008709	oreochromis_aureus
ENSACIP00000021504	ENSACIG00000016571	amphilophus_citrinellus
ENSMMDP00005000599	ENSMMDG00005000369	myripristis_murdjan
ENSGMOP00000005182	ENSGMOG00000004820	gadus_morhua
ENSELUP00000007538	ENSELUG00000008353	esox_lucius
ENSHHUP00000090144	ENSHHUG00000052043	hucho_hucho
ENSSSAP00000090711	ENSSSAG00000067917	salmo_salar
ENSSTUP00000064920	ENSSTUG00000027406	salmo_trutta
ENSOKIP00005087834	ENSOKIG00005036889	oncorhynchus_kisutch
ENSOMYP00000030058	ENSOMYG00000013780	oncorhynchus_mykiss
ENSOTSP00005085232	ENSOTSG00005039650	oncorhynchus_tshawytscha
ENSOTSP00005073897	ENSOTSG00005034827	oncorhynchus_tshawytscha
ENSOMYP00000052787	ENSOMYG00000024129	oncorhynchus_mykiss
ENSOKIP00005016137	ENSOKIG00005006498	oncorhynchus_kisutch
ENSSSAP00000091241	ENSSSAG00000069478	salmo_salar
ENSSTUP00000106433	ENSSTUG00000047215	salmo_trutta
ENSHHUP00000015874	ENSHHUG00000009877	hucho_hucho
ENSHHUP00000068073	ENSHHUG00000040111	hucho_hucho
ENSCHAP00000037059	ENSCHAG00000013607	clupea_harengus
ENSDCDP00000036361	ENSDCDG00000013741	denticeps_clupeoides
ENSSGRP00000112140	ENSSGRG00000055109	sinocyclocheilus_grahami
ENSSANP00000062355	ENSSANG00000030726	sinocyclocheilus_anshuiensis
ENSSRHP00000079628	ENSSRHG00000039268	sinocyclocheilus_rhinocerous
ENSCARP00000089289	ENSCARG00000040804	carassius_auratus
ENSCCRP00000088978	ENSCCRG00000047880	cyprinus_carpio
ENSCCRP00020084103	ENSCCRG00020038306	cyprinus_carpio_hebaored
ENSCCRP00015029222	ENSCCRG00015010017	cyprinus_carpio_huanghe
ENSCCRP00010067191	ENSCCRG00010025487	cyprinus_carpio_germanmirror
ENSCARP00000073365	ENSCARG00000031212	carassius_auratus
ENSCCRP00010026233	ENSCCRG00010011201	cyprinus_carpio_germanmirror
ENSCCRP00000092171	ENSCCRG00000049840	cyprinus_carpio
ENSCCRP00000064032	ENSCCRG00000034393	cyprinus_carpio
ENSCCRP00020029281	ENSCCRG00020013009	cyprinus_carpio_hebaored
ENSCCRP00015107561	ENSCCRG00015042712	cyprinus_carpio_huanghe
ENSCCRP00000074067	ENSCCRG00000039990	cyprinus_carpio
ENSSANP00000085986	ENSSANG00000040962	sinocyclocheilus_anshuiensis
ENSSRHP00000041979	ENSSRHG00000017906	sinocyclocheilus_rhinocerous
ENSSGRP00000096105	ENSSGRG00000047981	sinocyclocheilus_grahami
ENSDARP00000124007	ENSDARG00000006202	danio_rerio
ENSIPUP00000034859	ENSIPUG00000023381	ictalurus_punctatus
ENSEEEP00000004654	ENSEEEG00000002413	electrophorus_electricus
ENSAMXP00000033253	ENSAMXG00000016428	astyanax_mexicanus
ENSAMXP00005057051	ENSAMXG00005025072	astyanax_mexicanus_pachon
ENSPNAP00000003025	ENSPNAG00000009388	pygocentrus_nattereri
ENSMMDP00005046756	ENSMMDG00005021353	myripristis_murdjan
ENSSORP00005058266	ENSSORG00005025665	sphaeramia_orbicularis
ENSPMGP00000009812	ENSPMGG00000008125	periophthalmus_magnuspinnatus
ENSACIP00000029515	ENSACIG00000022811	amphilophus_citrinellus
ENSACIP00000029571	ENSACIG00000022860	amphilophus_citrinellus
ENSNBRP00000022862	ENSNBRG00000017501	neolamprologus_brichardi
ENSMZEP00005012056	ENSMZEG00005008884	maylandia_zebra
ENSHBUP00000006990	ENSHBUG00000008515	haplochromis_burtoni
ENSONIP00000029870	ENSONIG00000042669	oreochromis_niloticus
ENSONIP00000055115	ENSONIG00000019052	oreochromis_niloticus
ENSOABP00000024900	ENSOABG00000011863	oreochromis_aureus
ENSOABP00000024897	ENSOABG00000011862	oreochromis_aureus
ENSOABP00000024913	ENSOABG00000011864	oreochromis_aureus
ENSMZEP00005011760	ENSMZEG00005008727	maylandia_zebra
ENSACLP00000036859	ENSACLG00000024950	astatotilapia_calliptera
ENSCVAP00000000382	ENSCVAG00000001270	cyprinodon_variegatus
ENSFHEP00000006632	ENSFHEG00000007977	fundulus_heteroclitus
ENSFHEP00000025664	ENSFHEG00000008081	fundulus_heteroclitus
ENSPREP00000018666	ENSPREG00000012554	poecilia_reticulata
ENSPMEP00000026982	ENSPMEG00000011084	poecilia_mexicana
ENSPMEP00000032295	ENSPMEG00000020364	poecilia_mexicana
ENSPFOP00000024857	ENSPFOG00000023124	poecilia_formosa
ENSPFOP00000002335	ENSPFOG00000001978	poecilia_formosa
ENSPLAP00000012246	ENSPLAG00000015508	poecilia_latipinna
ENSGAFP00000032254	ENSGAFG00000021720	gambusia_affinis
ENSXCOP00000026651	ENSXCOG00000019904	xiphophorus_couchianus
ENSXMAP00000001973	ENSXMAG00000001930	xiphophorus_maculatus
ENSNFUP00015024443	ENSNFUG00015010558	nothobranchius_furzeri
ENSKMAP00000026346	ENSKMAG00000019542	kryptolebias_marmoratus
ENSOMEP00000027271	ENSOMEG00000009645	oryzias_melastigma
ENSOJAP00000005898	ENSOJAG00000002580	oryzias_javanicus
ENSOSIP00000027266	ENSOSIG00000010485	oryzias_sinensis
ENSORLP00020024153	ENSORLG00020005401	oryzias_latipes_hni
ENSORLP00000001883	ENSORLG00000001520	oryzias_latipes
ENSORLP00015000837	ENSORLG00015001613	oryzias_latipes_hsok
ENSSPAP00000016345	ENSSPAG00000012325	stegastes_partitus
ENSAPOP00000029537	ENSAPOG00000015464	acanthochromis_polyacanthus
ENSAPOP00000012726	ENSAPOG00000015444	acanthochromis_polyacanthus
ENSAPEP00000022939	ENSAPEG00000016343	amphiprion_percula
ENSAOCP00000022404	ENSAOCG00000007874	amphiprion_ocellaris
ENSGWIP00000021498	ENSGWIG00000001169	gouania_willdenowi
ENSSFAP00005055433	ENSSFAG00005026117	salarias_fasciatus
ENSPRNP00000057059	ENSPRNG00000026606	parambassis_ranga
ENSLCAP00010038775	ENSLCAG00010018139	lates_calcarifer
ENSLCAP00010038780	ENSLCAG00010018145	lates_calcarifer
ENSENLP00000033486	ENSENLG00000012624	echeneis_naucrates
ENSSLDP00000032788	ENSSLDG00000025128	seriola_lalandi_dorsalis
ENSSDUP00000010359	ENSSDUG00000007540	seriola_dumerili
ENSSMAP00000002936	ENSSMAG00000001824	scophthalmus_maximus
ENSATEP00000003230	ENSATEG00000001985	anabas_testudineus
ENSMALP00000022095	ENSMALG00000014634	monopterus_albus
ENSMAMP00000002287	ENSMAMG00000001029	mastacembelus_armatus
ENSSAUP00010045421	ENSSAUG00010015226	sparus_aurata
ENSLCRP00005023845	ENSLCRG00005005059	larimichthys_crocea
ENSDLAP00005023770	ENSDLAG00005006351	dicentrarchus_labrax
ENSLBEP00000024768	ENSLBEG00000018932	labrus_bergylta
ENSCGOP00000005247	ENSCGOG00000002634	cottoperca_gobio
ENSCLMP00005033672	ENSCLMG00005011003	cyclopterus_lumpus
ENSGACP00000000966	ENSGACG00000000747	gasterosteus_aculeatus
ENSSLUP00000040463	ENSSLUG00000014443	sander_lucioperca
ENSMMOP00000028932	ENSMMOG00000021832	mola_mola
ENSTRUP00000029436	ENSTRUG00000011645	takifugu_rubripes
ENSTNIP00000017624	ENSTNIG00000014596	tetraodon_nigroviridis
ENSBSLP00000041423	ENSBSLG00000019343	betta_splendens
ENSCSEP00000004800	ENSCSEG00000003105	cynoglossus_semilaevis
ENSHCOP00000002166	ENSHCOG00000003429	hippocampus_comes
ENSGMOP00000008164	ENSGMOG00000007607	gadus_morhua
ENSSSAP00000055456	ENSSSAG00000046239	salmo_salar
ENSSTUP00000042955	ENSSTUG00000017403	salmo_trutta
ENSOKIP00005009423	ENSOKIG00005003569	oncorhynchus_kisutch
ENSOTSP00005062636	ENSOTSG00005029394	oncorhynchus_tshawytscha
ENSOMYP00000017013	ENSOMYG00000008377	oncorhynchus_mykiss
ENSHHUP00000053319	ENSHHUG00000031888	hucho_hucho
ENSSTUP00000012244	ENSSTUG00000003773	salmo_trutta
ENSSSAP00000080749	ENSSSAG00000057321	salmo_salar
ENSOKIP00005020679	ENSOKIG00005007688	oncorhynchus_kisutch
ENSOTSP00005014290	ENSOTSG00005003431	oncorhynchus_tshawytscha
ENSOMYP00000055170	ENSOMYG00000023531	oncorhynchus_mykiss
ENSHHUP00000080499	ENSHHUG00000046857	hucho_hucho
ENSELUP00000036938	ENSELUG00000016400	esox_lucius
ENSELUP00000016421	ENSELUG00000016292	esox_lucius
ENSLOCP00000004400	ENSLOCG00000003677	lepisosteus_oculatus
ENSPMAP00000010441	ENSPMAG00000009497	petromyzon_marinus
ENSEBUP00000015360	ENSEBUG00000009667	eptatretus_burgeri
ENSPNYP00000006826	ENSPNYG00000005247	pundamilia_nyererei
ENSLACP00000001477	ENSLACG00000001321	latimeria_chalumnae
ENSJHYP00000021204	ENSJHYG00000016050	junco_hyemalis
ENSCMIP00000012625	ENSCMIG00000006234	callorhinchus_milii
ENSXETP00000068321	ENSXETG00000009463	xenopus_tropicalis
ENSLLEP00000014522	ENSLLEG00000009226	leptobrachium_leishanense
ENSPCEP00000022170	ENSPCEG00000016960	pelusios_castaneus
ENSGFOP00000006644	ENSGFOG00000004691	geospiza_fortis
ENSACDP00005017977	ENSACDG00005013098	anser_cygnoides
ENSPSIP00000003224	ENSPSIG00000003096	pelodiscus_sinensis
ENSTMTP00000023259	ENSTMTG00000016934	terrapene_carolina_triunguis
ENSSPUP00000019219	ENSSPUG00000014805	sphenodon_punctatus
ENSCPBP00000017483	ENSCPBG00000012759	chrysemys_picta_bellii
ENSTMTP00000029133	ENSTMTG00000020944	terrapene_carolina_triunguis
ENSCABP00000009205	ENSCABG00000006905	chelonoidis_abingdonii
ENSGEVP00005008390	ENSGEVG00005005948	gopherus_evgoodei
ENSGAGP00000028360	ENSGAGG00000019722	gopherus_agassizii
ENSCSRP00000004168	ENSCSRG00000003002	chelydra_serpentina
ENSACCP00020021279	ENSACCG00020013807	aquila_chrysaetos_chrysaetos
ENSCPUP00000020363	ENSCPUG00000013918	calidris_pugnax
ENSCPGP00000009433	ENSCPGG00000005214	calidris_pygmaea
ENSSHBP00005017097	ENSSHBG00005014814	strigops_habroptila
ENSAPLP00020019220	ENSAPLG00020013649	anas_platyrhynchos
ENSAZOP00000013766	ENSAZOG00000008205	anas_zonorhyncha
ENSCMMP00000013350	ENSCMMG00000007397	cairina_moschata_domestica
ENSAOWP00000011990	ENSAOWG00000008068	apteryx_owenii
ENSNMEP00000017030	ENSNMEG00000014948	numida_meleagris
ENSNMEP00000017029	ENSNMEG00000014947	numida_meleagris
ENSCJPP00005003307	ENSCJPG00005002126	coturnix_japonica
ENSPCLP00000019062	ENSPCLG00000015939	phasianus_colchicus
ENSPSTP00000018693	ENSPSTG00000013438	pavo_cristatus
ENSGALP00000051173	ENSGALG00000033510	gallus_gallus
ENSMGAP00000017611	ENSMGAG00000016511	meleagris_gallopavo
ENSANIP00000013824	ENSANIG00000009373	accipiter_nisus
