ENSCPRP00005011341	ENSCPRG00005007974	crocodylus_porosus
ENSCCEP00000006270	ENSCCEG00000006765	cyanistes_caeruleus
ENSBJAP00000023518	ENSBJAG00000015193	buteo_japonicus
ENSCPGP00000004359	ENSCPGG00000002951	calidris_pygmaea
ENSCMUP00000003648	ENSCMUG00000002429	corvus_moneduloides
ENSPCLP00000021273	ENSPCLG00000018630	phasianus_colchicus
ENSAHAP00000000253	ENSAHAG00000000261	apteryx_haastii
ENSMUNP00000009056	ENSMUNG00000007134	melopsittacus_undulatus
ENSDNVP00000020485	ENSDNVG00000014299	dromaius_novaehollandiae
ENSARWP00000018024	ENSARWG00000012381	apteryx_rowi
ENSAOWP00000016835	ENSAOWG00000011504	apteryx_owenii
ENSNPEP00000002091	ENSNPEG00000001575	nothoprocta_perdicaria
ENSSCUP00000011579	ENSSCUG00000008404	struthio_camelus_australis
ENSPSIP00000019243	ENSPSIG00000016918	pelodiscus_sinensis
ENSCPBP00000038019	ENSCPBG00000026308	chrysemys_picta_bellii
ENSTMTP00000028188	ENSTMTG00000020503	terrapene_carolina_triunguis
ENSGAGP00000007418	ENSGAGG00000005944	gopherus_agassizii
ENSGEVP00005019422	ENSGEVG00005012673	gopherus_evgoodei
ENSCABP00000024042	ENSCABG00000017617	chelonoidis_abingdonii
ENSCSRP00000006290	ENSCSRG00000004539	chelydra_serpentina
ENSPCEP00000023117	ENSPCEG00000017313	pelusios_castaneus
ENSSMRP00000009611	ENSSMRG00000007652	salvator_merianae
ENSPMRP00000031155	ENSPMRG00000020188	podarcis_muralis
ENSACAP00000015124	ENSACAG00000015162	anolis_carolinensis
ENSNSUP00000008910	ENSNSUG00000006629	notechis_scutatus
ENSPTXP00000012525	ENSPTXG00000008673	pseudonaja_textilis
ENSNNAP00000021431	ENSNNAG00000014177	naja_naja
ENSNNAP00000021493	ENSNNAG00000014232	naja_naja
ENSLLTP00000006911	ENSLLTG00000004937	laticauda_laticaudata
ENSPVIP00000026523	ENSPVIG00000019792	pogona_vitticeps
ENSVKKP00000002262	ENSVKKG00000001714	varanus_komodoensis
ENSOANP00000038104	ENSOANG00000039052	ornithorhynchus_anatinus
ENSSARP00000011012	ENSSARG00000012190	sorex_araneus
ENSVVUP00000008195	ENSVVUG00000006179	vulpes_vulpes
ENSCAFP00030003521	ENSCAFG00030002145	canis_lupus_familiarisbasenji
ENSCAFP00040029524	ENSCAFG00040018377	canis_lupus_familiarisgreatdane
ENSCAFP00000024471	ENSCAFG00000024151	canis_lupus_familiaris
ENSCAFP00020006323	ENSCAFG00020005100	canis_lupus_dingo
ENSNVIP00000027572	ENSNVIG00000021281	neovison_vison
ENSMPUP00000003699	ENSMPUG00000003729	mustela_putorius_furo
ENSAMEP00000015842	ENSAMEG00000015034	ailuropoda_melanoleuca
ENSAMEP00000015514	ENSAMEG00000014721	ailuropoda_melanoleuca
ENSUTTP00000013869	ENSUTTG00000008807	ursus_thibetanus_thibetanus
ENSUAMP00000017104	ENSUAMG00000013490	ursus_americanus
ENSZCAP00015030519	ENSZCAG00015019118	zalophus_californianus
ENSSSUP00005018711	ENSSSUG00005011986	suricata_suricatta
ENSLCNP00005030894	ENSLCNG00005020070	lynx_canadensis
ENSFCAP00000017344	ENSFCAG00000030317	felis_catus
ENSPTIP00000011119	ENSPTIG00000011638	panthera_tigris_altaica
ENSPLOP00000030611	ENSPLOG00000022359	panthera_leo
ENSPPRP00000017121	ENSPPRG00000009212	panthera_pardus
ENSMLUP00000009532	ENSMLUG00000010442	myotis_lucifugus
ENSRFEP00010019701	ENSRFEG00010012981	rhinolophus_ferrumequinum
ENSPVAP00000007094	ENSPVAG00000007515	pteropus_vampyrus
ENSCDRP00005022673	ENSCDRG00005015604	camelus_dromedarius
ENSCHYP00000031916	ENSCHYG00000021403	cervus_hanglu_yarkandensis
ENSMMSP00000027860	ENSMMSG00000020836	moschus_moschiferus
ENSCHIP00010005384	ENSCHIG00010003831	capra_hircus_blackbengal
ENSCHIP00000021982	ENSCHIG00000020115	capra_hircus
ENSOARP00000006891	ENSOARG00000006431	ovis_aries
ENSOARP00020034100	ENSOARG00020026128	ovis_aries_rambouillet
ENSBBBP00000008569	ENSBBBG00000016593	bison_bison_bison
ENSBMUP00000020984	ENSBMUG00000015785	bos_mutus
ENSBGRP00000011067	ENSBGRG00000006805	bos_grunniens
ENSBIXP00000042522	ENSBIXG00000026521	bos_taurus_hybrid
ENSBIXP00005033628	ENSBIXG00005014435	bos_indicus_hybrid
ENSBTAP00000003973	ENSBTAG00000003054	bos_taurus
ENSBMSP00010000190	ENSBMSG00010000153	balaenoptera_musculus
ENSPCTP00005013216	ENSPCTG00005009309	physeter_catodon
ENSMMNP00015014488	ENSMMNG00015010671	monodon_monoceros
ENSDLEP00000011063	ENSDLEG00000007973	delphinapterus_leucas
ENSPSNP00000003922	ENSPSNG00000002938	phocoena_sinus
ENSTTRP00000013762	ENSTTRG00000014515	tursiops_truncatus
ENSCWAP00000015429	ENSCWAG00000011799	catagonus_wagneri
ENSSSCP00000006890	ENSSSCG00000006465	sus_scrofa
ENSEASP00005026759	ENSEASG00005018243	equus_asinus_asinus
ENSECAP00000012547	ENSECAG00000014650	equus_caballus
ENSEEUP00000014463	ENSEEUG00000015831	erinaceus_europaeus
ENSDNOP00000021235	ENSDNOG00000040433	dasypus_novemcinctus
ENSCCNP00000024655	ENSCCNG00000024120	castor_canadensis
ENSDORP00000007207	ENSDORG00000007690	dipodomys_ordii
ENSJJAP00000024722	ENSJJAG00000024091	jaculus_jaculus
ENSMUGP00000032236	ENSMUGG00000026825	meriones_unguiculatus
MGP_SPRETEiJ_P0060621	MGP_SPRETEiJ_G0026082	mus_spretus
ENSMSIP00000026787	ENSMSIG00000022538	mus_spicilegus
ENSMUSP00000029711	ENSMUSG00000005640	mus_musculus
MGP_CAROLIEiJ_P0058294	MGP_CAROLIEiJ_G0025141	mus_caroli
MGP_PahariEiJ_P0069254	MGP_PahariEiJ_G0026584	mus_pahari
ENSRNOP00000073224	ENSRNOG00000057702	rattus_norvegicus
ENSCGRP00015034401	ENSCGRG00015025874	cricetulus_griseus_picr
ENSCGRP00001023580	ENSCGRG00001021762	cricetulus_griseus_chok1gshd
ENSCGRP00000006343	ENSCGRG00000004643	cricetulus_griseus_crigri
ENSMAUP00000019449	ENSMAUG00000017733	mesocricetus_auratus
ENSMOCP00000022910	ENSMOCG00000019780	microtus_ochrogaster
ENSPEMP00000018767	ENSPEMG00000017250	peromyscus_maniculatus_bairdii
ENSNGAP00000021847	ENSNGAG00000020896	nannospalax_galili
ENSFDAP00000002329	ENSFDAG00000012087	fukomys_damarensis
ENSHGLP00000008956	ENSHGLG00000006437	heterocephalus_glaber_female
ENSHGLP00100006255	ENSHGLG00100004704	heterocephalus_glaber_male
ENSCLAP00000005878	ENSCLAG00000004161	chinchilla_lanigera
ENSODEP00000011507	ENSODEG00000008561	octodon_degus
ENSCAPP00000018565	ENSCAPG00000017928	cavia_aperea
ENSCPOP00000002888	ENSCPOG00000003189	cavia_porcellus
ENSSDAP00000025333	ENSSDAG00000023007	spermophilus_dauricus
ENSMMMP00000014922	ENSMMMG00000013270	marmota_marmota_marmota
ENSUPAP00010005884	ENSUPAG00010004740	urocitellus_parryii
ENSSTOP00000018697	ENSSTOG00000026953	ictidomys_tridecemlineatus
ENSSVLP00005003360	ENSSVLG00005002656	sciurus_vulgaris
ENSOGAP00000003094	ENSOGAG00000003469	otolemur_garnettii
ENSPCOP00000018723	ENSPCOG00000021264	propithecus_coquereli
ENSMICP00000008186	ENSMICG00000008978	microcebus_murinus
ENSPSMP00000014285	ENSPSMG00000010238	prolemur_simus
ENSTSYP00000023625	ENSTSYG00000029910	carlito_syrichta
ENSCSAP00000015832	ENSCSAG00000002205	chlorocebus_sabaeus
ENSMFAP00000039081	ENSMFAG00000038864	macaca_fascicularis
ENSMNEP00000001959	ENSMNEG00000008860	macaca_nemestrina
ENSMMUP00000064503	ENSMMUG00000055304	macaca_mulatta
ENSCATP00000010255	ENSCATG00000029393	cercocebus_atys
ENSMLEP00000011030	ENSMLEG00000029703	mandrillus_leucophaeus
ENSTGEP00000002930	ENSTGEG00000002531	theropithecus_gelada
ENSPANP00000011555	ENSPANG00000015076	papio_anubis
ENSCANP00000008322	ENSCANG00000027358	colobus_angolensis_palliatus
ENSPTEP00000013108	ENSPTEG00000014716	piliocolobus_tephrosceles
ENSRBIP00000021458	ENSRBIG00000034704	rhinopithecus_bieti
ENSRROP00000033888	ENSRROG00000040505	rhinopithecus_roxellana
ENSNLEP00000015550	ENSNLEG00000012803	nomascus_leucogenys
ENSPPAP00000020244	ENSPPAG00000033333	pan_paniscus
ENSPTRP00000071850	ENSPTRG00000001477	pan_troglodytes
ENSP00000357178	ENSG00000027644	homo_sapiens
ENSGGOP00000013469	ENSGGOG00000013800	gorilla_gorilla
ENSPPYP00000000809	ENSPPYG00000000699	pongo_abelii
ENSANAP00000034853	ENSANAG00000035000	aotus_nancymaae
ENSCJAP00000011677	ENSCJAG00000006311	callithrix_jacchus
ENSCCAP00000035759	ENSCCAG00000035783	cebus_capucinus
ENSSBOP00000036105	ENSSBOG00000034187	saimiri_boliviensis_boliviensis
ENSTBEP00000014243	ENSTBEG00000016352	tupaia_belangeri
ENSOCUP00000009205	ENSOCUG00000010677	oryctolagus_cuniculus
ENSOPRP00000014561	ENSOPRG00000015936	ochotona_princeps
ENSOPRP00000000621	ENSOPRG00000000667	ochotona_princeps
ENSLAFP00000021761	ENSLAFG00000000759	loxodonta_africana
ENSPCAP00000014220	ENSPCAG00000015168	procavia_capensis
ENSETEP00000000046	ENSETEG00000000058	echinops_telfairi
ENSSHAP00000019299	ENSSHAG00000016391	sarcophilus_harrisii
ENSMEUP00000000944	ENSMEUG00000001004	notamacropus_eugenii
ENSVURP00010018265	ENSVURG00010013918	vombatus_ursinus
ENSPCIP00000032671	ENSPCIG00000024247	phascolarctos_cinereus
ENSMODP00000044156	ENSMODG00000016712	monodelphis_domestica
ENSECRP00000001691	ENSECRG00000001193	erpetoichthys_calabaricus
ENSLACP00000017365	ENSLACG00000015295	latimeria_chalumnae
ENSLACP00000017566	ENSLACG00000015473	latimeria_chalumnae
ENSXETP00000068933	ENSXETG00000018010	xenopus_tropicalis
ENSLLEP00000040361	ENSLLEG00000025682	leptobrachium_leishanense
ENSGMOP00000016368	ENSGMOG00000015294	gadus_morhua
