ENSLLEP00000009447	ENSLLEG00000005948	leptobrachium_leishanense
ENSPMJP00000009375	ENSPMJG00000007506	parus_major
ENSCCEP00000001758	ENSCCEG00000002052	cyanistes_caeruleus
ENSOSUP00000000884	ENSOSUG00000000681	otus_sunia
ENSBOBP00000024163	ENSBOBG00000014356	bubo_bubo
ENSSOCP00000010745	ENSSOCG00000008143	strix_occidentalis_caurina
ENSACUP00000013223	ENSACUG00000008850	athene_cunicularia
ENSFTIP00000015873	ENSFTIG00000010530	falco_tinnunculus
ENSCPGP00000021605	ENSCPGG00000015062	calidris_pygmaea
ENSCPUP00000013228	ENSCPUG00000009398	calidris_pugnax
ENSACOP00000015311	ENSACOG00000010677	amazona_collaria
ENSMUNP00000007248	ENSMUNG00000005811	melopsittacus_undulatus
ENSSHBP00005008539	ENSSHBG00005007465	strigops_habroptila
ENSANIP00000025704	ENSANIG00000017295	accipiter_nisus
ENSACCP00020021501	ENSACCG00020014805	aquila_chrysaetos_chrysaetos
ENSBJAP00000010685	ENSBJAG00000007272	buteo_japonicus
ENSCPRP00005020239	ENSCPRG00005014076	crocodylus_porosus
ENSTMTP00000014764	ENSTMTG00000010690	terrapene_carolina_triunguis
ENSCSRP00000008791	ENSCSRG00000006528	chelydra_serpentina
ENSCPBP00000032225	ENSCPBG00000022308	chrysemys_picta_bellii
ENSTMTP00000010363	ENSTMTG00000007542	terrapene_carolina_triunguis
ENSCABP00000000610	ENSCABG00000000536	chelonoidis_abingdonii
ENSGEVP00005008518	ENSGEVG00005006090	gopherus_evgoodei
ENSGAGP00000025502	ENSGAGG00000018635	gopherus_agassizii
ENSPCEP00000014664	ENSPCEG00000011637	pelusios_castaneus
ENSPMRP00000012119	ENSPMRG00000008100	podarcis_muralis
ENSACAP00000005421	ENSACAG00000005410	anolis_carolinensis
ENSPVIP00000034227	ENSPVIG00000024998	pogona_vitticeps
ENSNNAP00000026010	ENSNNAG00000016939	naja_naja
ENSLLTP00000001991	ENSLLTG00000001540	laticauda_laticaudata
ENSPTXP00000020222	ENSPTXG00000013987	pseudonaja_textilis
ENSNSUP00000010273	ENSNSUG00000007824	notechis_scutatus
ENSVKKP00000022704	ENSVKKG00000015080	varanus_komodoensis
ENSSMRP00000008813	ENSSMRG00000007045	salvator_merianae
ENSSPUP00000007789	ENSSPUG00000006002	sphenodon_punctatus
ENSCMIP00000011754	ENSCMIG00000006086	callorhinchus_milii
