FBpp0086841	FBgn0020391	drosophila_melanogaster
ENSCGRP00001013965	ENSCGRG00001014907	cricetulus_griseus_chok1gshd
ENSMAUP00000008116	ENSMAUG00000009517	mesocricetus_auratus
ENSMUGP00000022871	ENSMUGG00000019061	meriones_unguiculatus
ENSRNOP00000041075	ENSRNOG00000033567	rattus_norvegicus
ENSMUSP00000095665	ENSMUSG00000057280	mus_musculus
MGP_SPRETEiJ_P0064971	MGP_SPRETEiJ_G0027016	mus_spretus
ENSMSIP00000023224	ENSMSIG00000018378	mus_spicilegus
MGP_CAROLIEiJ_P0062494	MGP_CAROLIEiJ_G0026051	mus_caroli
MGP_PahariEiJ_P0077634	MGP_PahariEiJ_G0028389	mus_pahari
ENSSVLP00005020800	ENSSVLG00005016215	sciurus_vulgaris
ENSMMMP00000002980	ENSMMMG00000002586	marmota_marmota_marmota
ENSSTOP00000026918	ENSSTOG00000002341	ictidomys_tridecemlineatus
ENSUPAP00010011349	ENSUPAG00010009107	urocitellus_parryii
ENSSDAP00000015540	ENSSDAG00000013913	spermophilus_dauricus
ENSCPOP00000022918	ENSCPOG00000013075	cavia_porcellus
ENSCAPP00000009500	ENSCAPG00000010898	cavia_aperea
ENSODEP00000005903	ENSODEG00000004445	octodon_degus
ENSCLAP00000019098	ENSCLAG00000013081	chinchilla_lanigera
ENSFDAP00000006586	ENSFDAG00000015345	fukomys_damarensis
ENSHGLP00100006146	ENSHGLG00100004629	heterocephalus_glaber_male
ENSHGLP00000012763	ENSHGLG00000009128	heterocephalus_glaber_female
ENSOPRP00000011821	ENSOPRG00000012949	ochotona_princeps
ENSSARP00000011380	ENSSARG00000012590	sorex_araneus
ENSSSUP00005032195	ENSSSUG00005020390	suricata_suricatta
ENSPTIP00000004412	ENSPTIG00000006834	panthera_tigris_altaica
ENSPLOP00000025833	ENSPLOG00000018602	panthera_leo
ENSPPRP00000014025	ENSPPRG00000007145	panthera_pardus
ENSLCNP00005017513	ENSLCNG00005011515	lynx_canadensis
ENSFCAP00000050915	ENSFCAG00000004385	felis_catus
ENSVVUP00000040377	ENSVVUG00000028836	vulpes_vulpes
ENSCAFP00030017674	ENSCAFG00030010271	canis_lupus_familiarisbasenji
ENSCAFP00040019945	ENSCAFG00040011676	canis_lupus_familiarisgreatdane
ENSCAFP00000062224	ENSCAFG00000032331	canis_lupus_familiaris
ENSCAFP00020028692	ENSCAFG00020022466	canis_lupus_dingo
ENSNVIP00000010650	ENSNVIG00000008331	neovison_vison
ENSMPUP00000007409	ENSMPUG00000007465	mustela_putorius_furo
ENSZCAP00015013608	ENSZCAG00015008753	zalophus_californianus
ENSAMEP00000019017	ENSAMEG00000017995	ailuropoda_melanoleuca
ENSUMAP00000024308	ENSUMAG00000017614	ursus_maritimus
ENSUAMP00000033653	ENSUAMG00000025589	ursus_americanus
ENSUTTP00000003728	ENSUTTG00000002324	ursus_thibetanus_thibetanus
ENSSSCP00000073943	ENSSSCG00000005456	sus_scrofa
ENSCWAP00000026787	ENSCWAG00000020056	catagonus_wagneri
ENSMMSP00000009830	ENSMMSG00000006958	moschus_moschiferus
ENSCHYP00000012362	ENSCHYG00000007616	cervus_hanglu_yarkandensis
ENSBBBP00000014582	ENSBBBG00000022436	bison_bison_bison
ENSBIXP00000039282	ENSBIXG00000023249	bos_taurus_hybrid
ENSBIXP00005031732	ENSBIXG00005012161	bos_indicus_hybrid
ENSBMUP00000031421	ENSBMUG00000023436	bos_mutus
ENSBGRP00000005544	ENSBGRG00000003244	bos_grunniens
ENSBTAP00000003558	ENSBTAG00000002744	bos_taurus
ENSCHIP00000023546	ENSCHIG00000021059	capra_hircus
ENSCHIP00010018033	ENSCHIG00010012131	capra_hircus_blackbengal
ENSOARP00000007265	ENSOARG00000006778	ovis_aries
ENSOARP00020000782	ENSOARG00020000710	ovis_aries_rambouillet
ENSBMSP00010007068	ENSBMSG00010005164	balaenoptera_musculus
ENSPCTP00005019649	ENSPCTG00005013297	physeter_catodon
ENSTTRP00000008265	ENSTTRG00000008715	tursiops_truncatus
ENSPSNP00000017579	ENSPSNG00000012408	phocoena_sinus
ENSMMNP00015026034	ENSMMNG00015018880	monodon_monoceros
ENSDLEP00000003021	ENSDLEG00000002217	delphinapterus_leucas
ENSVPAP00000007088	ENSVPAG00000007622	vicugna_pacos
ENSCDRP00005011608	ENSCDRG00005007069	camelus_dromedarius
ENSEASP00005033770	ENSEASG00005023111	equus_asinus_asinus
ENSECAP00000008277	ENSECAG00000010228	equus_caballus
ENSPVAP00000014267	ENSPVAG00000015137	pteropus_vampyrus
ENSRFEP00010028696	ENSRFEG00010019006	rhinolophus_ferrumequinum
ENSMLUP00000003579	ENSMLUG00000003928	myotis_lucifugus
ENSCHOP00000002382	ENSCHOG00000002687	choloepus_hoffmanni
ENSDNOP00000020976	ENSDNOG00000047839	dasypus_novemcinctus
ENSETEP00000009548	ENSETEG00000011765	echinops_telfairi
ENSEEUP00000003083	ENSEEUG00000003356	erinaceus_europaeus
ENSXETP00000005570	ENSXETG00000002604	xenopus_tropicalis
ENSLLEP00000002479	ENSLLEG00000001453	leptobrachium_leishanense
ENSPKIP00000007256	ENSPKIG00000023201	paramormyrops_kingsleyae
ENSSFOP00015070038	ENSSFOG00015017924	scleropages_formosus
ENSCHAP00000013416	ENSCHAG00000006960	clupea_harengus
ENSDCDP00000021521	ENSDCDG00000016840	denticeps_clupeoides
ENSPNAP00000036684	ENSPNAG00000027797	pygocentrus_nattereri
ENSAMXP00005019320	ENSAMXG00005010040	astyanax_mexicanus_pachon
ENSAMXP00000032850	ENSAMXG00000039697	astyanax_mexicanus
ENSEEEP00000004932	ENSEEEG00000002571	electrophorus_electricus
ENSIPUP00000037194	ENSIPUG00000024897	ictalurus_punctatus
ENSSANP00000058741	ENSSANG00000029356	sinocyclocheilus_anshuiensis
ENSSGRP00000001391	ENSSGRG00000000822	sinocyclocheilus_grahami
ENSSRHP00000031359	ENSSRHG00000016202	sinocyclocheilus_rhinocerous
ENSCCRP00020111090	ENSCCRG00020050527	cyprinus_carpio_hebaored
ENSCCRP00015050638	ENSCCRG00015020911	cyprinus_carpio_huanghe
ENSCCRP00010014881	ENSCCRG00010006282	cyprinus_carpio_germanmirror
ENSCCRP00000016127	ENSCCRG00000009062	cyprinus_carpio
ENSCARP00000086867	ENSCARG00000041995	carassius_auratus
ENSSGRP00000091482	ENSSGRG00000045876	sinocyclocheilus_grahami
ENSSRHP00000028742	ENSSRHG00000014929	sinocyclocheilus_rhinocerous
ENSSANP00000083447	ENSSANG00000041405	sinocyclocheilus_anshuiensis
ENSCCRP00010042503	ENSCCRG00010017813	cyprinus_carpio_germanmirror
ENSCCRP00015087693	ENSCCRG00015035232	cyprinus_carpio_huanghe
ENSCCRP00000016210	ENSCCRG00000009094	cyprinus_carpio
ENSCCRP00020050265	ENSCCRG00020022414	cyprinus_carpio_hebaored
ENSCARP00000041775	ENSCARG00000017704	carassius_auratus
ENSGMOP00000004955	ENSGMOG00000004660	gadus_morhua
ENSMMDP00005005121	ENSMMDG00005002787	myripristis_murdjan
ENSONIP00000070465	ENSONIG00000013110	oreochromis_niloticus
ENSOABP00000010267	ENSOABG00000005410	oreochromis_aureus
ENSNBRP00000014226	ENSNBRG00000010974	neolamprologus_brichardi
ENSHBUP00000011154	ENSHBUG00000012796	haplochromis_burtoni
ENSMZEP00005021641	ENSMZEG00005016242	maylandia_zebra
ENSACLP00000038112	ENSACLG00000025743	astatotilapia_calliptera
ENSPNYP00000012656	ENSPNYG00000009583	pundamilia_nyererei
ENSACIP00000000562	ENSACIG00000000480	amphilophus_citrinellus
ENSGWIP00000004302	ENSGWIG00000002306	gouania_willdenowi
ENSPRNP00000016229	ENSPRNG00000008527	parambassis_ranga
ENSORLP00015021450	ENSORLG00015022674	oryzias_latipes_hsok
ENSORLP00020026401	ENSORLG00020008883	oryzias_latipes_hni
ENSORLP00000015124	ENSORLG00000012082	oryzias_latipes
ENSOSIP00000007361	ENSOSIG00000004881	oryzias_sinensis
ENSOJAP00000047821	ENSOJAG00000023172	oryzias_javanicus
ENSOMEP00000033896	ENSOMEG00000020142	oryzias_melastigma
ENSCVAP00000022482	ENSCVAG00000005233	cyprinodon_variegatus
ENSFHEP00000023934	ENSFHEG00000005264	fundulus_heteroclitus
ENSPLAP00000012444	ENSPLAG00000015763	poecilia_latipinna
ENSPMEP00000026245	ENSPMEG00000009826	poecilia_mexicana
ENSPFOP00000012505	ENSPFOG00000012287	poecilia_formosa
ENSPREP00000001424	ENSPREG00000000908	poecilia_reticulata
ENSXCOP00000006586	ENSXCOG00000005100	xiphophorus_couchianus
ENSXMAP00000004157	ENSXMAG00000004125	xiphophorus_maculatus
ENSGAFP00000005768	ENSGAFG00000003881	gambusia_affinis
ENSNFUP00015041183	ENSNFUG00015019754	nothobranchius_furzeri
ENSKMAP00000020752	ENSKMAG00000015403	kryptolebias_marmoratus
ENSLCRP00005004463	ENSLCRG00005002302	larimichthys_crocea
ENSDLAP00005033770	ENSDLAG00005015059	dicentrarchus_labrax
ENSSAUP00010031226	ENSSAUG00010013320	sparus_aurata
ENSSLUP00000054393	ENSSLUG00000023505	sander_lucioperca
ENSCGOP00000015136	ENSCGOG00000007333	cottoperca_gobio
ENSLBEP00000028109	ENSLBEG00000021282	labrus_bergylta
ENSATEP00000001235	ENSATEG00000000833	anabas_testudineus
ENSMAMP00000007523	ENSMAMG00000005099	mastacembelus_armatus
ENSMALP00000008872	ENSMALG00000006305	monopterus_albus
ENSLCAP00010007855	ENSLCAG00010003816	lates_calcarifer
ENSSLDP00000017705	ENSSLDG00000013946	seriola_lalandi_dorsalis
ENSSDUP00000032805	ENSSDUG00000023577	seriola_dumerili
ENSENLP00000015088	ENSENLG00000007028	echeneis_naucrates
ENSHCOP00000020208	ENSHCOG00000006098	hippocampus_comes
ENSNMLP00000041027	ENSNMLG00000025156	neogobius_melanostomus
ENSPMGP00000003407	ENSPMGG00000002939	periophthalmus_magnuspinnatus
ENSSORP00005025969	ENSSORG00005012465	sphaeramia_orbicularis
ENSSPAP00000030390	ENSSPAG00000022812	stegastes_partitus
ENSAOCP00000029927	ENSAOCG00000020569	amphiprion_ocellaris
ENSAPEP00000006497	ENSAPEG00000004634	amphiprion_percula
ENSAPOP00000024545	ENSAPOG00000006964	acanthochromis_polyacanthus
ENSSFAP00005047289	ENSSFAG00005022999	salarias_fasciatus
ENSGACP00000024106	ENSGACG00000018235	gasterosteus_aculeatus
ENSCLMP00005038914	ENSCLMG00005018406	cyclopterus_lumpus
ENSTRUP00000007869	ENSTRUG00000003366	takifugu_rubripes
ENSTNIP00000005174	ENSTNIG00000002621	tetraodon_nigroviridis
ENSMMOP00000027934	ENSMMOG00000021121	mola_mola
ENSSMAP00000028017	ENSSMAG00000017104	scophthalmus_maximus
ENSBSLP00000023217	ENSBSLG00000011706	betta_splendens
ENSELUP00000013268	ENSELUG00000000493	esox_lucius
ENSSSAP00000009864	ENSSSAG00000004921	salmo_salar
ENSSSAP00000046338	ENSSSAG00000047403	salmo_salar
ENSSTUP00000043848	ENSSTUG00000018444	salmo_trutta
ENSOKIP00005067217	ENSOKIG00005028585	oncorhynchus_kisutch
ENSOMYP00000063730	ENSOMYG00000029479	oncorhynchus_mykiss
ENSOTSP00005088419	ENSOTSG00005041650	oncorhynchus_tshawytscha
ENSHHUP00000031094	ENSHHUG00000019754	hucho_hucho
ENSLOCP00000003123	ENSLOCG00000002642	lepisosteus_oculatus
ENSECRP00000021128	ENSECRG00000013879	erpetoichthys_calabaricus
ENSCSEP00000031271	ENSCSEG00000020022	cynoglossus_semilaevis
ENSCSEP00000010725	ENSCSEG00000006880	cynoglossus_semilaevis
ENSPMAP00000001696	ENSPMAG00000001543	petromyzon_marinus
ENSEBUP00000021403	ENSEBUG00000013223	eptatretus_burgeri
