ENSPCIP00000049874	ENSPCIG00000031448	phascolarctos_cinereus
ENSJJAP00000018603	ENSJJAG00000019817	jaculus_jaculus
ENSPEMP00000023537	ENSPEMG00000020548	peromyscus_maniculatus_bairdii
ENSPEMP00000033835	ENSPEMG00000027637	peromyscus_maniculatus_bairdii
ENSCGRP00015008076	ENSCGRG00015006287	cricetulus_griseus_picr
ENSCGRP00015008098	ENSCGRG00015006296	cricetulus_griseus_picr
ENSCGRP00000002099	ENSCGRG00000001555	cricetulus_griseus_crigri
ENSCGRP00000002334	ENSCGRG00000001719	cricetulus_griseus_crigri
ENSCGRP00001016560	ENSCGRG00001016839	cricetulus_griseus_chok1gshd
ENSMAUP00000021434	ENSMAUG00000019172	mesocricetus_auratus
ENSMOCP00000027071	ENSMOCG00000022678	microtus_ochrogaster
ENSMUGP00000009012	ENSMUGG00000008078	meriones_unguiculatus
ENSMUGP00000009037	ENSMUGG00000008096	meriones_unguiculatus
MGP_PahariEiJ_P0079418	MGP_PahariEiJ_G0028786	mus_pahari
MGP_SPRETEiJ_P0066822	MGP_SPRETEiJ_G0027434	mus_spretus
ENSMSIP00000018044	ENSMSIG00000015368	mus_spicilegus
MGP_CAROLIEiJ_P0064324	MGP_CAROLIEiJ_G0026455	mus_caroli
ENSRNOP00000053334	ENSRNOG00000037340	rattus_norvegicus
ENSNGAP00000009732	ENSNGAG00000012338	nannospalax_galili
ENSNGAP00000009684	ENSNGAG00000012305	nannospalax_galili
ENSTSYP00000000298	ENSTSYG00000000329	carlito_syrichta
ENSNLEP00000014165	ENSNLEG00000011640	nomascus_leucogenys
ENSGGOP00000007563	ENSGGOG00000007724	gorilla_gorilla
ENSP00000362139	ENSG00000183317	homo_sapiens
ENSPTRP00000000976	ENSPTRG00000000553	pan_troglodytes
ENSPPAP00000038745	ENSPPAG00000042080	pan_paniscus
ENSPPYP00000001761	ENSPPYG00000001525	pongo_abelii
ENSCANP00000035210	ENSCANG00000041281	colobus_angolensis_palliatus
ENSPTEP00000025400	ENSPTEG00000025700	piliocolobus_tephrosceles
ENSRBIP00000017708	ENSRBIG00000032865	rhinopithecus_bieti
ENSRROP00000000991	ENSRROG00000003477	rhinopithecus_roxellana
ENSMMUP00000018841	ENSMMUG00000022038	macaca_mulatta
ENSMFAP00000028997	ENSMFAG00000041787	macaca_fascicularis
ENSMFAP00000006840	ENSMFAG00000039103	macaca_fascicularis
ENSMNEP00000018024	ENSMNEG00000032931	macaca_nemestrina
ENSPANP00000039322	ENSPANG00000023477	papio_anubis
ENSTGEP00000025322	ENSTGEG00000020404	theropithecus_gelada
ENSMLEP00000023869	ENSMLEG00000036102	mandrillus_leucophaeus
ENSCATP00000017336	ENSCATG00000032555	cercocebus_atys
ENSCSAP00000016899	ENSCSAG00000001114	chlorocebus_sabaeus
ENSANAP00000035723	ENSANAG00000035395	aotus_nancymaae
ENSSBOP00000017627	ENSSBOG00000025445	saimiri_boliviensis_boliviensis
ENSCCAP00000026421	ENSCCAG00000030980	cebus_capucinus
ENSCJAP00000003719	ENSCJAG00000002019	callithrix_jacchus
ENSOGAP00000007770	ENSOGAG00000008660	otolemur_garnettii
ENSPSMP00000020252	ENSPSMG00000014297	prolemur_simus
ENSPCOP00000017577	ENSPCOG00000020610	propithecus_coquereli
ENSMICP00000018754	ENSMICG00000011936	microcebus_murinus
ENSPCTP00005021729	ENSPCTG00005015462	physeter_catodon
ENSMLUP00000011151	ENSMLUG00000012236	myotis_lucifugus
ENSPVAP00000009561	ENSPVAG00000010140	pteropus_vampyrus
ENSRFEP00010004295	ENSRFEG00010003007	rhinolophus_ferrumequinum
ENSSSUP00005026127	ENSSSUG00005016967	suricata_suricatta
ENSPPRP00000016451	ENSPPRG00000008736	panthera_pardus
ENSPLOP00000027499	ENSPLOG00000020016	panthera_leo
ENSPTIP00000021819	ENSPTIG00000018856	panthera_tigris_altaica
ENSPTIP00000020807	ENSPTIG00000018153	panthera_tigris_altaica
ENSFCAP00000031846	ENSFCAG00000036316	felis_catus
ENSLCNP00005011211	ENSLCNG00005007342	lynx_canadensis
ENSUTTP00000035519	ENSUTTG00000022675	ursus_thibetanus_thibetanus
ENSUAMP00000017822	ENSUAMG00000014137	ursus_americanus
ENSAMEP00000001209	ENSAMEG00000001105	ailuropoda_melanoleuca
ENSNVIP00000016512	ENSNVIG00000012947	neovison_vison
ENSNVIP00000016504	ENSNVIG00000012938	neovison_vison
ENSMPUP00000014453	ENSMPUG00000014564	mustela_putorius_furo
ENSZCAP00015030875	ENSZCAG00015019177	zalophus_californianus
ENSVVUP00000031833	ENSVVUG00000023142	vulpes_vulpes
ENSVVUP00000031824	ENSVVUG00000023136	vulpes_vulpes
ENSCAFP00030028012	ENSCAFG00030017268	canis_lupus_familiarisbasenji
ENSCAFP00040008745	ENSCAFG00040005226	canis_lupus_familiarisgreatdane
ENSCAFP00020009735	ENSCAFG00020007865	canis_lupus_dingo
ENSECAP00000020529	ENSECAG00000022781	equus_caballus
ENSEASP00005017717	ENSEASG00005012249	equus_asinus_asinus
ENSSSCP00000055217	ENSSSCG00000038675	sus_scrofa
ENSCWAP00000008747	ENSCWAG00000006616	catagonus_wagneri
ENSCDRP00005014083	ENSCDRG00005009993	camelus_dromedarius
ENSCDRP00005014038	ENSCDRG00005009929	camelus_dromedarius
ENSBBBP00000016910	ENSBBBG00000025137	bison_bison_bison
ENSBBBP00000028396	ENSBBBG00000006660	bison_bison_bison
ENSBMUP00000006577	ENSBMUG00000005202	bos_mutus
ENSBMUP00000006556	ENSBMUG00000005188	bos_mutus
ENSCHIP00010041224	ENSCHIG00010030233	capra_hircus_blackbengal
ENSCHYP00000040462	ENSCHYG00000026807	cervus_hanglu_yarkandensis
ENSBGRP00000009904	ENSBGRG00000006008	bos_grunniens
ENSBTAP00000033182	ENSBTAG00000020510	bos_taurus
ENSBIXP00005025961	ENSBIXG00005004885	bos_indicus_hybrid
ENSBIXP00000023096	ENSBIXG00000025670	bos_taurus_hybrid
ENSOARP00000021313	ENSOARG00000019848	ovis_aries
ENSOARP00020021181	ENSOARG00020016310	ovis_aries_rambouillet
ENSCHIP00000027485	ENSCHIG00000023359	capra_hircus
ENSMMSP00000010104	ENSMMSG00000007646	moschus_moschiferus
ENSBMSP00010002615	ENSBMSG00010001956	balaenoptera_musculus
ENSPCTP00005005351	ENSPCTG00005003762	physeter_catodon
ENSMMNP00015011824	ENSMMNG00015008734	monodon_monoceros
ENSDLEP00000011110	ENSDLEG00000008023	delphinapterus_leucas
ENSPSNP00000025845	ENSPSNG00000018680	phocoena_sinus
ENSTTRP00000008164	ENSTTRG00000008612	tursiops_truncatus
ENSEEUP00000011330	ENSEEUG00000012385	erinaceus_europaeus
ENSOCUP00000026043	ENSOCUG00000025671	oryctolagus_cuniculus
ENSSTOP00000027772	ENSSTOG00000031171	ictidomys_tridecemlineatus
ENSCPOP00000004039	ENSCPOG00000004479	cavia_porcellus
ENSCAFP00000054183	ENSCAFG00000043483	canis_lupus_familiaris
ENSUMAP00000000142	ENSUMAG00000000234	ursus_maritimus
ENSDNOP00000025128	ENSDNOG00000038100	dasypus_novemcinctus
ENSETEP00000002815	ENSETEG00000003436	echinops_telfairi
ENSLAFP00000014712	ENSLAFG00000017534	loxodonta_africana
ENSPCAP00000003895	ENSPCAG00000004092	procavia_capensis
ENSSARP00000012817	ENSSARG00000014164	sorex_araneus
ENSOPRP00000006270	ENSOPRG00000006841	ochotona_princeps
