ENSECRP00000011393	ENSECRG00000007592	erpetoichthys_calabaricus
ENSCCRP00015054391	ENSCCRG00015022177	cyprinus_carpio_huanghe
ENSSANP00000087209	ENSSANG00000043066	sinocyclocheilus_anshuiensis
ENSSRHP00000011224	ENSSRHG00000006249	sinocyclocheilus_rhinocerous
ENSCARP00000054168	ENSCARG00000023355	carassius_auratus
ENSSGRP00000092919	ENSSGRG00000046525	sinocyclocheilus_grahami
ENSLLEP00000032316	ENSLLEG00000020497	leptobrachium_leishanense
ENSPCAP00000013858	ENSPCAG00000014781	procavia_capensis
ENSLAFP00000013102	ENSLAFG00000015622	loxodonta_africana
ENSETEP00000010792	ENSETEG00000013307	echinops_telfairi
ENSOPRP00000015069	ENSOPRG00000016484	ochotona_princeps
ENSOCUP00000017088	ENSOCUG00000008523	oryctolagus_cuniculus
ENSMICP00000014820	ENSMICG00000016251	microcebus_murinus
ENSPCOP00000016838	ENSPCOG00000020203	propithecus_coquereli
ENSPSMP00000025834	ENSPSMG00000018075	prolemur_simus
ENSOGAP00000013097	ENSOGAG00000014611	otolemur_garnettii
ENSANAP00000019474	ENSANAG00000027521	aotus_nancymaae
ENSSBOP00000003260	ENSSBOG00000015766	saimiri_boliviensis_boliviensis
ENSCCAP00000035811	ENSCCAG00000035784	cebus_capucinus
ENSCJAP00000063434	ENSCJAG00000019447	callithrix_jacchus
ENSPPYP00000005973	ENSPPYG00000005246	pongo_abelii
ENSGGOP00000008560	ENSGGOG00000008750	gorilla_gorilla
ENSPPAP00000020116	ENSPPAG00000033250	pan_paniscus
ENSPTRP00000009777	ENSPTRG00000005743	pan_troglodytes
ENSP00000282397	ENSG00000102755	homo_sapiens
ENSNLEP00000000655	ENSNLEG00000000456	nomascus_leucogenys
ENSCSAP00000013989	ENSCSAG00000017969	chlorocebus_sabaeus
ENSMMUP00000028363	ENSMMUG00000021538	macaca_mulatta
ENSMFAP00000021729	ENSMFAG00000035718	macaca_fascicularis
ENSMNEP00000016356	ENSMNEG00000032149	macaca_nemestrina
ENSCATP00000021745	ENSCATG00000034541	cercocebus_atys
ENSMLEP00000020299	ENSMLEG00000034284	mandrillus_leucophaeus
ENSTGEP00000025540	ENSTGEG00000020549	theropithecus_gelada
ENSPANP00000006169	ENSPANG00000009892	papio_anubis
ENSCANP00000029672	ENSCANG00000038444	colobus_angolensis_palliatus
ENSRROP00000041863	ENSRROG00000044082	rhinopithecus_roxellana
ENSRBIP00000026151	ENSRBIG00000036952	rhinopithecus_bieti
ENSPTEP00000017898	ENSPTEG00000019381	piliocolobus_tephrosceles
ENSTSYP00000006182	ENSTSYG00000006735	carlito_syrichta
ENSSVLP00005029011	ENSSVLG00005022893	sciurus_vulgaris
ENSMMMP00000024822	ENSMMMG00000021722	marmota_marmota_marmota
ENSUPAP00010000209	ENSUPAG00010000212	urocitellus_parryii
ENSSTOP00000018055	ENSSTOG00000021178	ictidomys_tridecemlineatus
ENSSDAP00000018037	ENSSDAG00000016420	spermophilus_dauricus
ENSDORP00000021672	ENSDORG00000014729	dipodomys_ordii
ENSCCNP00000019903	ENSCCNG00000019938	castor_canadensis
ENSCGRP00015022349	ENSCGRG00015016910	cricetulus_griseus_picr
ENSCGRP00000024555	ENSCGRG00000017797	cricetulus_griseus_crigri
ENSCGRP00001001014	ENSCGRG00001000764	cricetulus_griseus_chok1gshd
ENSMAUP00000005054	ENSMAUG00000006859	mesocricetus_auratus
ENSMOCP00000022930	ENSMOCG00000019790	microtus_ochrogaster
ENSPEMP00000021327	ENSPEMG00000019000	peromyscus_maniculatus_bairdii
MGP_PahariEiJ_P0060464	MGP_PahariEiJ_G0024607	mus_pahari
MGP_CAROLIEiJ_P0072258	MGP_CAROLIEiJ_G0028041	mus_caroli
ENSMUSP00000031653	ENSMUSG00000029648	mus_musculus
ENSMSIP00000028092	ENSMSIG00000023642	mus_spicilegus
MGP_SPRETEiJ_P0075076	MGP_SPRETEiJ_G0029039	mus_spretus
ENSRNOP00000001248	ENSRNOG00000000940	rattus_norvegicus
ENSNGAP00000024338	ENSNGAG00000022615	nannospalax_galili
ENSJJAP00000004496	ENSJJAG00000009276	jaculus_jaculus
ENSCLAP00000011873	ENSCLAG00000008187	chinchilla_lanigera
ENSCPOP00000012023	ENSCPOG00000013357	cavia_porcellus
ENSCAPP00000007096	ENSCAPG00000009115	cavia_aperea
ENSCAPP00000012729	ENSCAPG00000013517	cavia_aperea
ENSODEP00000008408	ENSODEG00000006274	octodon_degus
ENSFDAP00000020809	ENSFDAG00000008165	fukomys_damarensis
ENSHGLP00000004971	ENSHGLG00000003643	heterocephalus_glaber_female
ENSHGLP00100007217	ENSHGLG00100005413	heterocephalus_glaber_male
ENSTBEP00000008655	ENSTBEG00000009960	tupaia_belangeri
ENSRFEP00010006202	ENSRFEG00010004193	rhinolophus_ferrumequinum
ENSPVAP00000001052	ENSPVAG00000001114	pteropus_vampyrus
ENSMLUP00000003972	ENSMLUG00000004358	myotis_lucifugus
ENSECAP00000022964	ENSECAG00000021700	equus_caballus
ENSEASP00005032854	ENSEASG00005022461	equus_asinus_asinus
ENSPCTP00005020242	ENSPCTG00005014294	physeter_catodon
ENSTTRP00000007593	ENSTTRG00000008026	tursiops_truncatus
ENSPSNP00000015178	ENSPSNG00000010996	phocoena_sinus
ENSMMNP00015028129	ENSMMNG00015020525	monodon_monoceros
ENSDLEP00000021398	ENSDLEG00000015551	delphinapterus_leucas
ENSBMSP00010020703	ENSBMSG00010014949	balaenoptera_musculus
ENSBGRP00000010242	ENSBGRG00000006327	bos_grunniens
ENSBMUP00000030919	ENSBMUG00000023081	bos_mutus
ENSBIXP00000000470	ENSBIXG00000029786	bos_taurus_hybrid
ENSBIXP00005004124	ENSBIXG00005010159	bos_indicus_hybrid
ENSBTAP00000053725	ENSBTAG00000016915	bos_taurus
ENSBBBP00000003376	ENSBBBG00000012485	bison_bison_bison
ENSOARP00000013064	ENSOARG00000012180	ovis_aries
ENSOARP00020012908	ENSOARG00020010103	ovis_aries_rambouillet
ENSCHIP00010014005	ENSCHIG00010010262	capra_hircus_blackbengal
ENSCHIP00000021173	ENSCHIG00000019587	capra_hircus
ENSMMSP00000003598	ENSMMSG00000002716	moschus_moschiferus
ENSCHYP00000025149	ENSCHYG00000016765	cervus_hanglu_yarkandensis
ENSCWAP00000023569	ENSCWAG00000017867	catagonus_wagneri
ENSSSCP00000062931	ENSSSCG00000009320	sus_scrofa
ENSCDRP00005006629	ENSCDRG00005003978	camelus_dromedarius
ENSVPAP00000005904	ENSVPAG00000006361	vicugna_pacos
ENSZCAP00015001565	ENSZCAG00015000894	zalophus_californianus
ENSUAMP00000030289	ENSUAMG00000023232	ursus_americanus
ENSUMAP00000023353	ENSUMAG00000017006	ursus_maritimus
ENSUTTP00000020978	ENSUTTG00000013242	ursus_thibetanus_thibetanus
ENSAMEP00000002449	ENSAMEG00000002209	ailuropoda_melanoleuca
ENSNVIP00000003893	ENSNVIG00000002982	neovison_vison
ENSMPUP00000004662	ENSMPUG00000004699	mustela_putorius_furo
ENSVVUP00000012756	ENSVVUG00000009356	vulpes_vulpes
ENSCAFP00030034372	ENSCAFG00030021176	canis_lupus_familiarisbasenji
ENSCAFP00000010012	ENSCAFG00000006701	canis_lupus_familiaris
ENSCAFP00040029484	ENSCAFG00040018003	canis_lupus_familiarisgreatdane
ENSCAFP00020032326	ENSCAFG00020025171	canis_lupus_dingo
ENSSSUP00005000321	ENSSSUG00005000234	suricata_suricatta
ENSPTIP00000005348	ENSPTIG00000007575	panthera_tigris_altaica
ENSPPRP00000022585	ENSPPRG00000013104	panthera_pardus
ENSPLOP00000028386	ENSPLOG00000020410	panthera_leo
ENSLCNP00005000094	ENSLCNG00005000068	lynx_canadensis
ENSFCAP00000027410	ENSFCAG00000013299	felis_catus
ENSSARP00000000816	ENSSARG00000000837	sorex_araneus
ENSEEUP00000013660	ENSEEUG00000014914	erinaceus_europaeus
ENSCHOP00000006013	ENSCHOG00000006767	choloepus_hoffmanni
ENSMODP00000011380	ENSMODG00000009128	monodelphis_domestica
ENSSHAP00000021496	ENSSHAG00000018212	sarcophilus_harrisii
ENSMEUP00000001265	ENSMEUG00000001372	notamacropus_eugenii
ENSPCIP00000029796	ENSPCIG00000036587	phascolarctos_cinereus
ENSVURP00010026695	ENSVURG00010020423	vombatus_ursinus
ENSOANP00000014443	ENSOANG00000009071	ornithorhynchus_anatinus
ENSACAP00000009452	ENSACAG00000009344	anolis_carolinensis
ENSPVIP00000028349	ENSPVIG00000020986	pogona_vitticeps
ENSVKKP00000009536	ENSVKKG00000006739	varanus_komodoensis
ENSLLTP00000022171	ENSLLTG00000016504	laticauda_laticaudata
ENSNSUP00000017649	ENSNSUG00000012953	notechis_scutatus
ENSPTXP00000007353	ENSPTXG00000005343	pseudonaja_textilis
ENSNNAP00000028565	ENSNNAG00000018362	naja_naja
ENSSMRP00000016824	ENSSMRG00000013116	salvator_merianae
ENSPMRP00000006091	ENSPMRG00000004119	podarcis_muralis
ENSSPUP00000006148	ENSSPUG00000004702	sphenodon_punctatus
ENSCPGP00000013276	ENSCPGG00000009412	calidris_pygmaea
ENSCPUP00000019534	ENSCPUG00000013421	calidris_pugnax
ENSMCSP00000004852	ENSMCSG00000003427	malurus_cyaneus_samueli
ENSCUSP00005017132	ENSCUSG00005010978	catharus_ustulatus
ENSFALP00000008908	ENSFALG00000008542	ficedula_albicollis
ENSLSDP00000000119	ENSLSDG00000000119	lonchura_striata_domestica
ENSTGUP00000012008	ENSTGUG00000011631	taeniopygia_guttata
ENSEGOP00005002071	ENSEGOG00005001675	erythrura_gouldiae
ENSJHYP00000014974	ENSJHYG00000011556	junco_hyemalis
ENSZALP00000014016	ENSZALG00000011643	zonotrichia_albicollis
ENSCPVP00000009248	ENSCPVG00000006193	camarhynchus_parvulus
ENSGFOP00000002128	ENSGFOG00000001313	geospiza_fortis
ENSSCAP00000008655	ENSSCAG00000006594	serinus_canaria
ENSCRFP00000014334	ENSCRFG00000010995	stachyris_ruficeps
ENSZLMP00000012951	ENSZLMG00000008991	zosterops_lateralis_melanops
ENSPMJP00000023688	ENSPMJG00000017473	parus_major
ENSCCEP00000027213	ENSCCEG00000023774	cyanistes_caeruleus
ENSCMUP00000022693	ENSCMUG00000013934	corvus_moneduloides
ENSMVIP00005001578	ENSMVIG00005001240	manacus_vitellinus
ENSLCOP00000005010	ENSLCOG00000003750	lepidothrix_coronata
ENSFTIP00000010970	ENSFTIG00000007356	falco_tinnunculus
ENSACOP00000001117	ENSACOG00000000810	amazona_collaria
ENSSHBP00005011572	ENSSHBG00005009961	strigops_habroptila
ENSMUNP00000006360	ENSMUNG00000005116	melopsittacus_undulatus
ENSACUP00000004273	ENSACUG00000002887	athene_cunicularia
ENSOSUP00000013552	ENSOSUG00000009733	otus_sunia
ENSBOBP00000005799	ENSBOBG00000003866	bubo_bubo
ENSSOCP00000007083	ENSSOCG00000005345	strix_occidentalis_caurina
ENSANIP00000001322	ENSANIG00000000847	accipiter_nisus
ENSBJAP00000011766	ENSBJAG00000007958	buteo_japonicus
ENSACCP00020022826	ENSACCG00020015689	aquila_chrysaetos_chrysaetos
ENSAZOP00000005848	ENSAZOG00000003754	anas_zonorhyncha
ENSAPLP00020006360	ENSAPLG00020004653	anas_platyrhynchos
ENSAPLP00000020030	ENSAPLG00000006689	anas_platyrhynchos_platyrhynchos
ENSCMMP00000028555	ENSCMMG00000017385	cairina_moschata_domestica
ENSABRP00000023953	ENSABRG00000020130	anser_brachyrhynchus
ENSACDP00005024664	ENSACDG00005017844	anser_cygnoides
ENSNMEP00000022646	ENSNMEG00000019368	numida_meleagris
ENSCJPP00005026217	ENSCJPG00005020431	coturnix_japonica
ENSGALP00000027556	ENSGALG00000017091	gallus_gallus
ENSMGAP00000016009	ENSMGAG00000015095	meleagris_gallopavo
ENSPCLP00000023984	ENSPCLG00000021133	phasianus_colchicus
ENSCPIP00010007851	ENSCPIG00010006143	chrysolophus_pictus
ENSPSTP00000018750	ENSPSTG00000013312	pavo_cristatus
ENSARWP00000012729	ENSARWG00000008810	apteryx_rowi
ENSAHAP00000003797	ENSAHAG00000002953	apteryx_haastii
ENSAOWP00000013856	ENSAOWG00000009436	apteryx_owenii
ENSDNVP00000006345	ENSDNVG00000004547	dromaius_novaehollandiae
ENSSCUP00000020349	ENSSCUG00000014934	struthio_camelus_australis
ENSNPEP00000013585	ENSNPEG00000010147	nothoprocta_perdicaria
ENSCPRP00005017520	ENSCPRG00005012211	crocodylus_porosus
ENSPSIP00000014623	ENSPSIG00000012931	pelodiscus_sinensis
ENSCSRP00000007077	ENSCSRG00000005119	chelydra_serpentina
ENSTMTP00000023083	ENSTMTG00000016099	terrapene_carolina_triunguis
ENSTMTP00000008280	ENSTMTG00000005491	terrapene_carolina_triunguis
ENSCPBP00000028993	ENSCPBG00000020453	chrysemys_picta_bellii
ENSGEVP00005001774	ENSGEVG00005001326	gopherus_evgoodei
ENSGAGP00000009354	ENSGAGG00000007407	gopherus_agassizii
ENSCABP00000001777	ENSCABG00000001419	chelonoidis_abingdonii
ENSPCEP00000023274	ENSPCEG00000016900	pelusios_castaneus
ENSLACP00000019807	ENSLACG00000017415	latimeria_chalumnae
