ENSSFOP00015074855	ENSSFOG00015021490	scleropages_formosus
ENSXMAP00000022782	ENSXMAG00000025190	xiphophorus_maculatus
ENSPMEP00000005680	ENSPMEG00000007095	poecilia_mexicana
ENSPLAP00000006081	ENSPLAG00000008148	poecilia_latipinna
ENSGAFP00000030858	ENSGAFG00000020801	gambusia_affinis
ENSGWIP00000055943	ENSGWIG00000026569	gouania_willdenowi
ENSLBEP00000012670	ENSLBEG00000009681	labrus_bergylta
ENSCLMP00005038568	ENSCLMG00005017869	cyclopterus_lumpus
ENSGACP00000008293	ENSGACG00000006268	gasterosteus_aculeatus
ENSSFAP00005029699	ENSSFAG00005008124	salarias_fasciatus
ENSSFAP00005015050	ENSSFAG00005008068	salarias_fasciatus
ENSPMGP00000015977	ENSPMGG00000013105	periophthalmus_magnuspinnatus
ENSNMLP00000013113	ENSNMLG00000006513	neogobius_melanostomus
ENSTRUP00000085673	ENSTRUG00000033069	takifugu_rubripes
ENSTNIP00000010054	ENSTNIG00000007251	tetraodon_nigroviridis
ENSCSEP00000025751	ENSCSEG00000016445	cynoglossus_semilaevis
