ENSLACP00000004383	ENSLACG00000003897	latimeria_chalumnae
ENSCHYP00000020900	ENSCHYG00000013749	cervus_hanglu_yarkandensis
ENSECAP00000011188	ENSECAG00000012032	equus_caballus
ENSEASP00005028654	ENSEASG00005019490	equus_asinus_asinus
ENSTBEP00000001947	ENSTBEG00000002212	tupaia_belangeri
ENSOCUP00000034895	ENSOCUG00000007086	oryctolagus_cuniculus
ENSOPRP00000012288	ENSOPRG00000013457	ochotona_princeps
ENSJJAP00000001751	ENSJJAG00000002257	jaculus_jaculus
ENSNGAP00000014334	ENSNGAG00000015645	nannospalax_galili
ENSMUGP00000032731	ENSMUGG00000027172	meriones_unguiculatus
ENSMSIP00000022857	ENSMSIG00000019425	mus_spicilegus
MGP_SPRETEiJ_P0071338	MGP_SPRETEiJ_G0028304	mus_spretus
ENSMUSP00000005815	ENSMUSG00000005672	mus_musculus
MGP_CAROLIEiJ_P0068693	MGP_CAROLIEiJ_G0027310	mus_caroli
MGP_PahariEiJ_P0031875	MGP_PahariEiJ_G0017090	mus_pahari
ENSRNOP00000003050	ENSRNOG00000002227	rattus_norvegicus
ENSMAUP00000013833	ENSMAUG00000013726	mesocricetus_auratus
ENSMAUP00000009932	ENSMAUG00000010958	mesocricetus_auratus
ENSCGRP00000000287	ENSCGRG00000000277	cricetulus_griseus_crigri
ENSCGRP00015009199	ENSCGRG00015007061	cricetulus_griseus_picr
ENSCGRP00001012206	ENSCGRG00001013653	cricetulus_griseus_chok1gshd
ENSPEMP00000010243	ENSPEMG00000011261	peromyscus_maniculatus_bairdii
ENSMOCP00000007780	ENSMOCG00000007652	microtus_ochrogaster
ENSDORP00000006862	ENSDORG00000007317	dipodomys_ordii
ENSCCNP00000005401	ENSCCNG00000005712	castor_canadensis
ENSFDAP00000006399	ENSFDAG00000015176	fukomys_damarensis
ENSHGLP00000018719	ENSHGLG00000013408	heterocephalus_glaber_female
ENSHGLP00100000460	ENSHGLG00100000387	heterocephalus_glaber_male
ENSHGLP00100010529	ENSHGLG00100007827	heterocephalus_glaber_male
ENSHGLP00000008489	ENSHGLG00000006129	heterocephalus_glaber_female
ENSCLAP00000009253	ENSCLAG00000006440	chinchilla_lanigera
ENSODEP00000017290	ENSODEG00000012738	octodon_degus
ENSCPOP00000010258	ENSCPOG00000011411	cavia_porcellus
ENSCAPP00000011767	ENSCAPG00000012754	cavia_aperea
ENSSVLP00005027787	ENSSVLG00005021747	sciurus_vulgaris
ENSSTOP00000000677	ENSSTOG00000000752	ictidomys_tridecemlineatus
ENSUPAP00010026260	ENSUPAG00010020754	urocitellus_parryii
ENSSDAP00000000591	ENSSDAG00000000550	spermophilus_dauricus
ENSMMMP00000023458	ENSMMMG00000020518	marmota_marmota_marmota
ENSOGAP00000008546	ENSOGAG00000009550	otolemur_garnettii
ENSPCOP00000023779	ENSPCOG00000024040	propithecus_coquereli
ENSPSMP00000029351	ENSPSMG00000020340	prolemur_simus
ENSMICP00000000745	ENSMICG00000000829	microcebus_murinus
ENSANAP00000025420	ENSANAG00000030367	aotus_nancymaae
ENSCJAP00000054263	ENSCJAG00000018396	callithrix_jacchus
ENSCCAP00000031076	ENSCCAG00000033583	cebus_capucinus
ENSSBOP00000031024	ENSSBOG00000031748	saimiri_boliviensis_boliviensis
ENSPPYP00000016492	ENSPPYG00000014766	pongo_abelii
ENSPPAP00000019540	ENSPPAG00000032952	pan_paniscus
ENSPTRP00000027637	ENSPTRG00000016067	pan_troglodytes
ENSP00000288135	ENSG00000157404	homo_sapiens
ENSGGOP00000015071	ENSGGOG00000015440	gorilla_gorilla
ENSNLEP00000010174	ENSNLEG00000008295	nomascus_leucogenys
ENSCATP00000000977	ENSCATG00000004601	cercocebus_atys
ENSMLEP00000031791	ENSMLEG00000040087	mandrillus_leucophaeus
ENSCSAP00000001313	ENSCSAG00000004992	chlorocebus_sabaeus
ENSTGEP00000028271	ENSTGEG00000022769	theropithecus_gelada
ENSPANP00000018706	ENSPANG00000025525	papio_anubis
ENSMFAP00000007152	ENSMFAG00000041033	macaca_fascicularis
ENSMMUP00000061240	ENSMMUG00000060342	macaca_mulatta
ENSMNEP00000018461	ENSMNEG00000033149	macaca_nemestrina
ENSPTEP00000029190	ENSPTEG00000028644	piliocolobus_tephrosceles
ENSCANP00000036242	ENSCANG00000041818	colobus_angolensis_palliatus
ENSRBIP00000028376	ENSRBIG00000038068	rhinopithecus_bieti
ENSRROP00000034352	ENSRROG00000040734	rhinopithecus_roxellana
ENSTSYP00000004104	ENSTSYG00000004428	carlito_syrichta
ENSETEP00000007086	ENSETEG00000008715	echinops_telfairi
ENSLAFP00000017394	ENSLAFG00000022078	loxodonta_africana
ENSPCAP00000007199	ENSPCAG00000007657	procavia_capensis
ENSDNOP00000012492	ENSDNOG00000016105	dasypus_novemcinctus
ENSCHOP00000005717	ENSCHOG00000006451	choloepus_hoffmanni
ENSMODP00000035939	ENSMODG00000020671	monodelphis_domestica
ENSSHAP00000012495	ENSSHAG00000010697	sarcophilus_harrisii
ENSSHAP00000012604	ENSSHAG00000010786	sarcophilus_harrisii
ENSPCIP00000007854	ENSPCIG00000006562	phascolarctos_cinereus
ENSVURP00010013802	ENSVURG00010010615	vombatus_ursinus
ENSMEUP00000003181	ENSMEUG00000003474	notamacropus_eugenii
ENSPCEP00000020799	ENSPCEG00000005980	pelusios_castaneus
ENSPSIP00000009260	ENSPSIG00000008233	pelodiscus_sinensis
ENSCSRP00000013579	ENSCSRG00000009929	chelydra_serpentina
ENSCABP00000011494	ENSCABG00000008559	chelonoidis_abingdonii
ENSGEVP00005026191	ENSGEVG00005015429	gopherus_evgoodei
ENSGAGP00000031294	ENSGAGG00000022489	gopherus_agassizii
ENSTMTP00000015885	ENSTMTG00000011486	terrapene_carolina_triunguis
ENSCPBP00000036013	ENSCPBG00000025043	chrysemys_picta_bellii
ENSCPRP00005014683	ENSCPRG00005010332	crocodylus_porosus
ENSCPRP00005014675	ENSCPRG00005010319	crocodylus_porosus
ENSNPEP00000007512	ENSNPEG00000005603	nothoprocta_perdicaria
ENSDNVP00000015719	ENSDNVG00000009941	dromaius_novaehollandiae
ENSAOWP00000009666	ENSAOWG00000006628	apteryx_owenii
ENSARWP00000007371	ENSARWG00000005153	apteryx_rowi
ENSAHAP00000025183	ENSAHAG00000017262	apteryx_haastii
ENSSCUP00000006063	ENSSCUG00000004502	struthio_camelus_australis
ENSBJAP00000023955	ENSBJAG00000015123	buteo_japonicus
ENSACCP00020009822	ENSACCG00020006083	aquila_chrysaetos_chrysaetos
ENSANIP00000008440	ENSANIG00000003211	accipiter_nisus
ENSMUNP00000008220	ENSMUNG00000006564	melopsittacus_undulatus
ENSSHBP00005024175	ENSSHBG00005020143	strigops_habroptila
ENSACOP00000019548	ENSACOG00000013308	amazona_collaria
ENSCPUP00000016939	ENSCPUG00000011686	calidris_pugnax
ENSCPGP00000028004	ENSCPGG00000019302	calidris_pygmaea
ENSSOCP00000011331	ENSSOCG00000008482	strix_occidentalis_caurina
ENSBOBP00000005302	ENSBOBG00000003140	bubo_bubo
ENSOSUP00000006645	ENSOSUG00000004508	otus_sunia
ENSACUP00000005332	ENSACUG00000003592	athene_cunicularia
ENSFTIP00000023919	ENSFTIG00000015348	falco_tinnunculus
ENSLCOP00000001314	ENSLCOG00000001089	lepidothrix_coronata
ENSMVIP00005014851	ENSMVIG00005010717	manacus_vitellinus
ENSLSDP00000010618	ENSLSDG00000007809	lonchura_striata_domestica
ENSTGUP00000007975	ENSTGUG00000007686	taeniopygia_guttata
ENSEGOP00005005649	ENSEGOG00005004392	erythrura_gouldiae
ENSCPVP00000004490	ENSCPVG00000003304	camarhynchus_parvulus
ENSGFOP00000007933	ENSGFOG00000005600	geospiza_fortis
ENSJHYP00000009666	ENSJHYG00000007584	junco_hyemalis
ENSZALP00000005795	ENSZALG00000000322	zonotrichia_albicollis
ENSSCAP00000011743	ENSSCAG00000008259	serinus_canaria
ENSCMUP00000010367	ENSCMUG00000006608	corvus_moneduloides
ENSZLMP00000018198	ENSZLMG00000012489	zosterops_lateralis_melanops
ENSCRFP00000015348	ENSCRFG00000011827	stachyris_ruficeps
ENSCCEP00000015616	ENSCCEG00000014746	cyanistes_caeruleus
ENSPMJP00000007751	ENSPMJG00000006372	parus_major
ENSFALP00000003659	ENSFALG00000003481	ficedula_albicollis
ENSCUSP00005000333	ENSCUSG00005000235	catharus_ustulatus
ENSMCSP00000001129	ENSMCSG00000000833	malurus_cyaneus_samueli
ENSPSTP00000024590	ENSPSTG00000018149	pavo_cristatus
ENSCJPP00005012566	ENSCJPG00005010681	coturnix_japonica
ENSMGAP00000012432	ENSMGAG00000011800	meleagris_gallopavo
ENSCPIP00010013890	ENSCPIG00010010998	chrysolophus_pictus
ENSPCLP00000002819	ENSPCLG00000002377	phasianus_colchicus
ENSGALP00000051217	ENSGALG00000038634	gallus_gallus
ENSPSTP00000001236	ENSPSTG00000000971	pavo_cristatus
ENSNMEP00000011842	ENSNMEG00000011122	numida_meleagris
ENSCMMP00000016704	ENSCMMG00000010613	cairina_moschata_domestica
ENSAPLP00000003686	ENSAPLG00000004054	anas_platyrhynchos_platyrhynchos
ENSAPLP00020015961	ENSAPLG00020011541	anas_platyrhynchos
ENSAZOP00000023980	ENSAZOG00000015473	anas_zonorhyncha
ENSACDP00005012677	ENSACDG00005009330	anser_cygnoides
ENSABRP00000000112	ENSABRG00000000133	anser_brachyrhynchus
ENSPTXP00000006959	ENSPTXG00000004726	pseudonaja_textilis
ENSNSUP00000025311	ENSNSUG00000018225	notechis_scutatus
ENSLLTP00000023596	ENSLLTG00000011134	laticauda_laticaudata
ENSNNAP00000014578	ENSNNAG00000008242	naja_naja
ENSPVIP00000003841	ENSPVIG00000003145	pogona_vitticeps
ENSACAP00000010084	ENSACAG00000009902	anolis_carolinensis
ENSVKKP00000027858	ENSVKKG00000018060	varanus_komodoensis
ENSPMRP00000020702	ENSPMRG00000013448	podarcis_muralis
ENSSMRP00000006323	ENSSMRG00000005119	salvator_merianae
ENSSPUP00000022686	ENSSPUG00000017400	sphenodon_punctatus
ENSLOCP00000017458	ENSLOCG00000014166	lepisosteus_oculatus
ENSCARP00000013681	ENSCARG00000006377	carassius_auratus
ENSSGRP00000006723	ENSSGRG00000004594	sinocyclocheilus_grahami
ENSHHUP00000032909	ENSHHUG00000020826	hucho_hucho
ENSGMOP00000011043	ENSGMOG00000010319	gadus_morhua
ENSMMDP00005048160	ENSMMDG00005021802	myripristis_murdjan
ENSPMGP00000026820	ENSPMGG00000021645	periophthalmus_magnuspinnatus
ENSTRUP00000063495	ENSTRUG00000015193	takifugu_rubripes
ENSTNIP00000003543	ENSTNIG00000017656	tetraodon_nigroviridis
ENSMMOP00000008389	ENSMMOG00000006416	mola_mola
ENSDLAP00005030312	ENSDLAG00005013194	dicentrarchus_labrax
ENSLCRP00005040723	ENSLCRG00005015456	larimichthys_crocea
ENSSAUP00010061500	ENSSAUG00010024844	sparus_aurata
ENSCGOP00000052708	ENSCGOG00000023191	cottoperca_gobio
ENSGACP00000018844	ENSGACG00000014273	gasterosteus_aculeatus
ENSCLMP00005031708	ENSCLMG00005015027	cyclopterus_lumpus
ENSSLUP00000036516	ENSSLUG00000016300	sander_lucioperca
ENSLBEP00000027075	ENSLBEG00000020579	labrus_bergylta
ENSSMAP00000023330	ENSSMAG00000014222	scophthalmus_maximus
ENSENLP00000014358	ENSENLG00000005122	echeneis_naucrates
ENSSLDP00000011822	ENSSLDG00000009366	seriola_lalandi_dorsalis
ENSSDUP00000031897	ENSSDUG00000022885	seriola_dumerili
ENSLCAP00010011675	ENSLCAG00010005500	lates_calcarifer
ENSMAMP00000022223	ENSMAMG00000014929	mastacembelus_armatus
ENSMALP00000018521	ENSMALG00000012736	monopterus_albus
ENSATEP00000021662	ENSATEG00000015042	anabas_testudineus
ENSBSLP00000002722	ENSBSLG00000001473	betta_splendens
ENSCSEP00000005487	ENSCSEG00000003542	cynoglossus_semilaevis
ENSSORP00005032990	ENSSORG00005012718	sphaeramia_orbicularis
ENSACIP00000030251	ENSACIG00000023347	amphilophus_citrinellus
ENSONIP00000070788	ENSONIG00000002981	oreochromis_niloticus
ENSOABP00000043791	ENSOABG00000019670	oreochromis_aureus
ENSNBRP00000004663	ENSNBRG00000003427	neolamprologus_brichardi
ENSHBUP00000013338	ENSHBUG00000015115	haplochromis_burtoni
ENSACLP00000023341	ENSACLG00000015839	astatotilapia_calliptera
ENSMZEP00005027113	ENSMZEG00005020225	maylandia_zebra
ENSPNYP00000014615	ENSPNYG00000010935	pundamilia_nyererei
ENSSFAP00005043478	ENSSFAG00005021395	salarias_fasciatus
ENSGWIP00000013659	ENSGWIG00000007650	gouania_willdenowi
ENSPRNP00000032830	ENSPRNG00000016330	parambassis_ranga
ENSSPAP00000020117	ENSSPAG00000015156	stegastes_partitus
ENSAPOP00000032832	ENSAPOG00000020993	acanthochromis_polyacanthus
ENSAOCP00000001995	ENSAOCG00000005066	amphiprion_ocellaris
ENSAPEP00000021339	ENSAPEG00000015242	amphiprion_percula
ENSOMEP00000030980	ENSOMEG00000015560	oryzias_melastigma
ENSOJAP00000020518	ENSOJAG00000010399	oryzias_javanicus
ENSORLP00000029524	ENSORLG00000000569	oryzias_latipes
ENSORLP00020013145	ENSORLG00020014089	oryzias_latipes_hni
ENSORLP00015027777	ENSORLG00015010024	oryzias_latipes_hsok
ENSOSIP00000012759	ENSOSIG00000007148	oryzias_sinensis
ENSKMAP00000007693	ENSKMAG00000005784	kryptolebias_marmoratus
ENSNFUP00015028337	ENSNFUG00015013488	nothobranchius_furzeri
ENSPMEP00000017902	ENSPMEG00000020794	poecilia_mexicana
ENSPLAP00000028433	ENSPLAG00000017839	poecilia_latipinna
ENSPFOP00000017654	ENSPFOG00000017402	poecilia_formosa
ENSPREP00000029034	ENSPREG00000019556	poecilia_reticulata
ENSGAFP00000028535	ENSGAFG00000019294	gambusia_affinis
ENSXMAP00000013563	ENSXMAG00000013503	xiphophorus_maculatus
ENSXCOP00000011441	ENSXCOG00000008641	xiphophorus_couchianus
ENSCVAP00000025855	ENSCVAG00000010951	cyprinodon_variegatus
ENSFHEP00000012472	ENSFHEG00000013938	fundulus_heteroclitus
ENSHCOP00000025390	ENSHCOG00000015807	hippocampus_comes
ENSHHUP00000015861	ENSHHUG00000009828	hucho_hucho
ENSOMYP00000010363	ENSOMYG00000004573	oncorhynchus_mykiss
ENSOTSP00005055562	ENSOTSG00005026188	oncorhynchus_tshawytscha
ENSOKIP00005035996	ENSOKIG00005014748	oncorhynchus_kisutch
ENSSTUP00000007141	ENSSTUG00000002955	salmo_trutta
ENSSSAP00000087611	ENSSSAG00000066926	salmo_salar
ENSHHUP00000059568	ENSHHUG00000035303	hucho_hucho
ENSSSAP00000007687	ENSSSAG00000003744	salmo_salar
ENSSTUP00000023565	ENSSTUG00000010274	salmo_trutta
ENSOMYP00000012563	ENSOMYG00000005906	oncorhynchus_mykiss
ENSOTSP00005064884	ENSOTSG00005030883	oncorhynchus_tshawytscha
ENSOTSP00005040323	ENSOTSG00005019264	oncorhynchus_tshawytscha
ENSOKIP00005113793	ENSOKIG00005049332	oncorhynchus_kisutch
ENSELUP00000003166	ENSELUG00000004435	esox_lucius
ENSDARP00000099069	ENSDARG00000043317	danio_rerio
ENSCCRP00020019849	ENSCCRG00020008085	cyprinus_carpio_hebaored
ENSCCRP00000061490	ENSCCRG00000031619	cyprinus_carpio
ENSCCRP00015076766	ENSCCRG00015030606	cyprinus_carpio_huanghe
ENSCCRP00010019310	ENSCCRG00010007588	cyprinus_carpio_germanmirror
ENSCARP00000045023	ENSCARG00000017223	carassius_auratus
ENSSRHP00000085495	ENSSRHG00000042315	sinocyclocheilus_rhinocerous
ENSSANP00000044133	ENSSANG00000022308	sinocyclocheilus_anshuiensis
ENSSGRP00000075055	ENSSGRG00000038098	sinocyclocheilus_grahami
ENSCCRP00015073293	ENSCCRG00015029128	cyprinus_carpio_huanghe
ENSCCRP00010118535	ENSCCRG00010051899	cyprinus_carpio_germanmirror
ENSCCRP00020023475	ENSCCRG00020010836	cyprinus_carpio_hebaored
ENSCCRP00000072132	ENSCCRG00000038896	cyprinus_carpio
ENSCARP00000098639	ENSCARG00000049128	carassius_auratus
ENSSANP00000024329	ENSSANG00000012448	sinocyclocheilus_anshuiensis
ENSSRHP00000101169	ENSSRHG00000049591	sinocyclocheilus_rhinocerous
ENSSGRP00000029199	ENSSGRG00000015937	sinocyclocheilus_grahami
ENSPNAP00000024868	ENSPNAG00000009655	pygocentrus_nattereri
ENSAMXP00000002774	ENSAMXG00000002687	astyanax_mexicanus
ENSAMXP00005048588	ENSAMXG00005021657	astyanax_mexicanus_pachon
ENSIPUP00000015030	ENSIPUG00000010216	ictalurus_punctatus
ENSEEEP00000041356	ENSEEEG00000019569	electrophorus_electricus
ENSDCDP00000039440	ENSDCDG00000025735	denticeps_clupeoides
ENSCHAP00000013070	ENSCHAG00000006618	clupea_harengus
ENSMMDP00005007262	ENSMMDG00005003764	myripristis_murdjan
ENSHCOP00000025566	ENSHCOG00000015818	hippocampus_comes
ENSMALP00000001504	ENSMALG00000000984	monopterus_albus
ENSMAMP00000006783	ENSMAMG00000004554	mastacembelus_armatus
ENSSMAP00000021901	ENSSMAG00000013415	scophthalmus_maximus
ENSLCAP00010059252	ENSLCAG00010027617	lates_calcarifer
ENSENLP00000001580	ENSENLG00000000311	echeneis_naucrates
ENSSDUP00000005537	ENSSDUG00000004094	seriola_dumerili
ENSSLDP00000031471	ENSSLDG00000024132	seriola_lalandi_dorsalis
ENSPNYP00000021110	ENSPNYG00000015929	pundamilia_nyererei
ENSMZEP00005031947	ENSMZEG00005023827	maylandia_zebra
ENSACLP00000015358	ENSACLG00000010468	astatotilapia_calliptera
ENSHBUP00000029522	ENSHBUG00000014002	haplochromis_burtoni
ENSOABP00000052728	ENSOABG00000023195	oreochromis_aureus
ENSONIP00000011048	ENSONIG00000008788	oreochromis_niloticus
ENSACIP00000001698	ENSACIG00000001202	amphilophus_citrinellus
ENSORLP00000005520	ENSORLG00000004401	oryzias_latipes
ENSORLP00020026276	ENSORLG00020008680	oryzias_latipes_hni
ENSORLP00015025515	ENSORLG00015006694	oryzias_latipes_hsok
ENSOSIP00000044941	ENSOSIG00000021456	oryzias_sinensis
ENSOJAP00000034245	ENSOJAG00000016645	oryzias_javanicus
ENSOMEP00000031022	ENSOMEG00000015661	oryzias_melastigma
ENSCVAP00000000042	ENSCVAG00000023436	cyprinodon_variegatus
ENSGAFP00000012200	ENSGAFG00000008227	gambusia_affinis
ENSPREP00000018433	ENSPREG00000012489	poecilia_reticulata
ENSPLAP00000024585	ENSPLAG00000010947	poecilia_latipinna
ENSPFOP00000015107	ENSPFOG00000014822	poecilia_formosa
ENSPMEP00000016505	ENSPMEG00000019170	poecilia_mexicana
ENSXMAP00000017706	ENSXMAG00000017634	xiphophorus_maculatus
ENSXCOP00000018121	ENSXCOG00000013658	xiphophorus_couchianus
ENSFHEP00000003018	ENSFHEG00000003926	fundulus_heteroclitus
ENSNFUP00015037091	ENSNFUG00015017809	nothobranchius_furzeri
ENSKMAP00000029644	ENSKMAG00000021945	kryptolebias_marmoratus
ENSSFAP00005006439	ENSSFAG00005000707	salarias_fasciatus
ENSGWIP00000000585	ENSGWIG00000000374	gouania_willdenowi
ENSSPAP00000023312	ENSSPAG00000017583	stegastes_partitus
ENSAPOP00000019640	ENSAPOG00000023087	acanthochromis_polyacanthus
ENSAOCP00000030209	ENSAOCG00000021020	amphiprion_ocellaris
ENSAPEP00000031250	ENSAPEG00000022173	amphiprion_percula
ENSNBRP00000023254	ENSNBRG00000017792	neolamprologus_brichardi
ENSPRNP00000009865	ENSPRNG00000005716	parambassis_ranga
ENSPMGP00000021003	ENSPMGG00000017022	periophthalmus_magnuspinnatus
ENSNMLP00000005593	ENSNMLG00000002749	neogobius_melanostomus
ENSSORP00005011096	ENSSORG00005005932	sphaeramia_orbicularis
ENSSLUP00000032544	ENSSLUG00000014388	sander_lucioperca
ENSGACP00000021042	ENSGACG00000015944	gasterosteus_aculeatus
ENSCGOP00000041912	ENSCGOG00000017978	cottoperca_gobio
ENSLBEP00000038647	ENSLBEG00000028818	labrus_bergylta
ENSSAUP00010062047	ENSSAUG00010025076	sparus_aurata
ENSLCRP00005031529	ENSLCRG00005012510	larimichthys_crocea
ENSMMOP00000010709	ENSMMOG00000008260	mola_mola
ENSDLAP00005030326	ENSDLAG00005012617	dicentrarchus_labrax
ENSCSEP00000010234	ENSCSEG00000006569	cynoglossus_semilaevis
ENSTNIP00000006719	ENSTNIG00000004103	tetraodon_nigroviridis
ENSTRUP00000055179	ENSTRUG00000020749	takifugu_rubripes
ENSBSLP00000024591	ENSBSLG00000012404	betta_splendens
ENSATEP00000031550	ENSATEG00000021737	anabas_testudineus
ENSGMOP00000005177	ENSGMOG00000004868	gadus_morhua
ENSHHUP00000002595	ENSHHUG00000001674	hucho_hucho
ENSOKIP00005074122	ENSOKIG00005031623	oncorhynchus_kisutch
ENSOKIP00005069186	ENSOKIG00005029417	oncorhynchus_kisutch
ENSSTUP00000089131	ENSSTUG00000038998	salmo_trutta
ENSSTUP00000070253	ENSSTUG00000030728	salmo_trutta
ENSELUP00000009100	ENSELUG00000009687	esox_lucius
ENSSGRP00000097126	ENSSGRG00000048466	sinocyclocheilus_grahami
ENSSANP00000084307	ENSSANG00000041833	sinocyclocheilus_anshuiensis
ENSSRHP00000031133	ENSSRHG00000016098	sinocyclocheilus_rhinocerous
ENSCCRP00010015840	ENSCCRG00010006800	cyprinus_carpio_germanmirror
ENSCCRP00000040345	ENSCCRG00000020397	cyprinus_carpio
ENSCCRP00020038479	ENSCCRG00020017139	cyprinus_carpio_hebaored
ENSCCRP00015021530	ENSCCRG00015009214	cyprinus_carpio_huanghe
ENSCARP00000040761	ENSCARG00000017200	carassius_auratus
ENSCARP00000011570	ENSCARG00000005208	carassius_auratus
ENSSGRP00000010930	ENSSGRG00000007155	sinocyclocheilus_grahami
ENSSRHP00000008197	ENSSRHG00000004769	sinocyclocheilus_rhinocerous
ENSSANP00000033840	ENSSANG00000017246	sinocyclocheilus_anshuiensis
ENSCCRP00000084038	ENSCCRG00000045498	cyprinus_carpio
ENSCCRP00015118700	ENSCCRG00015046690	cyprinus_carpio_huanghe
ENSCCRP00020011186	ENSCCRG00020004906	cyprinus_carpio_hebaored
ENSCCRP00010111312	ENSCCRG00010048165	cyprinus_carpio_germanmirror
ENSCARP00000062251	ENSCARG00000027079	carassius_auratus
ENSDARP00000044029	ENSDARG00000056133	danio_rerio
ENSEEEP00000016157	ENSEEEG00000007995	electrophorus_electricus
ENSIPUP00000007028	ENSIPUG00000004870	ictalurus_punctatus
ENSAMXP00000022443	ENSAMXG00000021777	astyanax_mexicanus
ENSAMXP00005021209	ENSAMXG00005010824	astyanax_mexicanus_pachon
ENSPNAP00000023389	ENSPNAG00000007877	pygocentrus_nattereri
ENSCHAP00000025286	ENSCHAG00000012047	clupea_harengus
ENSDCDP00000029386	ENSDCDG00000020603	denticeps_clupeoides
ENSSFOP00015027242	ENSSFOG00015017500	scleropages_formosus
ENSPKIP00000017220	ENSPKIG00000003235	paramormyrops_kingsleyae
ENSHHUP00000003178	ENSHHUG00000002016	hucho_hucho
ENSECRP00000016761	ENSECRG00000011129	erpetoichthys_calabaricus
ENSCMIP00000029371	ENSCMIG00000012689	callorhinchus_milii
ENSPMAP00000002617	ENSPMAG00000002396	petromyzon_marinus
