ENSEBUP00000002876	ENSEBUG00000002161	eptatretus_burgeri
ENSCHYP00000034026	ENSCHYG00000022355	cervus_hanglu_yarkandensis
ENSCDRP00005006535	ENSCDRG00005004434	camelus_dromedarius
ENSZCAP00015024987	ENSZCAG00015015858	zalophus_californianus
ENSUAMP00000004951	ENSUAMG00000004369	ursus_americanus
ENSUMAP00000034177	ENSUMAG00000024583	ursus_maritimus
ENSUTTP00000006176	ENSUTTG00000003368	ursus_thibetanus_thibetanus
ENSAMEP00000001059	ENSAMEG00000000974	ailuropoda_melanoleuca
ENSMPUP00000000573	ENSMPUG00000000579	mustela_putorius_furo
ENSNVIP00000013458	ENSNVIG00000010481	neovison_vison
ENSCAFP00020002867	ENSCAFG00020002415	canis_lupus_dingo
ENSCAFP00030015429	ENSCAFG00030008962	canis_lupus_familiarisbasenji
ENSCAFP00040010953	ENSCAFG00040006537	canis_lupus_familiarisgreatdane
ENSCAFP00000036790	ENSCAFG00000000482	canis_lupus_familiaris
ENSVVUP00000037689	ENSVVUG00000026937	vulpes_vulpes
ENSSSUP00005008129	ENSSSUG00005005075	suricata_suricatta
ENSPTIP00000018686	ENSPTIG00000016679	panthera_tigris_altaica
ENSPPRP00000018779	ENSPPRG00000010423	panthera_pardus
ENSPLOP00000003549	ENSPLOG00000002503	panthera_leo
ENSFCAP00000001741	ENSFCAG00000001882	felis_catus
ENSLCNP00005001672	ENSLCNG00005001125	lynx_canadensis
ENSRFEP00010032681	ENSRFEG00010021493	rhinolophus_ferrumequinum
ENSPVAP00000014049	ENSPVAG00000014905	pteropus_vampyrus
ENSMLUP00000009004	ENSMLUG00000009835	myotis_lucifugus
ENSCPOP00000007223	ENSCPOG00000008026	cavia_porcellus
ENSCAPP00000005852	ENSCAPG00000008041	cavia_aperea
ENSCLAP00000017748	ENSCLAG00000012174	chinchilla_lanigera
ENSODEP00000008587	ENSODEG00000006420	octodon_degus
ENSFDAP00000011109	ENSFDAG00000018750	fukomys_damarensis
ENSHGLP00000025028	ENSHGLG00000017837	heterocephalus_glaber_female
ENSHGLP00100009436	ENSHGLG00100006995	heterocephalus_glaber_male
ENSCGRP00001020549	ENSCGRG00001019633	cricetulus_griseus_chok1gshd
ENSCGRP00015035232	ENSCGRG00015026436	cricetulus_griseus_picr
ENSCGRP00000008348	ENSCGRG00000006084	cricetulus_griseus_crigri
ENSMAUP00000014552	ENSMAUG00000014271	mesocricetus_auratus
ENSPEMP00000013237	ENSPEMG00000013317	peromyscus_maniculatus_bairdii
ENSMOCP00000018801	ENSMOCG00000016968	microtus_ochrogaster
MGP_PahariEiJ_P0033162	MGP_PahariEiJ_G0017411	mus_pahari
MGP_CAROLIEiJ_P0026385	MGP_CAROLIEiJ_G0016275	mus_caroli
MGP_SPRETEiJ_P0027751	MGP_SPRETEiJ_G0017120	mus_spretus
ENSMSIP00000017419	ENSMSIG00000014828	mus_spicilegus
ENSMUSP00000020617	ENSMUSG00000020357	mus_musculus
ENSRNOP00000003519	ENSRNOG00000002511	rattus_norvegicus
ENSMUGP00000031781	ENSMUGG00000026410	meriones_unguiculatus
ENSNGAP00000011414	ENSNGAG00000013547	nannospalax_galili
ENSJJAP00000015667	ENSJJAG00000017737	jaculus_jaculus
ENSDORP00000012111	ENSDORG00000012877	dipodomys_ordii
ENSCCNP00000012142	ENSCCNG00000012593	castor_canadensis
ENSMMMP00000011068	ENSMMMG00000009846	marmota_marmota_marmota
ENSUPAP00010017117	ENSUPAG00010013592	urocitellus_parryii
ENSSTOP00000018301	ENSSTOG00000009900	ictidomys_tridecemlineatus
ENSSDAP00000001631	ENSSDAG00000001575	spermophilus_dauricus
ENSOCUP00000009554	ENSOCUG00000011092	oryctolagus_cuniculus
ENSOPRP00000007600	ENSOPRG00000008278	ochotona_princeps
ENSPSMP00000018895	ENSPSMG00000013321	prolemur_simus
ENSPCOP00000009706	ENSPCOG00000016253	propithecus_coquereli
ENSMICP00000005269	ENSMICG00000005770	microcebus_murinus
ENSOGAP00000001524	ENSOGAG00000001707	otolemur_garnettii
ENSSBOP00000029424	ENSSBOG00000031031	saimiri_boliviensis_boliviensis
ENSCCAP00000002310	ENSCCAG00000013809	cebus_capucinus
ENSCJAP00000074855	ENSCJAG00000009696	callithrix_jacchus
ENSANAP00000025977	ENSANAG00000030669	aotus_nancymaae
ENSCSAP00000004321	ENSCSAG00000008130	chlorocebus_sabaeus
ENSMFAP00000045010	ENSMFAG00000033698	macaca_fascicularis
ENSMMUP00000024605	ENSMMUG00000018693	macaca_mulatta
ENSMNEP00000012240	ENSMNEG00000030424	macaca_nemestrina
ENSMLEP00000009214	ENSMLEG00000028787	mandrillus_leucophaeus
ENSCATP00000023650	ENSCATG00000035362	cercocebus_atys
ENSTGEP00000024098	ENSTGEG00000019462	theropithecus_gelada
ENSPANP00000036845	ENSPANG00000016325	papio_anubis
ENSRROP00000025016	ENSRROG00000036263	rhinopithecus_roxellana
ENSRBIP00000036443	ENSRBIG00000041805	rhinopithecus_bieti
ENSCANP00000016510	ENSCANG00000031641	colobus_angolensis_palliatus
ENSPTEP00000000884	ENSPTEG00000000943	piliocolobus_tephrosceles
ENSPPYP00000018054	ENSPPYG00000016139	pongo_abelii
ENSPPAP00000038969	ENSPPAG00000042176	pan_paniscus
ENSPTRP00000045284	ENSPTRG00000017639	pan_troglodytes
ENSGGOP00000006615	ENSGGOG00000006749	gorilla_gorilla
ENSP00000261937	ENSG00000037280	homo_sapiens
ENSNLEP00000003032	ENSNLEG00000002370	nomascus_leucogenys
ENSPCAP00000013888	ENSPCAG00000014772	procavia_capensis
ENSLAFP00000007377	ENSLAFG00000008776	loxodonta_africana
ENSETEP00000014789	ENSETEG00000018200	echinops_telfairi
ENSDNOP00000023942	ENSDNOG00000048259	dasypus_novemcinctus
ENSOANP00000002772	ENSOANG00000001739	ornithorhynchus_anatinus
ENSVKKP00000006431	ENSVKKG00000004658	varanus_komodoensis
ENSPMRP00000009784	ENSPMRG00000006396	podarcis_muralis
ENSSMRP00000022116	ENSSMRG00000017187	salvator_merianae
ENSPVIP00000010256	ENSPVIG00000008135	pogona_vitticeps
ENSPTXP00000019524	ENSPTXG00000013489	pseudonaja_textilis
ENSNSUP00000024032	ENSNSUG00000017387	notechis_scutatus
ENSNNAP00000022415	ENSNNAG00000014249	naja_naja
ENSLLTP00000008405	ENSLLTG00000006348	laticauda_laticaudata
ENSACAP00000015679	ENSACAG00000015792	anolis_carolinensis
ENSSPUP00000016021	ENSSPUG00000012355	sphenodon_punctatus
ENSCPBP00000012780	ENSCPBG00000009620	chrysemys_picta_bellii
ENSTMTP00000030547	ENSTMTG00000021944	terrapene_carolina_triunguis
ENSGAGP00000033910	ENSGAGG00000024090	gopherus_agassizii
ENSGEVP00005005867	ENSGEVG00005004155	gopherus_evgoodei
ENSCABP00000017843	ENSCABG00000013263	chelonoidis_abingdonii
ENSCSRP00000011522	ENSCSRG00000007959	chelydra_serpentina
ENSPSIP00000012299	ENSPSIG00000010766	pelodiscus_sinensis
ENSPCEP00000024068	ENSPCEG00000016623	pelusios_castaneus
ENSCPRP00005017726	ENSCPRG00005012318	crocodylus_porosus
ENSNPEP00000009347	ENSNPEG00000007017	nothoprocta_perdicaria
ENSSCUP00000003863	ENSSCUG00000002935	struthio_camelus_australis
ENSARWP00000004590	ENSARWG00000002878	apteryx_rowi
ENSACDP00005001228	ENSACDG00005000843	anser_cygnoides
ENSABRP00000020840	ENSABRG00000017535	anser_brachyrhynchus
ENSAPLP00020025948	ENSAPLG00020017755	anas_platyrhynchos
ENSAPLP00000005535	ENSAPLG00000005955	anas_platyrhynchos_platyrhynchos
ENSAZOP00000005828	ENSAZOG00000003750	anas_zonorhyncha
ENSCMMP00000015560	ENSCMMG00000008257	cairina_moschata_domestica
ENSMGAP00000007169	ENSMGAG00000006995	meleagris_gallopavo
ENSPCLP00000012066	ENSPCLG00000009925	phasianus_colchicus
ENSCPIP00010010581	ENSCPIG00010008195	chrysolophus_pictus
ENSGALP00000009174	ENSGALG00000005802	gallus_gallus
ENSPSTP00000004057	ENSPSTG00000002942	pavo_cristatus
ENSCJPP00005005972	ENSCJPG00005005537	coturnix_japonica
ENSNMEP00000022079	ENSNMEG00000018907	numida_meleagris
ENSACOP00000008473	ENSACOG00000005891	amazona_collaria
ENSMUNP00000003029	ENSMUNG00000002366	melopsittacus_undulatus
ENSSHBP00005009924	ENSSHBG00005008539	strigops_habroptila
ENSSOCP00000012456	ENSSOCG00000009427	strix_occidentalis_caurina
ENSBOBP00000006539	ENSBOBG00000004221	bubo_bubo
ENSOSUP00000002835	ENSOSUG00000002004	otus_sunia
ENSACUP00000016826	ENSACUG00000011242	athene_cunicularia
ENSACCP00020021524	ENSACCG00020014606	aquila_chrysaetos_chrysaetos
ENSBJAP00000007611	ENSBJAG00000005335	buteo_japonicus
ENSANIP00000015503	ENSANIG00000010552	accipiter_nisus
ENSFTIP00000016446	ENSFTIG00000010892	falco_tinnunculus
ENSCPUP00000004473	ENSCPUG00000002553	calidris_pugnax
ENSCPGP00000024395	ENSCPGG00000016757	calidris_pygmaea
ENSMCSP00000021089	ENSMCSG00000014747	malurus_cyaneus_samueli
ENSCMUP00000015312	ENSCMUG00000009553	corvus_moneduloides
ENSPMJP00000010324	ENSPMJG00000008144	parus_major
ENSCCEP00000010062	ENSCCEG00000010108	cyanistes_caeruleus
ENSCRFP00000001514	ENSCRFG00000001285	stachyris_ruficeps
ENSZLMP00000015434	ENSZLMG00000010627	zosterops_lateralis_melanops
ENSGFOP00000000095	ENSGFOG00000000045	geospiza_fortis
ENSCPVP00000015066	ENSCPVG00000011029	camarhynchus_parvulus
ENSEGOP00005014466	ENSEGOG00005011816	erythrura_gouldiae
ENSLSDP00000013485	ENSLSDG00000009787	lonchura_striata_domestica
ENSTGUP00000001030	ENSTGUG00000000983	taeniopygia_guttata
ENSZALP00000012256	ENSZALG00000010311	zonotrichia_albicollis
ENSJHYP00000019969	ENSJHYG00000015152	junco_hyemalis
ENSSCAP00000016082	ENSSCAG00000011785	serinus_canaria
ENSFALP00000008205	ENSFALG00000007835	ficedula_albicollis
ENSCUSP00005017197	ENSCUSG00005011013	catharus_ustulatus
ENSLCOP00000010063	ENSLCOG00000007307	lepidothrix_coronata
ENSMVIP00005017136	ENSMVIG00005012128	manacus_vitellinus
ENSAPLP00000007503	ENSAPLG00000007868	anas_platyrhynchos_platyrhynchos
ENSXETP00000095940	ENSXETG00000008399	xenopus_tropicalis
ENSLLEP00000033275	ENSLLEG00000021066	leptobrachium_leishanense
ENSLACP00000022811	ENSLACG00000012631	latimeria_chalumnae
ENSCMIP00000013158	ENSCMIG00000006584	callorhinchus_milii
