ENSSPUP00000007995	ENSSPUG00000006164	sphenodon_punctatus
ENSCMUP00000008278	ENSCMUG00000005375	corvus_moneduloides
ENSMCSP00000015909	ENSMCSG00000011172	malurus_cyaneus_samueli
ENSAHAP00000002343	ENSAHAG00000001923	apteryx_haastii
ENSAOWP00000016696	ENSAOWG00000011386	apteryx_owenii
ENSARWP00000007542	ENSARWG00000005254	apteryx_rowi
ENSDNVP00000008683	ENSDNVG00000006173	dromaius_novaehollandiae
ENSSCUP00000024525	ENSSCUG00000017973	struthio_camelus_australis
ENSNPEP00000000871	ENSNPEG00000000690	nothoprocta_perdicaria
ENSPSTP00000019391	ENSPSTG00000014009	pavo_cristatus
ENSCABP00000014550	ENSCABG00000010865	chelonoidis_abingdonii
ENSPSIP00000008837	ENSPSIG00000007954	pelodiscus_sinensis
ENSCSRP00000017909	ENSCSRG00000013773	chelydra_serpentina
ENSGAGP00000016849	ENSGAGG00000012583	gopherus_agassizii
ENSGEVP00005017280	ENSGEVG00005012127	gopherus_evgoodei
ENSCPBP00000017560	ENSCPBG00000012862	chrysemys_picta_bellii
ENSTMTP00000010300	ENSTMTG00000007502	terrapene_carolina_triunguis
ENSPCEP00000015278	ENSPCEG00000012066	pelusios_castaneus
ENSOANP00000046148	ENSOANG00000042645	ornithorhynchus_anatinus
ENSSHAP00000007844	ENSSHAG00000006808	sarcophilus_harrisii
ENSMEUP00000015135	ENSMEUG00000016542	notamacropus_eugenii
ENSPCIP00000018886	ENSPCIG00000014442	phascolarctos_cinereus
ENSVURP00010029960	ENSVURG00010022901	vombatus_ursinus
ENSMODP00000001779	ENSMODG00000001465	monodelphis_domestica
ENSETEP00000008164	ENSETEG00000010053	echinops_telfairi
ENSLAFP00000027831	ENSLAFG00000026194	loxodonta_africana
ENSPCAP00000011333	ENSPCAG00000012073	procavia_capensis
ENSEEUP00000014296	ENSEEUG00000015656	erinaceus_europaeus
ENSTBEP00000009481	ENSTBEG00000010949	tupaia_belangeri
ENSMPUP00000006957	ENSMPUG00000007013	mustela_putorius_furo
ENSNVIP00000002911	ENSNVIG00000002326	neovison_vison
ENSZCAP00015021436	ENSZCAG00015013721	zalophus_californianus
ENSAMEP00000007226	ENSAMEG00000006731	ailuropoda_melanoleuca
ENSUAMP00000028321	ENSUAMG00000021898	ursus_americanus
ENSUMAP00000015994	ENSUMAG00000011706	ursus_maritimus
ENSUTTP00000011249	ENSUTTG00000007110	ursus_thibetanus_thibetanus
ENSCAFP00030018778	ENSCAFG00030011651	canis_lupus_familiarisbasenji
ENSCAFP00000005359	ENSCAFG00000003578	canis_lupus_familiaris
ENSCAFP00040007688	ENSCAFG00040004659	canis_lupus_familiarisgreatdane
ENSCAFP00020026350	ENSCAFG00020020716	canis_lupus_dingo
ENSVVUP00000022028	ENSVVUG00000016175	vulpes_vulpes
ENSSSUP00005001430	ENSSSUG00005001003	suricata_suricatta
ENSLCNP00005000869	ENSLCNG00005000616	lynx_canadensis
ENSFCAP00000006751	ENSFCAG00000007281	felis_catus
ENSPLOP00000017984	ENSPLOG00000013065	panthera_leo
ENSPPRP00000029643	ENSPPRG00000022379	panthera_pardus
ENSPTIP00000006415	ENSPTIG00000008340	panthera_tigris_altaica
ENSPVAP00000016317	ENSPVAG00000017293	pteropus_vampyrus
ENSRFEP00010012159	ENSRFEG00010008250	rhinolophus_ferrumequinum
ENSMLUP00000013780	ENSMLUG00000015118	myotis_lucifugus
ENSECAP00000021660	ENSECAG00000023882	equus_caballus
ENSEASP00005013199	ENSEASG00005009226	equus_asinus_asinus
ENSCDRP00005010593	ENSCDRG00005007411	camelus_dromedarius
ENSBIXP00000039714	ENSBIXG00000023654	bos_taurus_hybrid
ENSBIXP00005030584	ENSBIXG00005010711	bos_indicus_hybrid
ENSBBBP00000020693	ENSBBBG00000014387	bison_bison_bison
ENSBGRP00000016494	ENSBGRG00000010287	bos_grunniens
ENSBMUP00000018116	ENSBMUG00000013704	bos_mutus
ENSBTAP00000071119	ENSBTAG00000006359	bos_taurus
ENSOARP00020002169	ENSOARG00020001729	ovis_aries_rambouillet
ENSOARP00000019438	ENSOARG00000018103	ovis_aries
ENSCHIP00000024054	ENSCHIG00000021379	capra_hircus
ENSCHIP00010002687	ENSCHIG00010001672	capra_hircus_blackbengal
ENSMMSP00000005056	ENSMMSG00000003796	moschus_moschiferus
ENSCHYP00000016516	ENSCHYG00000010819	cervus_hanglu_yarkandensis
ENSPCTP00005000834	ENSPCTG00005000643	physeter_catodon
ENSTTRP00000010250	ENSTTRG00000010811	tursiops_truncatus
ENSMMNP00015016664	ENSMMNG00015012275	monodon_monoceros
ENSDLEP00000021975	ENSDLEG00000015920	delphinapterus_leucas
ENSPSNP00000013507	ENSPSNG00000009840	phocoena_sinus
ENSBMSP00010022936	ENSBMSG00010016646	balaenoptera_musculus
ENSSSCP00000017441	ENSSSCG00000016459	sus_scrofa
ENSCWAP00000006613	ENSCWAG00000005055	catagonus_wagneri
ENSOGAP00000012182	ENSOGAG00000013593	otolemur_garnettii
ENSMICP00000014173	ENSMICG00000015546	microcebus_murinus
ENSPCOP00000026104	ENSPCOG00000025361	propithecus_coquereli
ENSPSMP00000001066	ENSPSMG00000000765	prolemur_simus
ENSCCAP00000035825	ENSCCAG00000035821	cebus_capucinus
ENSSBOP00000018756	ENSSBOG00000025999	saimiri_boliviensis_boliviensis
ENSANAP00000038345	ENSANAG00000036617	aotus_nancymaae
ENSCJAP00000050065	ENSCJAG00000009766	callithrix_jacchus
ENSPPYP00000020327	ENSPPYG00000018119	pongo_abelii
ENSP00000275815	ENSG00000146904	homo_sapiens
ENSPTRP00000033933	ENSPTRG00000019811	pan_troglodytes
ENSPTRP00000090503	ENSPTRG00000044478	pan_troglodytes
ENSPPAP00000021990	ENSPPAG00000034192	pan_paniscus
ENSGGOP00000000082	ENSGGOG00000000082	gorilla_gorilla
ENSNLEP00000004064	ENSNLEG00000003297	nomascus_leucogenys
ENSPTEP00000033623	ENSPTEG00000032071	piliocolobus_tephrosceles
ENSCANP00000000812	ENSCANG00000002888	colobus_angolensis_palliatus
ENSRROP00000012185	ENSRROG00000030399	rhinopithecus_roxellana
ENSRBIP00000032315	ENSRBIG00000039958	rhinopithecus_bieti
ENSMMUP00000078550	ENSMMUG00000055322	macaca_mulatta
ENSMFAP00000039194	ENSMFAG00000035468	macaca_fascicularis
ENSMNEP00000037436	ENSMNEG00000041795	macaca_nemestrina
ENSMLEP00000040881	ENSMLEG00000044456	mandrillus_leucophaeus
ENSCATP00000024425	ENSCATG00000035726	cercocebus_atys
ENSPANP00000017877	ENSPANG00000016464	papio_anubis
ENSTGEP00000000778	ENSTGEG00000000756	theropithecus_gelada
ENSCSAP00000003404	ENSCSAG00000007186	chlorocebus_sabaeus
ENSTSYP00000004415	ENSTSYG00000004824	carlito_syrichta
ENSOPRP00000008863	ENSOPRG00000009680	ochotona_princeps
ENSOCUP00000030680	ENSOCUG00000011082	oryctolagus_cuniculus
ENSSTOP00000004592	ENSSTOG00000005116	ictidomys_tridecemlineatus
ENSUPAP00010028897	ENSUPAG00010022788	urocitellus_parryii
ENSSDAP00000004565	ENSSDAG00000004251	spermophilus_dauricus
ENSMMMP00000008835	ENSMMMG00000007873	marmota_marmota_marmota
ENSSVLP00005013087	ENSSVLG00005010297	sciurus_vulgaris
ENSCPOP00000024670	ENSCPOG00000014707	cavia_porcellus
ENSCAPP00000004953	ENSCAPG00000007361	cavia_aperea
ENSCLAP00000001326	ENSCLAG00000001010	chinchilla_lanigera
ENSODEP00000017721	ENSODEG00000013070	octodon_degus
ENSFDAP00000014455	ENSFDAG00000001739	fukomys_damarensis
ENSHGLP00000010590	ENSHGLG00000007593	heterocephalus_glaber_female
ENSHGLP00100025627	ENSHGLG00100018795	heterocephalus_glaber_male
ENSNGAP00000023673	ENSNGAG00000022160	nannospalax_galili
ENSMOCP00000019704	ENSMOCG00000017615	microtus_ochrogaster
ENSPEMP00000000750	ENSPEMG00000000528	peromyscus_maniculatus_bairdii
ENSCGRP00000011348	ENSCGRG00000008251	cricetulus_griseus_crigri
ENSCGRP00015031616	ENSCGRG00015023805	cricetulus_griseus_picr
ENSCGRP00001010423	ENSCGRG00001012301	cricetulus_griseus_chok1gshd
ENSMAUP00000019484	ENSMAUG00000017753	mesocricetus_auratus
ENSMUSP00000073099	ENSMUSG00000029859	mus_musculus
ENSMSIP00000030778	ENSMSIG00000025754	mus_spicilegus
MGP_SPRETEiJ_P0076372	MGP_SPRETEiJ_G0029297	mus_spretus
MGP_CAROLIEiJ_P0073517	MGP_CAROLIEiJ_G0028293	mus_caroli
MGP_PahariEiJ_P0049630	MGP_PahariEiJ_G0022050	mus_pahari
ENSRNOP00000024037	ENSRNOG00000017525	rattus_norvegicus
ENSMUGP00000025595	ENSMUGG00000021325	meriones_unguiculatus
ENSJJAP00000021469	ENSJJAG00000021813	jaculus_jaculus
ENSCCNP00000008821	ENSCCNG00000009298	castor_canadensis
ENSDORP00000002057	ENSDORG00000002190	dipodomys_ordii
ENSCHOP00000011591	ENSCHOG00000013054	choloepus_hoffmanni
ENSDNOP00000010443	ENSDNOG00000013454	dasypus_novemcinctus
