ENSCINP00000034604	ENSCING00000018054	ciona_intestinalis
ENSAPOP00000004342	ENSAPOG00000005941	acanthochromis_polyacanthus
ENSPRNP00000056858	ENSPRNG00000026530	parambassis_ranga
ENSNBRP00000029862	ENSNBRG00000022714	neolamprologus_brichardi
ENSMZEP00005027276	ENSMZEG00005020342	maylandia_zebra
ENSACLP00000026696	ENSACLG00000018098	astatotilapia_calliptera
ENSHBUP00000007276	ENSHBUG00000008822	haplochromis_burtoni
ENSPNYP00000012879	ENSPNYG00000009719	pundamilia_nyererei
ENSONIP00000021851	ENSONIG00000017327	oreochromis_niloticus
ENSOABP00000018259	ENSOABG00000001757	oreochromis_aureus
ENSACIP00000020589	ENSACIG00000015896	amphilophus_citrinellus
ENSGWIP00000008231	ENSGWIG00000004247	gouania_willdenowi
ENSOJAP00000049147	ENSOJAG00000023701	oryzias_javanicus
ENSOMEP00000000444	ENSOMEG00000001342	oryzias_melastigma
ENSORLP00015006180	ENSORLG00015007039	oryzias_latipes_hsok
ENSORLP00000004470	ENSORLG00000003577	oryzias_latipes
ENSORLP00020027389	ENSORLG00020010325	oryzias_latipes_hni
ENSOSIP00000016941	ENSOSIG00000008822	oryzias_sinensis
ENSCVAP00000026715	ENSCVAG00000012573	cyprinodon_variegatus
ENSXMAP00000034439	ENSXMAG00000024953	xiphophorus_maculatus
ENSXMAP00000008832	ENSXMAG00000024944	xiphophorus_maculatus
ENSXMAP00000008838	ENSXMAG00000008804	xiphophorus_maculatus
ENSXCOP00000017197	ENSXCOG00000012968	xiphophorus_couchianus
ENSGAFP00000028171	ENSGAFG00000019052	gambusia_affinis
ENSPLAP00000004490	ENSPLAG00000000132	poecilia_latipinna
ENSPFOP00000005812	ENSPFOG00000005185	poecilia_formosa
ENSPMEP00000032611	ENSPMEG00000020569	poecilia_mexicana
ENSPREP00000015371	ENSPREG00000010373	poecilia_reticulata
ENSFHEP00000003488	ENSFHEG00000004380	fundulus_heteroclitus
ENSNFUP00015024155	ENSNFUG00015009546	nothobranchius_furzeri
ENSKMAP00000005163	ENSKMAG00000003851	kryptolebias_marmoratus
ENSSLDP00000001382	ENSSLDG00000001142	seriola_lalandi_dorsalis
ENSSFAP00005047326	ENSSFAG00005009188	salarias_fasciatus
ENSMMDP00005029251	ENSMMDG00005006309	myripristis_murdjan
ENSGMOP00000011255	ENSGMOG00000010493	gadus_morhua
ENSELUP00000075230	ENSELUG00000017562	esox_lucius
ENSSSAP00000020628	ENSSSAG00000007887	salmo_salar
ENSSTUP00000066034	ENSSTUG00000027691	salmo_trutta
ENSHHUP00000038541	ENSHHUG00000023536	hucho_hucho
ENSOMYP00000048709	ENSOMYG00000015779	oncorhynchus_mykiss
ENSOKIP00005020723	ENSOKIG00005006211	oncorhynchus_kisutch
ENSOTSP00005102837	ENSOTSG00005046253	oncorhynchus_tshawytscha
ENSOTSP00005085469	ENSOTSG00005036980	oncorhynchus_tshawytscha
ENSOKIP00005116395	ENSOKIG00005050310	oncorhynchus_kisutch
ENSOTSP00005035857	ENSOTSG00005014608	oncorhynchus_tshawytscha
ENSOTSP00005051491	ENSOTSG00005013888	oncorhynchus_tshawytscha
ENSOMYP00000055514	ENSOMYG00000016434	oncorhynchus_mykiss
ENSSTUP00000053190	ENSSTUG00000017970	salmo_trutta
ENSSSAP00000113844	ENSSSAG00000078799	salmo_salar
ENSHHUP00000055259	ENSHHUG00000032949	hucho_hucho
ENSCARP00000095584	ENSCARG00000047024	carassius_auratus
ENSCCRP00015042547	ENSCCRG00015017078	cyprinus_carpio_huanghe
ENSCCRP00020032551	ENSCCRG00020013368	cyprinus_carpio_hebaored
ENSCCRP00010047843	ENSCCRG00010018790	cyprinus_carpio_germanmirror
ENSSGRP00000027293	ENSSGRG00000015046	sinocyclocheilus_grahami
ENSSANP00000047788	ENSSANG00000022333	sinocyclocheilus_anshuiensis
ENSSRHP00000068692	ENSSRHG00000028519	sinocyclocheilus_rhinocerous
ENSCCRP00010102770	ENSCCRG00010041633	cyprinus_carpio_germanmirror
ENSCCRP00015075923	ENSCCRG00015027256	cyprinus_carpio_huanghe
ENSCCRP00020113872	ENSCCRG00020051558	cyprinus_carpio_hebaored
ENSCCRP00000065325	ENSCCRG00000030707	cyprinus_carpio
ENSCARP00000096689	ENSCARG00000041888	carassius_auratus
ENSSANP00000042636	ENSSANG00000019880	sinocyclocheilus_anshuiensis
ENSSRHP00000014962	ENSSRHG00000004834	sinocyclocheilus_rhinocerous
ENSDARP00000073932	ENSDARG00000056909	danio_rerio
ENSEEEP00000033975	ENSEEEG00000015989	electrophorus_electricus
ENSAMXP00005008458	ENSAMXG00005004401	astyanax_mexicanus_pachon
ENSAMXP00000047247	ENSAMXG00000015959	astyanax_mexicanus
ENSPNAP00000025250	ENSPNAG00000001392	pygocentrus_nattereri
ENSDCDP00000063618	ENSDCDG00000035745	denticeps_clupeoides
ENSCHAP00000034698	ENSCHAG00000008203	clupea_harengus
ENSPKIP00000041693	ENSPKIG00000018119	paramormyrops_kingsleyae
ENSECRP00000021056	ENSECRG00000014172	erpetoichthys_calabaricus
ENSOANP00000016946	ENSOANG00000010685	ornithorhynchus_anatinus
ENSDNOP00000012357	ENSDNOG00000015935	dasypus_novemcinctus
ENSCHOP00000002518	ENSCHOG00000002830	choloepus_hoffmanni
ENSTBEP00000000615	ENSTBEG00000000702	tupaia_belangeri
ENSMUGP00000031309	ENSMUGG00000025841	meriones_unguiculatus
ENSMUGP00000031013	ENSMUGG00000024898	meriones_unguiculatus
ENSSVLP00005023333	ENSSVLG00005018390	sciurus_vulgaris
ENSMMMP00000017939	ENSMMMG00000015895	marmota_marmota_marmota
ENSSDAP00000002975	ENSSDAG00000002812	spermophilus_dauricus
ENSSTOP00000006038	ENSSTOG00000006716	ictidomys_tridecemlineatus
ENSUPAP00010014956	ENSUPAG00010011920	urocitellus_parryii
ENSCLAP00000011303	ENSCLAG00000007797	chinchilla_lanigera
ENSODEP00000001415	ENSODEG00000001111	octodon_degus
ENSCPOP00000000034	ENSCPOG00000000040	cavia_porcellus
ENSCAPP00000007783	ENSCAPG00000009591	cavia_aperea
ENSFDAP00000003693	ENSFDAG00000013118	fukomys_damarensis
ENSHGLP00100005534	ENSHGLG00100004192	heterocephalus_glaber_male
ENSHGLP00000007937	ENSHGLG00000005749	heterocephalus_glaber_female
ENSOCUP00000009041	ENSOCUG00000010481	oryctolagus_cuniculus
ENSOPRP00000006524	ENSOPRG00000007103	ochotona_princeps
ENSANAP00000037076	ENSANAG00000036014	aotus_nancymaae
ENSNGAP00000019508	ENSNGAG00000019295	nannospalax_galili
ENSMUGP00000031003	ENSMUGG00000025796	meriones_unguiculatus
ENSDORP00000012273	ENSDORG00000013051	dipodomys_ordii
ENSCCNP00000032583	ENSCCNG00000030885	castor_canadensis
ENSMOCP00000001207	ENSMOCG00000000900	microtus_ochrogaster
ENSMAUP00000000794	ENSMAUG00000000581	mesocricetus_auratus
ENSCGRP00001022082	ENSCGRG00001020721	cricetulus_griseus_chok1gshd
ENSCGRP00000010639	ENSCGRG00000007806	cricetulus_griseus_crigri
ENSCGRP00015037290	ENSCGRG00015027934	cricetulus_griseus_picr
ENSPEMP00000012456	ENSPEMG00000012745	peromyscus_maniculatus_bairdii
ENSRNOP00000006087	ENSRNOG00000004332	rattus_norvegicus
MGP_PahariEiJ_P0030207	MGP_PahariEiJ_G0016788	mus_pahari
ENSMSIP00000001108	ENSMSIG00000001122	mus_spicilegus
MGP_SPRETEiJ_P0027080	MGP_SPRETEiJ_G0016945	mus_spretus
ENSMUSP00000020329	ENSMUSG00000020122	mus_musculus
MGP_CAROLIEiJ_P0025744	MGP_CAROLIEiJ_G0016103	mus_caroli
ENSJJAP00000010808	ENSJJAG00000014249	jaculus_jaculus
ENSTBEP00000011121	ENSTBEG00000012800	tupaia_belangeri
ENSPTEP00000009554	ENSPTEG00000010712	piliocolobus_tephrosceles
ENSCANP00000018140	ENSCANG00000031898	colobus_angolensis_palliatus
ENSRBIP00000037373	ENSRBIG00000041754	rhinopithecus_bieti
ENSRROP00000036654	ENSRROG00000041505	rhinopithecus_roxellana
ENSTGEP00000008125	ENSTGEG00000006618	theropithecus_gelada
ENSPANP00000003878	ENSPANG00000023117	papio_anubis
ENSMLEP00000024073	ENSMLEG00000035929	mandrillus_leucophaeus
ENSCATP00000033478	ENSCATG00000039642	cercocebus_atys
ENSMNEP00000005295	ENSMNEG00000022279	macaca_nemestrina
ENSMMUP00000046120	ENSMMUG00000022394	macaca_mulatta
ENSMFAP00000037527	ENSMFAG00000034444	macaca_fascicularis
ENSCSAP00000012126	ENSCSAG00000016056	chlorocebus_sabaeus
ENSNLEP00000035792	ENSNLEG00000008441	nomascus_leucogenys
ENSGGOP00000041101	ENSGGOG00000007623	gorilla_gorilla
ENSPPAP00000043172	ENSPPAG00000044119	pan_paniscus
ENSPTRP00000069741	ENSPTRG00000019196	pan_troglodytes
ENSP00000275493	ENSG00000146648	homo_sapiens
ENSPPYP00000019671	ENSPPYG00000017549	pongo_abelii
ENSCJAP00000074658	ENSCJAG00000000989	callithrix_jacchus
ENSSBOP00000022799	ENSSBOG00000027907	saimiri_boliviensis_boliviensis
ENSCCAP00000012347	ENSCCAG00000023661	cebus_capucinus
ENSTSYP00000005737	ENSTSYG00000006265	carlito_syrichta
ENSPSMP00000036749	ENSPSMG00000025256	prolemur_simus
ENSPCOP00000018322	ENSPCOG00000021048	propithecus_coquereli
ENSMICP00000008784	ENSMICG00000009640	microcebus_murinus
ENSOGAP00000008154	ENSOGAG00000009092	otolemur_garnettii
ENSEASP00005026510	ENSEASG00005018099	equus_asinus_asinus
ENSECAP00000035347	ENSECAG00000009952	equus_caballus
ENSSARP00000000687	ENSSARG00000000739	sorex_araneus
ENSEEUP00000011884	ENSEEUG00000012984	erinaceus_europaeus
ENSMLUP00000005193	ENSMLUG00000005672	myotis_lucifugus
ENSRFEP00010024262	ENSRFEG00010015990	rhinolophus_ferrumequinum
ENSPVAP00000010800	ENSPVAG00000011454	pteropus_vampyrus
ENSVVUP00000013448	ENSVVUG00000009879	vulpes_vulpes
ENSCAFP00020030635	ENSCAFG00020023672	canis_lupus_dingo
ENSCAFP00030010383	ENSCAFG00030006284	canis_lupus_familiarisbasenji
ENSCAFP00040012211	ENSCAFG00040007492	canis_lupus_familiarisgreatdane
ENSCAFP00000005164	ENSCAFG00000003465	canis_lupus_familiaris
ENSMPUP00000018042	ENSMPUG00000018153	mustela_putorius_furo
ENSNVIP00000017472	ENSNVIG00000013258	neovison_vison
ENSUAMP00000032909	ENSUAMG00000025061	ursus_americanus
ENSUMAP00000012230	ENSUMAG00000008777	ursus_maritimus
ENSUTTP00000001574	ENSUTTG00000000677	ursus_thibetanus_thibetanus
ENSZCAP00015037473	ENSZCAG00015023454	zalophus_californianus
ENSSSUP00005011749	ENSSSUG00005007004	suricata_suricatta
ENSFCAP00000041464	ENSFCAG00000015468	felis_catus
ENSLCNP00005007790	ENSLCNG00005005113	lynx_canadensis
ENSPLOP00000015011	ENSPLOG00000010535	panthera_leo
ENSPPRP00000004588	ENSPPRG00000000798	panthera_pardus
ENSPTIP00000017730	ENSPTIG00000015949	panthera_tigris_altaica
ENSSSCP00000068369	ENSSSCG00000022126	sus_scrofa
ENSCWAP00000018553	ENSCWAG00000014158	catagonus_wagneri
ENSCDRP00005022700	ENSCDRG00005015677	camelus_dromedarius
ENSVPAP00000010337	ENSVPAG00000011100	vicugna_pacos
ENSMMNP00015013888	ENSMMNG00015010237	monodon_monoceros
ENSDLEP00000008854	ENSDLEG00000004590	delphinapterus_leucas
ENSPSNP00000013542	ENSPSNG00000009800	phocoena_sinus
ENSTTRP00000016375	ENSTTRG00000017277	tursiops_truncatus
ENSPCTP00005001517	ENSPCTG00005001100	physeter_catodon
ENSBMSP00010020906	ENSBMSG00010015093	balaenoptera_musculus
ENSBBBP00000011797	ENSBBBG00000019718	bison_bison_bison
ENSBMUP00000020322	ENSBMUG00000014975	bos_mutus
ENSBMUP00000024520	ENSBMUG00000018413	bos_mutus
ENSBTAP00000070620	ENSBTAG00000011628	bos_taurus
ENSBIXP00005012389	ENSBIXG00005016700	bos_indicus_hybrid
ENSBIXP00000003212	ENSBIXG00000009618	bos_taurus_hybrid
ENSOARP00020021759	ENSOARG00020016388	ovis_aries_rambouillet
ENSOARP00000014758	ENSOARG00000013753	ovis_aries
ENSCHIP00000022759	ENSCHIG00000020547	capra_hircus
ENSCHIP00010017473	ENSCHIG00010012558	capra_hircus_blackbengal
ENSMMSP00000030583	ENSMMSG00000022810	moschus_moschiferus
ENSCHYP00000041035	ENSCHYG00000027128	cervus_hanglu_yarkandensis
ENSETEP00000003775	ENSETEG00000004611	echinops_telfairi
ENSETEP00000011618	ENSETEG00000014320	echinops_telfairi
ENSLAFP00000012058	ENSLAFG00000014393	loxodonta_africana
ENSPCAP00000005960	ENSPCAG00000006282	procavia_capensis
ENSMODP00000011264	ENSMODG00000009033	monodelphis_domestica
ENSVURP00010017895	ENSVURG00010013668	vombatus_ursinus
ENSPCIP00000004760	ENSPCIG00000003935	phascolarctos_cinereus
ENSMEUP00000002410	ENSMEUG00000002628	notamacropus_eugenii
ENSSHAP00000009645	ENSSHAG00000008346	sarcophilus_harrisii
ENSSMRP00000024688	ENSSMRG00000019090	salvator_merianae
ENSPMRP00000026955	ENSPMRG00000016632	podarcis_muralis
ENSLLTP00000015739	ENSLLTG00000012047	laticauda_laticaudata
ENSNNAP00000005631	ENSNNAG00000003771	naja_naja
ENSNNAP00000005569	ENSNNAG00000003705	naja_naja
ENSNSUP00000013937	ENSNSUG00000010339	notechis_scutatus
ENSPTXP00000004758	ENSPTXG00000003474	pseudonaja_textilis
ENSACAP00000017185	ENSACAG00000017406	anolis_carolinensis
ENSPVIP00000030219	ENSPVIG00000022265	pogona_vitticeps
ENSVKKP00000016426	ENSVKKG00000011212	varanus_komodoensis
ENSSPUP00000001867	ENSSPUG00000001379	sphenodon_punctatus
ENSPSIP00000004789	ENSPSIG00000004403	pelodiscus_sinensis
ENSTMTP00000009502	ENSTMTG00000006928	terrapene_carolina_triunguis
ENSTMTP00000005824	ENSTMTG00000004312	terrapene_carolina_triunguis
ENSCPBP00000035698	ENSCPBG00000024828	chrysemys_picta_bellii
ENSCABP00000001534	ENSCABG00000001238	chelonoidis_abingdonii
ENSCABP00000001544	ENSCABG00000001249	chelonoidis_abingdonii
ENSGAGP00000021093	ENSGAGG00000015490	gopherus_agassizii
ENSGAGP00000014602	ENSGAGG00000011095	gopherus_agassizii
ENSGEVP00005013013	ENSGEVG00005008912	gopherus_evgoodei
ENSCSRP00000014681	ENSCSRG00000011252	chelydra_serpentina
ENSPCEP00000025715	ENSPCEG00000019357	pelusios_castaneus
ENSCPRP00005016705	ENSCPRG00005011649	crocodylus_porosus
ENSACUP00000004443	ENSACUG00000002263	athene_cunicularia
ENSSOCP00000009804	ENSSOCG00000007435	strix_occidentalis_caurina
ENSSOCP00000009730	ENSSOCG00000007331	strix_occidentalis_caurina
ENSOSUP00000021032	ENSOSUG00000012591	otus_sunia
ENSBOBP00000008131	ENSBOBG00000001929	bubo_bubo
ENSANIP00000018269	ENSANIG00000010981	accipiter_nisus
ENSBJAP00000021978	ENSBJAG00000011234	buteo_japonicus
ENSACCP00020006347	ENSACCG00020004341	aquila_chrysaetos_chrysaetos
ENSCPUP00000029778	ENSCPUG00000019951	calidris_pugnax
ENSCPGP00000020508	ENSCPGG00000014347	calidris_pygmaea
ENSFTIP00000023895	ENSFTIG00000015334	falco_tinnunculus
ENSACOP00000017742	ENSACOG00000012261	amazona_collaria
ENSACOP00000017695	ENSACOG00000012246	amazona_collaria
ENSMUNP00000011105	ENSMUNG00000008715	melopsittacus_undulatus
ENSFALP00000005178	ENSFALG00000004982	ficedula_albicollis
ENSSCAP00000021638	ENSSCAG00000015542	serinus_canaria
ENSZLMP00000016438	ENSZLMG00000011437	zosterops_lateralis_melanops
ENSTGUP00000001863	ENSTGUG00000001806	taeniopygia_guttata
ENSLSDP00000011019	ENSLSDG00000008108	lonchura_striata_domestica
ENSEGOP00005003598	ENSEGOG00005002840	erythrura_gouldiae
ENSZALP00000018200	ENSZALG00000014608	zonotrichia_albicollis
ENSGFOP00000013284	ENSGFOG00000006484	geospiza_fortis
ENSCPVP00000001734	ENSCPVG00000001291	camarhynchus_parvulus
ENSCRFP00000015682	ENSCRFG00000012064	stachyris_ruficeps
ENSCRFP00000015667	ENSCRFG00000012032	stachyris_ruficeps
ENSCUSP00005028649	ENSCUSG00005017445	catharus_ustulatus
ENSCCEP00000018200	ENSCCEG00000016734	cyanistes_caeruleus
ENSPMJP00000024533	ENSPMJG00000018030	parus_major
ENSCMUP00000017325	ENSCMUG00000010741	corvus_moneduloides
ENSMCSP00000007554	ENSMCSG00000004373	malurus_cyaneus_samueli
ENSMVIP00005014816	ENSMVIG00005010689	manacus_vitellinus
ENSLCOP00000017094	ENSLCOG00000012117	lepidothrix_coronata
ENSABRP00000010456	ENSABRG00000009417	anser_brachyrhynchus
ENSACDP00005024611	ENSACDG00005017832	anser_cygnoides
ENSAPLP00000002564	ENSAPLG00000002987	anas_platyrhynchos_platyrhynchos
ENSAPLP00020008739	ENSAPLG00020005603	anas_platyrhynchos
ENSAZOP00000003752	ENSAZOG00000002438	anas_zonorhyncha
ENSCMMP00000002010	ENSCMMG00000001317	cairina_moschata_domestica
ENSNMEP00000000843	ENSNMEG00000001245	numida_meleagris
ENSCJPP00005000098	ENSCJPG00005000163	coturnix_japonica
ENSMGAP00000013000	ENSMGAG00000012330	meleagris_gallopavo
ENSPCLP00000015161	ENSPCLG00000012371	phasianus_colchicus
ENSCPIP00010005164	ENSCPIG00010003986	chrysolophus_pictus
ENSPSTP00000016305	ENSPSTG00000011453	pavo_cristatus
ENSGALP00000053328	ENSGALG00000038089	gallus_gallus
ENSSHBP00005000014	ENSSHBG00005000018	strigops_habroptila
ENSPSTP00000016034	ENSPSTG00000011392	pavo_cristatus
ENSJHYP00000009396	ENSJHYG00000007422	junco_hyemalis
ENSNPEP00000002202	ENSNPEG00000001693	nothoprocta_perdicaria
