ENSEBUP00000024371	ENSEBUG00000015014	eptatretus_burgeri
ENSNSUP00000017929	ENSNSUG00000012872	notechis_scutatus
ENSPTXP00000016727	ENSPTXG00000011531	pseudonaja_textilis
ENSLLTP00000014951	ENSLLTG00000011478	laticauda_laticaudata
ENSLLTP00000014940	ENSLLTG00000011472	laticauda_laticaudata
ENSNNAP00000005397	ENSNNAG00000003627	naja_naja
ENSNNAP00000010996	ENSNNAG00000007335	naja_naja
ENSNNAP00000010979	ENSNNAG00000007327	naja_naja
ENSNNAP00000011727	ENSNNAG00000007381	naja_naja
ENSVKKP00000018624	ENSVKKG00000012677	varanus_komodoensis
ENSPMRP00000016034	ENSPMRG00000010518	podarcis_muralis
ENSSMRP00000016166	ENSSMRG00000012570	salvator_merianae
ENSSPUP00000022299	ENSSPUG00000017105	sphenodon_punctatus
ENSOANP00000051721	ENSOANG00000015031	ornithorhynchus_anatinus
ENSSHAP00000018708	ENSSHAG00000015881	sarcophilus_harrisii
ENSVURP00010026142	ENSVURG00010020038	vombatus_ursinus
ENSPCIP00000006145	ENSPCIG00000005176	phascolarctos_cinereus
ENSMODP00000019742	ENSMODG00000015822	monodelphis_domestica
ENSPCAP00000009228	ENSPCAG00000009826	procavia_capensis
ENSLAFP00000009780	ENSLAFG00000011703	loxodonta_africana
ENSETEP00000010254	ENSETEG00000012647	echinops_telfairi
ENSOCUP00000003111	ENSOCUG00000013060	oryctolagus_cuniculus
ENSMPUP00000007141	ENSMPUG00000007199	mustela_putorius_furo
ENSCAPP00000006936	ENSCAPG00000008945	cavia_aperea
ENSCPOP00000012177	ENSCPOG00000013525	cavia_porcellus
ENSHGLP00100002005	ENSHGLG00100001561	heterocephalus_glaber_male
ENSHGLP00000003845	ENSHGLG00000002836	heterocephalus_glaber_female
ENSFDAP00000012027	ENSFDAG00000019451	fukomys_damarensis
ENSCLAP00000007775	ENSCLAG00000005456	chinchilla_lanigera
ENSODEP00000001269	ENSODEG00000001007	octodon_degus
ENSCCNP00000002701	ENSCCNG00000002931	castor_canadensis
ENSDORP00000019819	ENSDORG00000002178	dipodomys_ordii
ENSJJAP00000007898	ENSJJAG00000012125	jaculus_jaculus
ENSNGAP00000012092	ENSNGAG00000014046	nannospalax_galili
ENSCGRP00001009434	ENSCGRG00001011551	cricetulus_griseus_chok1gshd
ENSCGRP00015035210	ENSCGRG00015026434	cricetulus_griseus_picr
ENSCGRP00000023836	ENSCGRG00000017270	cricetulus_griseus_crigri
ENSMAUP00000012735	ENSMAUG00000012960	mesocricetus_auratus
ENSMOCP00000006670	ENSMOCG00000006344	microtus_ochrogaster
ENSPEMP00000024483	ENSPEMG00000021204	peromyscus_maniculatus_bairdii
ENSMUGP00000013861	ENSMUGG00000010330	meriones_unguiculatus
ENSRNOP00000070486	ENSRNOG00000052745	rattus_norvegicus
MGP_PahariEiJ_P0048812	MGP_PahariEiJ_G0021874	mus_pahari
MGP_CAROLIEiJ_P0072689	MGP_CAROLIEiJ_G0028118	mus_caroli
ENSMSIP00000023624	ENSMSIG00000020011	mus_spicilegus
MGP_SPRETEiJ_P0075528	MGP_SPRETEiJ_G0029118	mus_spretus
ENSMUSP00000111103	ENSMUSG00000009376	mus_musculus
ENSMMMP00000016215	ENSMMMG00000014368	marmota_marmota_marmota
ENSSDAP00000023025	ENSSDAG00000020875	spermophilus_dauricus
ENSUPAP00010009515	ENSUPAG00010007695	urocitellus_parryii
ENSSTOP00000018798	ENSSTOG00000029241	ictidomys_tridecemlineatus
ENSOPRP00000000808	ENSOPRG00000000875	ochotona_princeps
ENSPCOP00000021885	ENSPCOG00000022991	propithecus_coquereli
ENSMICP00000000633	ENSMICG00000000697	microcebus_murinus
ENSPSMP00000031809	ENSPSMG00000022011	prolemur_simus
ENSOGAP00000003527	ENSOGAG00000003961	otolemur_garnettii
ENSTSYP00000000849	ENSTSYG00000000920	carlito_syrichta
ENSCJAP00000009442	ENSCJAG00000005145	callithrix_jacchus
ENSSBOP00000004438	ENSSBOG00000018494	saimiri_boliviensis_boliviensis
ENSCCAP00000026890	ENSCCAG00000031166	cebus_capucinus
ENSANAP00000009807	ENSANAG00000022873	aotus_nancymaae
ENSNLEP00000024614	ENSNLEG00000011530	nomascus_leucogenys
ENSPPYP00000020106	ENSPPYG00000017932	pongo_abelii
ENSPPAP00000029978	ENSPPAG00000038004	pan_paniscus
ENSPTRP00000083162	ENSPTRG00000019614	pan_troglodytes
ENSGGOP00000041736	ENSGGOG00000012982	gorilla_gorilla
ENSP00000317272	ENSG00000105976	homo_sapiens
ENSPTEP00000022336	ENSPTEG00000023287	piliocolobus_tephrosceles
ENSRROP00000038319	ENSRROG00000042487	rhinopithecus_roxellana
ENSRBIP00000033873	ENSRBIG00000040650	rhinopithecus_bieti
ENSCANP00000023025	ENSCANG00000034925	colobus_angolensis_palliatus
ENSCSAP00000007132	ENSCSAG00000010912	chlorocebus_sabaeus
ENSCATP00000041287	ENSCATG00000043244	cercocebus_atys
ENSTGEP00000021004	ENSTGEG00000016913	theropithecus_gelada
ENSPANP00000030652	ENSPANG00000024383	papio_anubis
ENSMNEP00000030522	ENSMNEG00000038573	macaca_nemestrina
ENSMLEP00000006499	ENSMLEG00000026753	mandrillus_leucophaeus
ENSMMUP00000008920	ENSMMUG00000006779	macaca_mulatta
ENSMFAP00000013423	ENSMFAG00000028602	macaca_fascicularis
ENSTBEP00000005660	ENSTBEG00000006549	tupaia_belangeri
ENSPVAP00000011622	ENSPVAG00000012330	pteropus_vampyrus
ENSMLUP00000007213	ENSMLUG00000007884	myotis_lucifugus
ENSRFEP00010028840	ENSRFEG00010019152	rhinolophus_ferrumequinum
ENSPTIP00000000812	ENSPTIG00000002142	panthera_tigris_altaica
ENSPPRP00000027164	ENSPPRG00000018383	panthera_pardus
ENSFCAP00000060432	ENSFCAG00000009534	felis_catus
ENSLCNP00005007053	ENSLCNG00005004621	lynx_canadensis
ENSCAFP00000041478	ENSCAFG00000003406	canis_lupus_familiaris
ENSCAFP00030012536	ENSCAFG00030007792	canis_lupus_familiarisbasenji
ENSCAFP00040026887	ENSCAFG00040016710	canis_lupus_familiarisgreatdane
ENSVVUP00000004522	ENSVVUG00000003544	vulpes_vulpes
ENSCAFP00020009102	ENSCAFG00020007371	canis_lupus_dingo
ENSVVUP00000014333	ENSVVUG00000010494	vulpes_vulpes
ENSUTTP00000002279	ENSUTTG00000001458	ursus_thibetanus_thibetanus
ENSUAMP00000009382	ENSUAMG00000007304	ursus_americanus
ENSUMAP00000003395	ENSUMAG00000002307	ursus_maritimus
ENSAMEP00000001400	ENSAMEG00000001314	ailuropoda_melanoleuca
ENSNVIP00000003169	ENSNVIG00000002532	neovison_vison
ENSZCAP00015019648	ENSZCAG00015012392	zalophus_californianus
ENSEASP00005012665	ENSEASG00005008840	equus_asinus_asinus
ENSECAP00000008993	ENSECAG00000010385	equus_caballus
ENSVPAP00000008143	ENSVPAG00000008745	vicugna_pacos
ENSCDRP00005002729	ENSCDRG00005001975	camelus_dromedarius
ENSCWAP00000001321	ENSCWAG00000001097	catagonus_wagneri
ENSSSCP00000017620	ENSSSCG00000024351	sus_scrofa
ENSCHYP00000013733	ENSCHYG00000008936	cervus_hanglu_yarkandensis
ENSMMSP00000013437	ENSMMSG00000010268	moschus_moschiferus
ENSBTAP00000008102	ENSBTAG00000006161	bos_taurus
ENSBIXP00005003909	ENSBIXG00005009936	bos_indicus_hybrid
ENSBIXP00000035003	ENSBIXG00000018147	bos_taurus_hybrid
ENSBGRP00000003712	ENSBGRG00000002220	bos_grunniens
ENSBMUP00000018341	ENSBMUG00000013884	bos_mutus
ENSBBBP00000028479	ENSBBBG00000006674	bison_bison_bison
ENSOARP00020001000	ENSOARG00020000868	ovis_aries_rambouillet
ENSOARP00000000815	ENSOARG00000000778	ovis_aries
ENSCHIP00000030108	ENSCHIG00000024998	capra_hircus
ENSCHIP00010000988	ENSCHIG00010000640	capra_hircus_blackbengal
ENSBMSP00010010030	ENSBMSG00010007360	balaenoptera_musculus
ENSPCTP00005000317	ENSPCTG00005000258	physeter_catodon
ENSTTRP00000006209	ENSTTRG00000006558	tursiops_truncatus
ENSPSNP00000010372	ENSPSNG00000007686	phocoena_sinus
ENSDLEP00000014299	ENSDLEG00000010515	delphinapterus_leucas
ENSMMNP00015009712	ENSMMNG00015007208	monodon_monoceros
ENSSARP00000006527	ENSSARG00000007183	sorex_araneus
ENSEEUP00000005198	ENSEEUG00000005655	erinaceus_europaeus
ENSCHOP00000004659	ENSCHOG00000005254	choloepus_hoffmanni
ENSDNOP00000028108	ENSDNOG00000039331	dasypus_novemcinctus
ENSLLEP00000011501	ENSLLEG00000007329	leptobrachium_leishanense
ENSXETP00000089735	ENSXETG00000021752	xenopus_tropicalis
ENSSOCP00000014193	ENSSOCG00000010750	strix_occidentalis_caurina
ENSDARP00000099872	ENSDARG00000075321	danio_rerio
ENSCCRP00020116209	ENSCCRG00020052405	cyprinus_carpio_hebaored
ENSCCRP00015045033	ENSCCRG00015018690	cyprinus_carpio_huanghe
ENSCCRP00000006401	ENSCCRG00000003780	cyprinus_carpio
ENSCCRP00000037889	ENSCCRG00000020245	cyprinus_carpio
ENSHCOP00000018804	ENSHCOG00000003643	hippocampus_comes
ENSNBRP00000017325	ENSNBRG00000013388	neolamprologus_brichardi
ENSAPOP00000019226	ENSAPOG00000022646	acanthochromis_polyacanthus
ENSXCOP00000001115	ENSXCOG00000000926	xiphophorus_couchianus
ENSPLAP00000027884	ENSPLAG00000016834	poecilia_latipinna
ENSMAMP00000005566	ENSMAMG00000003774	mastacembelus_armatus
ENSPMGP00000015187	ENSPMGG00000012444	periophthalmus_magnuspinnatus
ENSECRP00000016154	ENSECRG00000010782	erpetoichthys_calabaricus
ENSLOCP00000019200	ENSLOCG00000015595	lepisosteus_oculatus
ENSPKIP00000025623	ENSPKIG00000008429	paramormyrops_kingsleyae
ENSSFOP00015007163	ENSSFOG00015004721	scleropages_formosus
ENSSFOP00015076058	ENSSFOG00015013423	scleropages_formosus
ENSPKIP00000011119	ENSPKIG00000025550	paramormyrops_kingsleyae
ENSGMOP00000009026	ENSGMOG00000008433	gadus_morhua
ENSMMDP00005016241	ENSMMDG00005007743	myripristis_murdjan
ENSPMGP00000002938	ENSPMGG00000002554	periophthalmus_magnuspinnatus
ENSKMAP00000001210	ENSKMAG00000000952	kryptolebias_marmoratus
ENSXCOP00000006308	ENSXCOG00000004879	xiphophorus_couchianus
ENSGAFP00000006400	ENSGAFG00000004345	gambusia_affinis
ENSPFOP00000029456	ENSPFOG00000022265	poecilia_formosa
ENSTNIP00000019148	ENSTNIG00000016058	tetraodon_nigroviridis
ENSTRUP00000078415	ENSTRUG00000017114	takifugu_rubripes
ENSCSEP00000033286	ENSCSEG00000021367	cynoglossus_semilaevis
ENSBSLP00000030995	ENSBSLG00000015170	betta_splendens
ENSHCOP00000012943	ENSHCOG00000016015	hippocampus_comes
ENSNMLP00000018317	ENSNMLG00000009982	neogobius_melanostomus
ENSSFAP00005034110	ENSSFAG00005017341	salarias_fasciatus
ENSPRNP00000016175	ENSPRNG00000005922	parambassis_ranga
ENSGWIP00000045274	ENSGWIG00000022413	gouania_willdenowi
ENSSORP00005007475	ENSSORG00005003549	sphaeramia_orbicularis
ENSACIP00000028602	ENSACIG00000022117	amphilophus_citrinellus
ENSONIP00000080477	ENSONIG00000003898	oreochromis_niloticus
ENSOABP00000034968	ENSOABG00000016106	oreochromis_aureus
ENSNBRP00000018191	ENSNBRG00000014037	neolamprologus_brichardi
ENSHBUP00000026377	ENSHBUG00000009006	haplochromis_burtoni
ENSPNYP00000002529	ENSPNYG00000002016	pundamilia_nyererei
ENSACLP00000018459	ENSACLG00000012614	astatotilapia_calliptera
ENSMZEP00005017860	ENSMZEG00005013436	maylandia_zebra
ENSCVAP00000007194	ENSCVAG00000008825	cyprinodon_variegatus
ENSXMAP00000014479	ENSXMAG00000014457	xiphophorus_maculatus
ENSPREP00000003866	ENSPREG00000002766	poecilia_reticulata
ENSPMEP00000013002	ENSPMEG00000015240	poecilia_mexicana
ENSPFOP00000014452	ENSPFOG00000014285	poecilia_formosa
ENSPLAP00000026056	ENSPLAG00000013575	poecilia_latipinna
ENSFHEP00000026901	ENSFHEG00000010079	fundulus_heteroclitus
ENSNFUP00015012590	ENSNFUG00015006189	nothobranchius_furzeri
ENSOJAP00000039016	ENSOJAG00000019095	oryzias_javanicus
ENSOMEP00000006177	ENSOMEG00000007236	oryzias_melastigma
ENSORLP00020025478	ENSORLG00020007439	oryzias_latipes_hni
ENSORLP00015021559	ENSORLG00015022803	oryzias_latipes_hsok
ENSORLP00000024532	ENSORLG00000019737	oryzias_latipes
ENSSPAP00000011549	ENSSPAG00000008782	stegastes_partitus
ENSAOCP00000028153	ENSAOCG00000017600	amphiprion_ocellaris
ENSAPEP00000018852	ENSAPEG00000013480	amphiprion_percula
ENSAPOP00000016712	ENSAPOG00000019826	acanthochromis_polyacanthus
ENSCLMP00005021629	ENSCLMG00005009874	cyclopterus_lumpus
ENSGACP00000012136	ENSGACG00000009190	gasterosteus_aculeatus
ENSCGOP00000025106	ENSCGOG00000011876	cottoperca_gobio
ENSSLUP00000037501	ENSSLUG00000016694	sander_lucioperca
ENSDLAP00005048340	ENSDLAG00005021191	dicentrarchus_labrax
ENSLCRP00005034945	ENSLCRG00005013657	larimichthys_crocea
ENSSAUP00010021733	ENSSAUG00010009028	sparus_aurata
ENSMMOP00000010852	ENSMMOG00000008365	mola_mola
ENSLBEP00000003943	ENSLBEG00000003043	labrus_bergylta
ENSSMAP00000000646	ENSSMAG00000000407	scophthalmus_maximus
ENSLCAP00010004840	ENSLCAG00010002448	lates_calcarifer
ENSSDUP00000022877	ENSSDUG00000016591	seriola_dumerili
ENSSLDP00000011973	ENSSLDG00000009494	seriola_lalandi_dorsalis
ENSENLP00000029774	ENSENLG00000012522	echeneis_naucrates
ENSATEP00000005287	ENSATEG00000003752	anabas_testudineus
ENSMALP00000019179	ENSMALG00000013362	monopterus_albus
ENSMAMP00000034044	ENSMAMG00000022887	mastacembelus_armatus
ENSOSIP00000024361	ENSOSIG00000012804	oryzias_sinensis
ENSHHUP00000082851	ENSHHUG00000048112	hucho_hucho
ENSSSAP00000042297	ENSSSAG00000043126	salmo_salar
ENSSTUP00000049753	ENSSTUG00000020733	salmo_trutta
ENSOMYP00000049507	ENSOMYG00000022348	oncorhynchus_mykiss
ENSOTSP00005077525	ENSOTSG00005035985	oncorhynchus_tshawytscha
ENSOKIP00005040034	ENSOKIG00005016627	oncorhynchus_kisutch
ENSHHUP00000051872	ENSHHUG00000031182	hucho_hucho
ENSSTUP00000107229	ENSSTUG00000047649	salmo_trutta
ENSSSAP00000092894	ENSSSAG00000071586	salmo_salar
ENSOMYP00000036845	ENSOMYG00000017070	oncorhynchus_mykiss
ENSOKIP00005114972	ENSOKIG00005049721	oncorhynchus_kisutch
ENSOTSP00005037616	ENSOTSG00005017760	oncorhynchus_tshawytscha
ENSELUP00000012154	ENSELUG00000012486	esox_lucius
ENSPNAP00000006568	ENSPNAG00000012568	pygocentrus_nattereri
ENSAMXP00005048707	ENSAMXG00005021901	astyanax_mexicanus_pachon
ENSAMXP00000002164	ENSAMXG00000002094	astyanax_mexicanus
ENSIPUP00000020364	ENSIPUG00000013833	ictalurus_punctatus
ENSEEEP00000000755	ENSEEEG00000000517	electrophorus_electricus
ENSEEEP00000001062	ENSEEEG00000000572	electrophorus_electricus
ENSDARP00000123904	ENSDARG00000070903	danio_rerio
ENSCCRP00000094464	ENSCCRG00000050913	cyprinus_carpio
ENSCCRP00010030053	ENSCCRG00010011523	cyprinus_carpio_germanmirror
ENSCCRP00015030318	ENSCCRG00015012036	cyprinus_carpio_huanghe
ENSCCRP00020053987	ENSCCRG00020024330	cyprinus_carpio_hebaored
ENSCARP00000025934	ENSCARG00000010298	carassius_auratus
ENSSGRP00000054750	ENSSGRG00000028749	sinocyclocheilus_grahami
ENSSANP00000048134	ENSSANG00000023992	sinocyclocheilus_anshuiensis
ENSSRHP00000075776	ENSSRHG00000037304	sinocyclocheilus_rhinocerous
ENSSGRP00000101776	ENSSGRG00000050236	sinocyclocheilus_grahami
ENSSRHP00000043330	ENSSRHG00000021928	sinocyclocheilus_rhinocerous
ENSSANP00000059445	ENSSANG00000029574	sinocyclocheilus_anshuiensis
ENSCCRP00015054221	ENSCCRG00015021552	cyprinus_carpio_huanghe
ENSCCRP00000095211	ENSCCRG00000051098	cyprinus_carpio
ENSCCRP00020050480	ENSCCRG00020021291	cyprinus_carpio_hebaored
ENSCCRP00010095552	ENSCCRG00010040700	cyprinus_carpio_germanmirror
ENSCARP00000135440	ENSCARG00000070150	carassius_auratus
ENSCHAP00000053649	ENSCHAG00000024193	clupea_harengus
ENSDCDP00000059757	ENSDCDG00000034314	denticeps_clupeoides
