ENSPMAP00000009441	ENSPMAG00000008570	petromyzon_marinus
ENSANIP00000023893	ENSANIG00000015735	accipiter_nisus
ENSSCUP00000018013	ENSSCUG00000013320	struthio_camelus_australis
ENSNPEP00000010637	ENSNPEG00000007972	nothoprocta_perdicaria
ENSDNVP00000017002	ENSDNVG00000011881	dromaius_novaehollandiae
ENSAOWP00000001541	ENSAOWG00000001013	apteryx_owenii
ENSARWP00000005469	ENSARWG00000003897	apteryx_rowi
ENSAHAP00000003926	ENSAHAG00000003087	apteryx_haastii
ENSOANP00000051040	ENSOANG00000000134	ornithorhynchus_anatinus
ENSMLUP00000015675	ENSMLUG00000017190	myotis_lucifugus
ENSSARP00000004095	ENSSARG00000004454	sorex_araneus
ENSFDAP00000005899	ENSFDAG00000006381	fukomys_damarensis
ENSHGLP00100018345	ENSHGLG00100013522	heterocephalus_glaber_male
ENSHGLP00000021199	ENSHGLG00000015148	heterocephalus_glaber_female
ENSODEP00000019012	ENSODEG00000014019	octodon_degus
ENSCLAP00000018747	ENSCLAG00000012853	chinchilla_lanigera
ENSCPOP00000004859	ENSCPOG00000005399	cavia_porcellus
ENSCAPP00000016924	ENSCAPG00000016717	cavia_aperea
ENSJJAP00000008082	ENSJJAG00000012323	jaculus_jaculus
ENSMOCP00000001915	ENSMOCG00000001481	microtus_ochrogaster
ENSMAUP00000009658	ENSMAUG00000010750	mesocricetus_auratus
ENSCGRP00015028194	ENSCGRG00015021353	cricetulus_griseus_picr
ENSCGRP00001027469	ENSCGRG00001024468	cricetulus_griseus_chok1gshd
ENSCGRP00000002292	ENSCGRG00000001686	cricetulus_griseus_crigri
ENSPEMP00000016836	ENSPEMG00000015935	peromyscus_maniculatus_bairdii
ENSMUGP00000002875	ENSMUGG00000002681	meriones_unguiculatus
MGP_CAROLIEiJ_P0080088	MGP_CAROLIEiJ_G0029853	mus_caroli
ENSMUSP00000005671	ENSMUSG00000005533	mus_musculus
MGP_SPRETEiJ_P0083440	MGP_SPRETEiJ_G0030955	mus_spretus
ENSMSIP00000005517	ENSMSIG00000004944	mus_spicilegus
MGP_PahariEiJ_P0016947	MGP_PahariEiJ_G0013077	mus_pahari
ENSRNOP00000019267	ENSRNOG00000014187	rattus_norvegicus
ENSNGAP00000019432	ENSNGAG00000019247	nannospalax_galili
ENSCCNP00000025048	ENSCCNG00000023658	castor_canadensis
ENSDORP00000004240	ENSDORG00000004530	dipodomys_ordii
ENSSTOP00000010241	ENSSTOG00000011400	ictidomys_tridecemlineatus
ENSUPAP00010012981	ENSUPAG00010010504	urocitellus_parryii
ENSMMMP00000023841	ENSMMMG00000020867	marmota_marmota_marmota
ENSSDAP00000016527	ENSSDAG00000014941	spermophilus_dauricus
ENSSVLP00005002648	ENSSVLG00005002096	sciurus_vulgaris
ENSETEP00000009987	ENSETEG00000012312	echinops_telfairi
ENSDNOP00000002719	ENSDNOG00000003514	dasypus_novemcinctus
ENSCHOP00000007205	ENSCHOG00000008140	choloepus_hoffmanni
ENSPCOP00000021856	ENSPCOG00000022975	propithecus_coquereli
ENSPSMP00000011799	ENSPSMG00000008504	prolemur_simus
ENSMICP00000030049	ENSMICG00000010119	microcebus_murinus
ENSOGAP00000010911	ENSOGAG00000012193	otolemur_garnettii
ENSCJAP00000011684	ENSCJAG00000016895	callithrix_jacchus
ENSCCAP00000025410	ENSCCAG00000030475	cebus_capucinus
ENSSBOP00000010385	ENSSBOG00000022023	saimiri_boliviensis_boliviensis
ENSANAP00000039368	ENSANAG00000037101	aotus_nancymaae
ENSRBIP00000041773	ENSRBIG00000044197	rhinopithecus_bieti
ENSRROP00000019087	ENSRROG00000033561	rhinopithecus_roxellana
ENSPTEP00000039919	ENSPTEG00000036847	piliocolobus_tephrosceles
ENSCANP00000013040	ENSCANG00000029891	colobus_angolensis_palliatus
ENSMMUP00000016141	ENSMMUG00000012305	macaca_mulatta
ENSMFAP00000032961	ENSMFAG00000002967	macaca_fascicularis
ENSMNEP00000030152	ENSMNEG00000038485	macaca_nemestrina
ENSCATP00000009142	ENSCATG00000027553	cercocebus_atys
ENSMLEP00000024169	ENSMLEG00000036236	mandrillus_leucophaeus
ENSPANP00000036663	ENSPANG00000021053	papio_anubis
ENSTGEP00000013656	ENSTGEG00000011082	theropithecus_gelada
ENSCSAP00000012999	ENSCSAG00000016951	chlorocebus_sabaeus
ENSPPYP00000007720	ENSPPYG00000006808	pongo_abelii
ENSPTRP00000012792	ENSPTRG00000007489	pan_troglodytes
ENSPPAP00000008847	ENSPPAG00000027660	pan_paniscus
ENSP00000497069	ENSG00000140443	homo_sapiens
ENSGGOP00000012531	ENSGGOG00000012828	gorilla_gorilla
ENSNLEP00000044618	ENSNLEG00000000814	nomascus_leucogenys
ENSTSYP00000002092	ENSTSYG00000002230	carlito_syrichta
ENSECAP00000019400	ENSECAG00000021238	equus_caballus
ENSEASP00005025857	ENSEASG00005017653	equus_asinus_asinus
ENSNVIP00000003435	ENSNVIG00000002644	neovison_vison
ENSMPUP00000010666	ENSMPUG00000010753	mustela_putorius_furo
ENSAMEP00000006007	ENSAMEG00000005572	ailuropoda_melanoleuca
ENSUAMP00000015009	ENSUAMG00000011838	ursus_americanus
ENSUMAP00000035143	ENSUMAG00000025099	ursus_maritimus
ENSUTTP00000003981	ENSUTTG00000002450	ursus_thibetanus_thibetanus
ENSZCAP00015019622	ENSZCAG00015012424	zalophus_californianus
ENSVVUP00000019227	ENSVVUG00000014162	vulpes_vulpes
ENSCAFP00020025222	ENSCAFG00020019842	canis_lupus_dingo
ENSCAFP00000043796	ENSCAFG00000010881	canis_lupus_familiaris
ENSCAFP00030000892	ENSCAFG00030000513	canis_lupus_familiarisbasenji
ENSCAFP00040038906	ENSCAFG00040023848	canis_lupus_familiarisgreatdane
ENSSSUP00005007435	ENSSSUG00005004828	suricata_suricatta
ENSFCAP00000016299	ENSFCAG00000018164	felis_catus
ENSLCNP00005007980	ENSLCNG00005005238	lynx_canadensis
ENSPPRP00000015056	ENSPPRG00000007786	panthera_pardus
ENSPLOP00000001216	ENSPLOG00000000864	panthera_leo
ENSPTIP00000003777	ENSPTIG00000006445	panthera_tigris_altaica
ENSPCAP00000015555	ENSPCAG00000016571	procavia_capensis
ENSLAFP00000025575	ENSLAFG00000011658	loxodonta_africana
ENSTBEP00000011232	ENSTBEG00000012937	tupaia_belangeri
ENSVPAP00000005945	ENSVPAG00000006405	vicugna_pacos
ENSCDRP00005028924	ENSCDRG00005019740	camelus_dromedarius
ENSSSCP00000005181	ENSSSCG00000030560	sus_scrofa
ENSCWAP00000013135	ENSCWAG00000010232	catagonus_wagneri
ENSCHYP00000010774	ENSCHYG00000006955	cervus_hanglu_yarkandensis
ENSBTAP00000028690	ENSBTAG00000021527	bos_taurus
ENSBIXP00000009032	ENSBIXG00000014761	bos_taurus_hybrid
ENSBIXP00005040554	ENSBIXG00005023256	bos_indicus_hybrid
ENSBGRP00000009962	ENSBGRG00000006060	bos_grunniens
ENSBMUP00000005552	ENSBMUG00000004328	bos_mutus
ENSBBBP00000028132	ENSBBBG00000006525	bison_bison_bison
ENSCHIP00010017984	ENSCHIG00010012963	capra_hircus_blackbengal
ENSCHIP00000028488	ENSCHIG00000023990	capra_hircus
ENSOARP00020007122	ENSOARG00020005176	ovis_aries_rambouillet
ENSOARP00000010738	ENSOARG00000010005	ovis_aries
ENSMMSP00000018507	ENSMMSG00000014002	moschus_moschiferus
ENSBMSP00010010078	ENSBMSG00010007366	balaenoptera_musculus
ENSPCTP00005016602	ENSPCTG00005011814	physeter_catodon
ENSMMNP00015014714	ENSMMNG00015010863	monodon_monoceros
ENSDLEP00000009388	ENSDLEG00000006865	delphinapterus_leucas
ENSPSNP00000009023	ENSPSNG00000006634	phocoena_sinus
ENSTTRP00000013918	ENSTTRG00000014670	tursiops_truncatus
ENSPVAP00000003096	ENSPVAG00000003279	pteropus_vampyrus
ENSRFEP00010018177	ENSRFEG00010012281	rhinolophus_ferrumequinum
ENSOCUP00000012731	ENSOCUG00000014795	oryctolagus_cuniculus
ENSOPRP00000001741	ENSOPRG00000001879	ochotona_princeps
ENSEEUP00000012248	ENSEEUG00000013409	erinaceus_europaeus
ENSMODP00000059069	ENSMODG00000012761	monodelphis_domestica
ENSSHAP00000016224	ENSSHAG00000013808	sarcophilus_harrisii
ENSSHAP00000017536	ENSSHAG00000014897	sarcophilus_harrisii
ENSMEUP00000013689	ENSMEUG00000014991	notamacropus_eugenii
ENSVURP00010011242	ENSVURG00010008673	vombatus_ursinus
ENSPCIP00000035414	ENSPCIG00000021906	phascolarctos_cinereus
ENSLLEP00000009317	ENSLLEG00000005894	leptobrachium_leishanense
ENSLLEP00000007516	ENSLLEG00000004756	leptobrachium_leishanense
ENSXETP00000088152	ENSXETG00000002112	xenopus_tropicalis
ENSLOCP00000017791	ENSLOCG00000014435	lepisosteus_oculatus
ENSPKIP00000002603	ENSPKIG00000020414	paramormyrops_kingsleyae
ENSSFOP00015036993	ENSSFOG00015023531	scleropages_formosus
ENSPKIP00000034146	ENSPKIG00000013566	paramormyrops_kingsleyae
ENSSFOP00015030255	ENSSFOG00015019417	scleropages_formosus
ENSDCDP00000039351	ENSDCDG00000021396	denticeps_clupeoides
ENSCHAP00000027842	ENSCHAG00000010686	clupea_harengus
ENSDARP00000046541	ENSDARG00000034434	danio_rerio
ENSSANP00000016704	ENSSANG00000006966	sinocyclocheilus_anshuiensis
ENSSGRP00000082746	ENSSGRG00000039057	sinocyclocheilus_grahami
ENSSRHP00000099801	ENSSRHG00000048605	sinocyclocheilus_rhinocerous
ENSCARP00000038525	ENSCARG00000015482	carassius_auratus
ENSCARP00000122465	ENSCARG00000054968	carassius_auratus
ENSCCRP00015058672	ENSCCRG00015016746	cyprinus_carpio_huanghe
ENSCCRP00000003873	ENSCCRG00000002287	cyprinus_carpio
ENSCCRP00010119196	ENSCCRG00010050590	cyprinus_carpio_germanmirror
ENSCCRP00020102892	ENSCCRG00020038456	cyprinus_carpio_hebaored
ENSCCRP00000032731	ENSCCRG00000014052	cyprinus_carpio
ENSCCRP00020036364	ENSCCRG00020012757	cyprinus_carpio_hebaored
ENSCCRP00010005316	ENSCCRG00010001812	cyprinus_carpio_germanmirror
ENSCCRP00015045804	ENSCCRG00015018841	cyprinus_carpio_huanghe
ENSCARP00000121645	ENSCARG00000057409	carassius_auratus
ENSSGRP00000061117	ENSSGRG00000031721	sinocyclocheilus_grahami
ENSSRHP00000080952	ENSSRHG00000038379	sinocyclocheilus_rhinocerous
ENSSANP00000095057	ENSSANG00000046681	sinocyclocheilus_anshuiensis
ENSIPUP00000033057	ENSIPUG00000022197	ictalurus_punctatus
ENSEEEP00000000328	ENSEEEG00000000219	electrophorus_electricus
ENSPNAP00000009142	ENSPNAG00000014746	pygocentrus_nattereri
ENSAMXP00000022053	ENSAMXG00000021415	astyanax_mexicanus
ENSAMXP00005004884	ENSAMXG00005001777	astyanax_mexicanus_pachon
ENSMMDP00005028824	ENSMMDG00005005409	myripristis_murdjan
ENSSORP00005011997	ENSSORG00005004350	sphaeramia_orbicularis
ENSPMGP00000000651	ENSPMGG00000000583	periophthalmus_magnuspinnatus
ENSNMLP00000030371	ENSNMLG00000015620	neogobius_melanostomus
ENSLBEP00000016740	ENSLBEG00000012912	labrus_bergylta
ENSCGOP00000001040	ENSCGOG00000000647	cottoperca_gobio
ENSHCOP00000000650	ENSHCOG00000001494	hippocampus_comes
ENSGWIP00000001463	ENSGWIG00000000683	gouania_willdenowi
ENSGWIP00000001568	ENSGWIG00000000907	gouania_willdenowi
ENSCSEP00000016843	ENSCSEG00000010813	cynoglossus_semilaevis
ENSTRUP00000039548	ENSTRUG00000015459	takifugu_rubripes
ENSTNIP00000014880	ENSTNIG00000011921	tetraodon_nigroviridis
ENSMMOP00000020884	ENSMMOG00000015868	mola_mola
ENSCLMP00005047936	ENSCLMG00005020609	cyclopterus_lumpus
ENSGACP00000019455	ENSGACG00000014729	gasterosteus_aculeatus
ENSSLUP00000060537	ENSSLUG00000025493	sander_lucioperca
ENSLCRP00005040766	ENSLCRG00005012567	larimichthys_crocea
ENSDLAP00005053000	ENSDLAG00005021438	dicentrarchus_labrax
ENSSAUP00010056393	ENSSAUG00010022954	sparus_aurata
ENSMALP00000001453	ENSMALG00000000840	monopterus_albus
ENSMAMP00000010222	ENSMAMG00000006856	mastacembelus_armatus
ENSBSLP00000052121	ENSBSLG00000023039	betta_splendens
ENSATEP00000006237	ENSATEG00000004408	anabas_testudineus
ENSLCAP00010057841	ENSLCAG00010026927	lates_calcarifer
ENSSMAP00000017138	ENSSMAG00000010426	scophthalmus_maximus
ENSENLP00000037609	ENSENLG00000015825	echeneis_naucrates
ENSSDUP00000010846	ENSSDUG00000007895	seriola_dumerili
ENSSLDP00000020787	ENSSLDG00000016218	seriola_lalandi_dorsalis
ENSPRNP00000048679	ENSPRNG00000021404	parambassis_ranga
ENSAPOP00000023681	ENSAPOG00000005700	acanthochromis_polyacanthus
ENSAPEP00000010540	ENSAPEG00000007516	amphiprion_percula
ENSAOCP00000010527	ENSAOCG00000014811	amphiprion_ocellaris
ENSSPAP00000009334	ENSSPAG00000007089	stegastes_partitus
ENSSFAP00005031510	ENSSFAG00005003511	salarias_fasciatus
ENSCVAP00000020125	ENSCVAG00000001296	cyprinodon_variegatus
ENSFHEP00000010018	ENSFHEG00000011372	fundulus_heteroclitus
ENSXMAP00000039269	ENSXMAG00000016851	xiphophorus_maculatus
ENSXCOP00000016721	ENSXCOG00000012604	xiphophorus_couchianus
ENSGAFP00000013856	ENSGAFG00000009360	gambusia_affinis
ENSPREP00000012689	ENSPREG00000008541	poecilia_reticulata
ENSPLAP00000005840	ENSPLAG00000007907	poecilia_latipinna
ENSPMEP00000011075	ENSPMEG00000013169	poecilia_mexicana
ENSPFOP00000015872	ENSPFOG00000015585	poecilia_formosa
ENSNFUP00015018955	ENSNFUG00015008221	nothobranchius_furzeri
ENSKMAP00000003387	ENSKMAG00000002516	kryptolebias_marmoratus
ENSOSIP00000047238	ENSOSIG00000020109	oryzias_sinensis
ENSORLP00000029312	ENSORLG00000014732	oryzias_latipes
ENSORLP00020032897	ENSORLG00020000563	oryzias_latipes_hni
ENSORLP00015031811	ENSORLG00015016298	oryzias_latipes_hsok
ENSOJAP00000029647	ENSOJAG00000012573	oryzias_javanicus
ENSOMEP00000032841	ENSOMEG00000018503	oryzias_melastigma
ENSOABP00000037831	ENSOABG00000011124	oreochromis_aureus
ENSONIP00000003710	ENSONIG00000002961	oreochromis_niloticus
ENSNBRP00000009915	ENSNBRG00000007674	neolamprologus_brichardi
ENSMZEP00005007176	ENSMZEG00005005511	maylandia_zebra
ENSACLP00000028600	ENSACLG00000019368	astatotilapia_calliptera
ENSHBUP00000033488	ENSHBUG00000020501	haplochromis_burtoni
ENSPNYP00000012452	ENSPNYG00000009411	pundamilia_nyererei
ENSACIP00000008994	ENSACIG00000007009	amphilophus_citrinellus
ENSGMOP00000000192	ENSGMOG00000000181	gadus_morhua
ENSELUP00000051697	ENSELUG00000017203	esox_lucius
ENSHHUP00000088362	ENSHHUG00000051066	hucho_hucho
ENSOKIP00005085078	ENSOKIG00005034209	oncorhynchus_kisutch
ENSOKIP00005067168	ENSOKIG00005028836	oncorhynchus_kisutch
ENSOTSP00005083682	ENSOTSG00005039560	oncorhynchus_tshawytscha
ENSSSAP00000064350	ENSSSAG00000058086	salmo_salar
ENSSTUP00000039325	ENSSTUG00000011980	salmo_trutta
ENSSTUP00000082331	ENSSTUG00000034570	salmo_trutta
ENSDARP00000017066	ENSDARG00000027423	danio_rerio
ENSSRHP00000097008	ENSSRHG00000047647	sinocyclocheilus_rhinocerous
ENSSANP00000053798	ENSSANG00000024538	sinocyclocheilus_anshuiensis
ENSSRHP00000053438	ENSSRHG00000026886	sinocyclocheilus_rhinocerous
ENSSGRP00000038080	ENSSGRG00000020715	sinocyclocheilus_grahami
ENSCCRP00020116307	ENSCCRG00020051606	cyprinus_carpio_hebaored
ENSCCRP00010002187	ENSCCRG00010000525	cyprinus_carpio_germanmirror
ENSCCRP00015116170	ENSCCRG00015044925	cyprinus_carpio_huanghe
ENSCCRP00000048979	ENSCCRG00000025283	cyprinus_carpio
ENSCARP00000128283	ENSCARG00000063122	carassius_auratus
ENSSGRP00000103950	ENSSGRG00000050736	sinocyclocheilus_grahami
ENSSRHP00000062860	ENSSRHG00000027785	sinocyclocheilus_rhinocerous
ENSSANP00000060272	ENSSANG00000029578	sinocyclocheilus_anshuiensis
ENSCARP00000056363	ENSCARG00000018479	carassius_auratus
ENSCCRP00000021418	ENSCCRG00000007453	cyprinus_carpio
ENSCCRP00020098096	ENSCCRG00020045066	cyprinus_carpio_hebaored
ENSCCRP00010082726	ENSCCRG00010036124	cyprinus_carpio_germanmirror
ENSCCRP00015107652	ENSCCRG00015040508	cyprinus_carpio_huanghe
ENSAMXP00005047872	ENSAMXG00005021735	astyanax_mexicanus_pachon
ENSAMXP00000027341	ENSAMXG00000020664	astyanax_mexicanus
ENSPNAP00000006784	ENSPNAG00000012748	pygocentrus_nattereri
ENSIPUP00000034569	ENSIPUG00000023195	ictalurus_punctatus
ENSEEEP00000045782	ENSEEEG00000021572	electrophorus_electricus
ENSCHAP00000052151	ENSCHAG00000020214	clupea_harengus
ENSDCDP00000062714	ENSDCDG00000035269	denticeps_clupeoides
ENSHHUP00000059768	ENSHHUG00000035483	hucho_hucho
ENSOMYP00000049726	ENSOMYG00000013731	oncorhynchus_mykiss
ENSOKIP00005092715	ENSOKIG00005037663	oncorhynchus_kisutch
ENSOTSP00005024197	ENSOTSG00005011441	oncorhynchus_tshawytscha
ENSSTUP00000111588	ENSSTUG00000046953	salmo_trutta
ENSSSAP00000087788	ENSSSAG00000047729	salmo_salar
ENSHHUP00000081542	ENSHHUG00000047085	hucho_hucho
ENSOKIP00005038050	ENSOKIG00005009694	oncorhynchus_kisutch
ENSOMYP00000064915	ENSOMYG00000028616	oncorhynchus_mykiss
ENSOTSP00005084994	ENSOTSG00005036789	oncorhynchus_tshawytscha
ENSSTUP00000089601	ENSSTUG00000037414	salmo_trutta
ENSSSAP00000071942	ENSSSAG00000054714	salmo_salar
ENSHHUP00000069809	ENSHHUG00000040544	hucho_hucho
ENSELUP00000017870	ENSELUG00000017508	esox_lucius
ENSGMOP00000016451	ENSGMOG00000015335	gadus_morhua
ENSHCOP00000019248	ENSHCOG00000004460	hippocampus_comes
ENSLBEP00000014965	ENSLBEG00000011631	labrus_bergylta
ENSDLAP00005011372	ENSDLAG00005002853	dicentrarchus_labrax
ENSMMOP00000010557	ENSMMOG00000008144	mola_mola
ENSTNIP00000022427	ENSTNIG00000019227	tetraodon_nigroviridis
ENSTRUP00000066115	ENSTRUG00000005173	takifugu_rubripes
ENSSAUP00010041070	ENSSAUG00010012810	sparus_aurata
ENSLCRP00005063961	ENSLCRG00005022856	larimichthys_crocea
ENSCGOP00000018414	ENSCGOG00000004785	cottoperca_gobio
ENSCLMP00005042731	ENSCLMG00005011440	cyclopterus_lumpus
ENSGACP00000017416	ENSGACG00000013170	gasterosteus_aculeatus
ENSSLUP00000057234	ENSSLUG00000023057	sander_lucioperca
ENSMALP00000011329	ENSMALG00000008031	monopterus_albus
ENSLCAP00010019810	ENSLCAG00010007343	lates_calcarifer
ENSSMAP00000003354	ENSSMAG00000002101	scophthalmus_maximus
ENSSDUP00000016741	ENSSDUG00000012197	seriola_dumerili
ENSSLDP00000021196	ENSSLDG00000016537	seriola_lalandi_dorsalis
ENSNBRP00000027626	ENSNBRG00000021047	neolamprologus_brichardi
ENSPNYP00000013071	ENSPNYG00000009876	pundamilia_nyererei
ENSACLP00000032394	ENSACLG00000021919	astatotilapia_calliptera
ENSMZEP00005028529	ENSMZEG00005021278	maylandia_zebra
ENSHBUP00000015602	ENSHBUG00000017562	haplochromis_burtoni
ENSONIP00000019021	ENSONIG00000015115	oreochromis_niloticus
ENSOABP00000027307	ENSOABG00000012870	oreochromis_aureus
ENSACIP00000030311	ENSACIG00000023462	amphilophus_citrinellus
ENSENLP00000041069	ENSENLG00000015545	echeneis_naucrates
ENSSPAP00000016039	ENSSPAG00000012068	stegastes_partitus
ENSSPAP00000026623	ENSSPAG00000020066	stegastes_partitus
ENSAPOP00000019938	ENSAPOG00000023492	acanthochromis_polyacanthus
ENSAPEP00000022328	ENSAPEG00000015850	amphiprion_percula
ENSAOCP00000004359	ENSAOCG00000000439	amphiprion_ocellaris
ENSSFAP00005052229	ENSSFAG00005020896	salarias_fasciatus
ENSOMEP00000005072	ENSOMEG00000006084	oryzias_melastigma
ENSOJAP00000038269	ENSOJAG00000018672	oryzias_javanicus
ENSOSIP00000042373	ENSOSIG00000017019	oryzias_sinensis
ENSORLP00020002993	ENSORLG00020003817	oryzias_latipes_hni
ENSORLP00015032484	ENSORLG00015017368	oryzias_latipes_hsok
ENSORLP00000030267	ENSORLG00000008532	oryzias_latipes
ENSFHEP00000003606	ENSFHEG00000004520	fundulus_heteroclitus
ENSCVAP00000001583	ENSCVAG00000002588	cyprinodon_variegatus
ENSXMAP00000033477	ENSXMAG00000003717	xiphophorus_maculatus
ENSXCOP00000027158	ENSXCOG00000020275	xiphophorus_couchianus
ENSGAFP00000003550	ENSGAFG00000002342	gambusia_affinis
ENSPREP00000009038	ENSPREG00000006183	poecilia_reticulata
ENSPLAP00000028276	ENSPLAG00000017556	poecilia_latipinna
ENSPMEP00000022166	ENSPMEG00000002898	poecilia_mexicana
ENSPFOP00000019308	ENSPFOG00000019184	poecilia_formosa
ENSKMAP00000020687	ENSKMAG00000015332	kryptolebias_marmoratus
ENSNFUP00015024621	ENSNFUG00015011508	nothobranchius_furzeri
ENSPRNP00000039912	ENSPRNG00000019620	parambassis_ranga
ENSBSLP00000037723	ENSBSLG00000017604	betta_splendens
ENSATEP00000007122	ENSATEG00000004963	anabas_testudineus
ENSMAMP00000014149	ENSMAMG00000009545	mastacembelus_armatus
ENSGWIP00000010678	ENSGWIG00000006271	gouania_willdenowi
ENSPMGP00000028757	ENSPMGG00000023154	periophthalmus_magnuspinnatus
ENSNMLP00000035941	ENSNMLG00000007864	neogobius_melanostomus
ENSSORP00005047565	ENSSORG00005013500	sphaeramia_orbicularis
ENSMMDP00005027669	ENSMMDG00005013270	myripristis_murdjan
ENSHHUP00000019062	ENSHHUG00000011888	hucho_hucho
ENSECRP00000033997	ENSECRG00000022961	erpetoichthys_calabaricus
ENSCMIP00000017678	ENSCMIG00000008201	callorhinchus_milii
