ENSLOCP00000007272	ENSLOCG00000006007	lepisosteus_oculatus
ENSCPBP00000025976	ENSCPBG00000018453	chrysemys_picta_bellii
ENSGEVP00005030448	ENSGEVG00005021270	gopherus_evgoodei
ENSGAGP00000023605	ENSGAGG00000017301	gopherus_agassizii
ENSCABP00000017571	ENSCABG00000013052	chelonoidis_abingdonii
ENSCSRP00000004137	ENSCSRG00000002975	chelydra_serpentina
ENSPSIP00000007384	ENSPSIG00000006661	pelodiscus_sinensis
ENSPCEP00000001663	ENSPCEG00000001375	pelusios_castaneus
ENSLACP00000007753	ENSLACG00000006867	latimeria_chalumnae
ENSLACP00000011348	ENSLACG00000009983	latimeria_chalumnae
ENSLLEP00000002900	ENSLLEG00000001882	leptobrachium_leishanense
ENSECRP00000025079	ENSECRG00000016873	erpetoichthys_calabaricus
ENSCMIP00000046410	ENSCMIG00000019084	callorhinchus_milii
ENSCSEP00000016724	ENSCSEG00000010762	cynoglossus_semilaevis
ENSCSEP00000016717	ENSCSEG00000010755	cynoglossus_semilaevis
ENSSFOP00015034447	ENSSFOG00015021938	scleropages_formosus
ENSPKIP00000006061	ENSPKIG00000022486	paramormyrops_kingsleyae
ENSOKIP00005112240	ENSOKIG00005048863	oncorhynchus_kisutch
ENSMAMP00000005544	ENSMAMG00000003754	mastacembelus_armatus
ENSPLAP00000014704	ENSPLAG00000018462	poecilia_latipinna
ENSNBRP00000017314	ENSNBRG00000013384	neolamprologus_brichardi
ENSSFAP00005034826	ENSSFAG00005017667	salarias_fasciatus
ENSHCOP00000018798	ENSHCOG00000003630	hippocampus_comes
ENSOTSP00005057946	ENSOTSG00005027923	oncorhynchus_tshawytscha
ENSOMYP00000074750	ENSOMYG00000034576	oncorhynchus_mykiss
ENSOMYP00000088029	ENSOMYG00000040704	oncorhynchus_mykiss
ENSSFAP00005034823	ENSSFAG00005017664	salarias_fasciatus
ENSNFUP00015034771	ENSNFUG00015016925	nothobranchius_furzeri
ENSNFUP00015034776	ENSNFUG00015016941	nothobranchius_furzeri
ENSCVAP00000004603	ENSCVAG00000005896	cyprinodon_variegatus
ENSPREP00000015400	ENSPREG00000010398	poecilia_reticulata
ENSPREP00000015409	ENSPREG00000010404	poecilia_reticulata
ENSOJAP00000030002	ENSOJAG00000015107	oryzias_javanicus
ENSSLDP00000004694	ENSSLDG00000003741	seriola_lalandi_dorsalis
ENSGMOP00000001508	ENSGMOG00000001423	gadus_morhua
ENSSDUP00000028678	ENSSDUG00000020675	seriola_dumerili
ENSSMAP00000033547	ENSSMAG00000020524	scophthalmus_maximus
ENSOSIP00000038621	ENSOSIG00000019045	oryzias_sinensis
ENSORLP00000012526	ENSORLG00000009982	oryzias_latipes
ENSORLP00020016159	ENSORLG00020017180	oryzias_latipes_hni
ENSORLP00015008143	ENSORLG00015008943	oryzias_latipes_hsok
ENSOMEP00000025344	ENSOMEG00000006525	oryzias_melastigma
ENSKMAP00000014841	ENSKMAG00000011104	kryptolebias_marmoratus
ENSACIP00000018589	ENSACIG00000014482	amphilophus_citrinellus
ENSOABP00000035272	ENSOABG00000016233	oreochromis_aureus
ENSONIP00000050541	ENSONIG00000013593	oreochromis_niloticus
ENSHBUP00000021683	ENSHBUG00000001492	haplochromis_burtoni
ENSACLP00000007894	ENSACLG00000005365	astatotilapia_calliptera
ENSMZEP00005035260	ENSMZEG00005026355	maylandia_zebra
ENSGWIP00000024094	ENSGWIG00000012167	gouania_willdenowi
ENSBSLP00000040026	ENSBSLG00000019409	betta_splendens
ENSMALP00000016500	ENSMALG00000011570	monopterus_albus
ENSGACP00000003532	ENSGACG00000002696	gasterosteus_aculeatus
ENSLCRP00005022445	ENSLCRG00005009065	larimichthys_crocea
ENSSAUP00010023758	ENSSAUG00010010436	sparus_aurata
ENSLBEP00000027510	ENSLBEG00000020835	labrus_bergylta
ENSTRUP00000062330	ENSTRUG00000006367	takifugu_rubripes
ENSTNIP00000020887	ENSTNIG00000017736	tetraodon_nigroviridis
ENSPRNP00000035011	ENSPRNG00000017529	parambassis_ranga
ENSLCAP00010043516	ENSLCAG00010020254	lates_calcarifer
ENSATEP00000009707	ENSATEG00000006784	anabas_testudineus
ENSMMOP00000017733	ENSMMOG00000013463	mola_mola
ENSMMDP00005048263	ENSMMDG00005021954	myripristis_murdjan
ENSSPAP00000017042	ENSSPAG00000012696	stegastes_partitus
ENSPFOP00000030957	ENSPFOG00000023464	poecilia_formosa
ENSPFOP00000003960	ENSPFOG00000003513	poecilia_formosa
ENSPMEP00000006332	ENSPMEG00000007795	poecilia_mexicana
ENSXMAP00000016840	ENSXMAG00000016808	xiphophorus_maculatus
ENSGAFP00000025147	ENSGAFG00000016973	gambusia_affinis
ENSAOCP00000015765	ENSAOCG00000020568	amphiprion_ocellaris
ENSAPEP00000031866	ENSAPEG00000022601	amphiprion_percula
ENSNMLP00000015551	ENSNMLG00000010301	neogobius_melanostomus
ENSSLUP00000025177	ENSSLUG00000011385	sander_lucioperca
ENSCGOP00000011200	ENSCGOG00000005598	cottoperca_gobio
ENSSORP00005032848	ENSSORG00005015590	sphaeramia_orbicularis
ENSCLMP00005050009	ENSCLMG00005022732	cyclopterus_lumpus
ENSSLDP00000028342	ENSSLDG00000021902	seriola_lalandi_dorsalis
ENSDLAP00005029754	ENSDLAG00005013419	dicentrarchus_labrax
ENSENLP00000046784	ENSENLG00000019816	echeneis_naucrates
ENSFHEP00000033072	ENSFHEG00000019950	fundulus_heteroclitus
ENSPNYP00000005094	ENSPNYG00000003957	pundamilia_nyererei
ENSELUP00000042744	ENSELUG00000024159	esox_lucius
ENSOKIP00005034636	ENSOKIG00005014784	oncorhynchus_kisutch
ENSSSAP00000032780	ENSSSAG00000040654	salmo_salar
ENSSTUP00000053554	ENSSTUG00000022654	salmo_trutta
ENSHHUP00000036083	ENSHHUG00000022686	hucho_hucho
ENSHHUP00000036099	ENSHHUG00000022694	hucho_hucho
ENSHHUP00000015571	ENSHHUG00000009705	hucho_hucho
ENSHHUP00000015578	ENSHHUG00000009712	hucho_hucho
ENSSSAP00000111086	ENSSSAG00000078291	salmo_salar
ENSSTUP00000096564	ENSSTUG00000043462	salmo_trutta
ENSOTSP00005020998	ENSOTSG00005010134	oncorhynchus_tshawytscha
ENSSANP00000033323	ENSSANG00000016903	sinocyclocheilus_anshuiensis
ENSSRHP00000060588	ENSSRHG00000030311	sinocyclocheilus_rhinocerous
ENSSGRP00000110694	ENSSGRG00000054434	sinocyclocheilus_grahami
ENSCCRP00010072658	ENSCCRG00010031234	cyprinus_carpio_germanmirror
ENSCCRP00015009529	ENSCCRG00015004592	cyprinus_carpio_huanghe
ENSCARP00000105267	ENSCARG00000053835	carassius_auratus
ENSCARP00000039615	ENSCARG00000016965	carassius_auratus
ENSCCRP00020079640	ENSCCRG00020036983	cyprinus_carpio_hebaored
ENSCCRP00015025749	ENSCCRG00015010883	cyprinus_carpio_huanghe
ENSCCRP00010007386	ENSCCRG00010003027	cyprinus_carpio_germanmirror
ENSSGRP00000097440	ENSSGRG00000048656	sinocyclocheilus_grahami
ENSSANP00000094022	ENSSANG00000046278	sinocyclocheilus_anshuiensis
ENSSRHP00000058043	ENSSRHG00000029104	sinocyclocheilus_rhinocerous
ENSEEEP00000000074	ENSEEEG00000000044	electrophorus_electricus
ENSAMXP00000043770	ENSAMXG00000002680	astyanax_mexicanus
ENSAMXP00005023454	ENSAMXG00005011910	astyanax_mexicanus_pachon
ENSPNAP00000014273	ENSPNAG00000020226	pygocentrus_nattereri
ENSIPUP00000020440	ENSIPUG00000013857	ictalurus_punctatus
ENSCHAP00000009461	ENSCHAG00000005305	clupea_harengus
ENSDCDP00000060464	ENSDCDG00000034716	denticeps_clupeoides
