ENSLOCP00000010043	ENSLOCG00000008258	lepisosteus_oculatus
ENSGAFP00000020516	ENSGAFG00000013841	gambusia_affinis
ENSPLAP00000002392	ENSPLAG00000003683	poecilia_latipinna
ENSPREP00000014050	ENSPREG00000009338	poecilia_reticulata
ENSPFOP00000011947	ENSPFOG00000011583	poecilia_formosa
ENSPMEP00000034686	ENSPMEG00000024087	poecilia_mexicana
ENSCVAP00000000300	ENSCVAG00000001200	cyprinodon_variegatus
ENSFHEP00000030399	ENSFHEG00000015657	fundulus_heteroclitus
ENSMMOP00000008743	ENSMMOG00000006763	mola_mola
ENSATEP00000031832	ENSATEG00000021923	anabas_testudineus
ENSSFAP00005004409	ENSSFAG00005002928	salarias_fasciatus
ENSGWIP00000007244	ENSGWIG00000004231	gouania_willdenowi
ENSSAUP00010035251	ENSSAUG00010014922	sparus_aurata
ENSLCRP00005021464	ENSLCRG00005008693	larimichthys_crocea
ENSDLAP00005002538	ENSDLAG00005001117	dicentrarchus_labrax
ENSDLAP00005002544	ENSDLAG00005001121	dicentrarchus_labrax
ENSLBEP00000019467	ENSLBEG00000014955	labrus_bergylta
ENSTRUP00000020248	ENSTRUG00000008107	takifugu_rubripes
ENSTNIP00000012140	ENSTNIG00000008297	tetraodon_nigroviridis
ENSHCOP00000015173	ENSHCOG00000018724	hippocampus_comes
ENSAOCP00000031291	ENSAOCG00000022874	amphiprion_ocellaris
ENSAPEP00000014988	ENSAPEG00000010680	amphiprion_percula
ENSAPOP00000034099	ENSAPOG00000023143	acanthochromis_polyacanthus
ENSMAMP00000000507	ENSMAMG00000000352	mastacembelus_armatus
ENSMMDP00005024632	ENSMMDG00005011845	myripristis_murdjan
ENSHHUP00000028514	ENSHHUG00000018171	hucho_hucho
ENSSANP00000007360	ENSSANG00000004181	sinocyclocheilus_anshuiensis
ENSOKIP00005018168	ENSOKIG00005008094	oncorhynchus_kisutch
ENSOTSP00005039379	ENSOTSG00005018704	oncorhynchus_tshawytscha
ENSOTSP00005039154	ENSOTSG00005018574	oncorhynchus_tshawytscha
ENSOKIP00005041850	ENSOKIG00005017673	oncorhynchus_kisutch
ENSOMYP00000058366	ENSOMYG00000026960	oncorhynchus_mykiss
ENSOMYP00000058397	ENSOMYG00000026975	oncorhynchus_mykiss
ENSSTUP00000038906	ENSSTUG00000016583	salmo_trutta
ENSSSAP00000016389	ENSSSAG00000007857	salmo_salar
ENSSTUP00000000309	ENSSTUG00000000223	salmo_trutta
ENSSSAP00000004171	ENSSSAG00000002063	salmo_salar
ENSOMYP00000006852	ENSOMYG00000003461	oncorhynchus_mykiss
ENSHHUP00000016265	ENSHHUG00000010124	hucho_hucho
ENSHHUP00000073267	ENSHHUG00000043013	hucho_hucho
ENSELUP00000016786	ENSELUG00000016529	esox_lucius
ENSECRP00000012133	ENSECRG00000008084	erpetoichthys_calabaricus
