ENSLLEP00000019644	ENSLLEG00000011745	leptobrachium_leishanense
ENSPCIP00000046380	ENSPCIG00000026177	phascolarctos_cinereus
ENSVURP00010030799	ENSVURG00010023557	vombatus_ursinus
ENSMEUP00000011499	ENSMEUG00000012598	notamacropus_eugenii
ENSSHAP00000014687	ENSSHAG00000012536	sarcophilus_harrisii
ENSOCUP00000011656	ENSOCUG00000013540	oryctolagus_cuniculus
ENSOPRP00000002973	ENSOPRG00000003224	ochotona_princeps
ENSSVLP00005007807	ENSSVLG00005006141	sciurus_vulgaris
ENSSDAP00000011239	ENSSDAG00000010067	spermophilus_dauricus
ENSMMMP00000021598	ENSMMMG00000019007	marmota_marmota_marmota
ENSUPAP00010026378	ENSUPAG00010020830	urocitellus_parryii
ENSSTOP00000026283	ENSSTOG00000015377	ictidomys_tridecemlineatus
ENSCHOP00000005886	ENSCHOG00000006643	choloepus_hoffmanni
ENSLAFP00000005320	ENSLAFG00000006334	loxodonta_africana
ENSPCAP00000003623	ENSPCAG00000003820	procavia_capensis
ENSDNOP00000006102	ENSDNOG00000007869	dasypus_novemcinctus
ENSTSYP00000003327	ENSTSYG00000003635	carlito_syrichta
ENSPCTP00005030237	ENSPCTG00005021574	physeter_catodon
ENSCHIP00010042973	ENSCHIG00010031231	capra_hircus_blackbengal
ENSETEP00000001348	ENSETEG00000001667	echinops_telfairi
ENSSARP00000002684	ENSSARG00000002934	sorex_araneus
ENSMPUP00000015837	ENSMPUG00000015942	mustela_putorius_furo
ENSNVIP00000029355	ENSNVIG00000022604	neovison_vison
ENSUAMP00000026268	ENSUAMG00000020367	ursus_americanus
ENSUAMP00000001992	ENSUAMG00000001852	ursus_americanus
ENSUMAP00000018339	ENSUMAG00000013332	ursus_maritimus
ENSUTTP00000008909	ENSUTTG00000005480	ursus_thibetanus_thibetanus
ENSAMEP00000015659	ENSAMEG00000014794	ailuropoda_melanoleuca
ENSZCAP00015001351	ENSZCAG00015000911	zalophus_californianus
ENSVVUP00000036093	ENSVVUG00000025928	vulpes_vulpes
ENSCAFP00040003487	ENSCAFG00040002124	canis_lupus_familiarisgreatdane
ENSCAFP00030003063	ENSCAFG00030001867	canis_lupus_familiarisbasenji
ENSCAFP00000056586	ENSCAFG00000014323	canis_lupus_familiaris
ENSCAFP00020024959	ENSCAFG00020019605	canis_lupus_dingo
ENSFCAP00000032219	ENSFCAG00000038675	felis_catus
ENSPPRP00000023567	ENSPPRG00000013935	panthera_pardus
ENSPLOP00000011469	ENSPLOG00000008273	panthera_leo
ENSPTIP00000025962	ENSPTIG00000021556	panthera_tigris_altaica
ENSLCNP00005020690	ENSLCNG00005013487	lynx_canadensis
ENSSSUP00005009665	ENSSSUG00005006209	suricata_suricatta
ENSRFEP00010001518	ENSRFEG00010001020	rhinolophus_ferrumequinum
ENSPVAP00000008140	ENSPVAG00000008621	pteropus_vampyrus
ENSMLUP00000002891	ENSMLUG00000003167	myotis_lucifugus
ENSMLUP00000017860	ENSMLUG00000025356	myotis_lucifugus
ENSOARP00000008492	ENSOARG00000007903	ovis_aries
ENSOARP00020021420	ENSOARG00020016163	ovis_aries_rambouillet
ENSCHIP00000026488	ENSCHIG00000022795	capra_hircus
ENSBBBP00000021387	ENSBBBG00000007412	bison_bison_bison
ENSBMUP00000019953	ENSBMUG00000014918	bos_mutus
ENSBGRP00000005740	ENSBGRG00000003473	bos_grunniens
ENSBTAP00000026780	ENSBTAG00000045902	bos_taurus
ENSBIXP00005027379	ENSBIXG00005030712	bos_indicus_hybrid
ENSBIXP00000041340	ENSBIXG00000025586	bos_taurus_hybrid
ENSMMSP00000012198	ENSMMSG00000009204	moschus_moschiferus
ENSCHYP00000011306	ENSCHYG00000007261	cervus_hanglu_yarkandensis
ENSBMSP00010004724	ENSBMSG00010003449	balaenoptera_musculus
ENSTTRP00000002476	ENSTTRG00000002635	tursiops_truncatus
ENSPSNP00000000050	ENSPSNG00000000028	phocoena_sinus
ENSMMNP00015007755	ENSMMNG00015005718	monodon_monoceros
ENSDLEP00000015307	ENSDLEG00000011282	delphinapterus_leucas
ENSPCTP00005030978	ENSPCTG00005022072	physeter_catodon
ENSCDRP00005020979	ENSCDRG00005014531	camelus_dromedarius
ENSCWAP00000019112	ENSCWAG00000014368	catagonus_wagneri
ENSSSCP00000003828	ENSSSCG00000003527	sus_scrofa
ENSEASP00005010171	ENSEASG00005007064	equus_asinus_asinus
ENSECAP00000050485	ENSECAG00000011631	equus_caballus
ENSPCOP00000000714	ENSPCOG00000001598	propithecus_coquereli
ENSPSMP00000005825	ENSPSMG00000004396	prolemur_simus
ENSMICP00000004623	ENSMICG00000005069	microcebus_murinus
ENSNLEP00000042098	ENSNLEG00000008335	nomascus_leucogenys
ENSGGOP00000008163	ENSGGOG00000008345	gorilla_gorilla
ENSPPAP00000019552	ENSPPAG00000032919	pan_paniscus
ENSPTRP00000052704	ENSPTRG00000000320	pan_troglodytes
ENSP00000383053	ENSG00000133216	homo_sapiens
ENSPPYP00000024291	ENSPPYG00000029431	pongo_abelii
ENSCSAP00000017091	ENSCSAG00000000916	chlorocebus_sabaeus
ENSPANP00000017355	ENSPANG00000017803	papio_anubis
ENSTGEP00000004140	ENSTGEG00000003446	theropithecus_gelada
ENSMLEP00000017471	ENSMLEG00000032847	mandrillus_leucophaeus
ENSCATP00000026398	ENSCATG00000036561	cercocebus_atys
ENSMFAP00000033975	ENSMFAG00000003479	macaca_fascicularis
ENSMNEP00000037568	ENSMNEG00000041730	macaca_nemestrina
ENSMMUP00000049811	ENSMMUG00000023382	macaca_mulatta
ENSPTEP00000009921	ENSPTEG00000011236	piliocolobus_tephrosceles
ENSCANP00000031653	ENSCANG00000039341	colobus_angolensis_palliatus
ENSRROP00000024089	ENSRROG00000035857	rhinopithecus_roxellana
ENSRBIP00000043227	ENSRBIG00000044791	rhinopithecus_bieti
ENSCCAP00000039974	ENSCCAG00000037780	cebus_capucinus
ENSCJAP00000010639	ENSCJAG00000005696	callithrix_jacchus
ENSSBOP00000008963	ENSSBOG00000021226	saimiri_boliviensis_boliviensis
ENSANAP00000018480	ENSANAG00000027036	aotus_nancymaae
ENSOGAP00000013158	ENSOGAG00000014678	otolemur_garnettii
ENSTBEP00000012426	ENSTBEG00000014323	tupaia_belangeri
ENSDORP00000011403	ENSDORG00000012114	dipodomys_ordii
ENSCCNP00000010582	ENSCCNG00000011043	castor_canadensis
ENSCCNP00000030694	ENSCCNG00000029338	castor_canadensis
ENSJJAP00000009544	ENSJJAG00000013346	jaculus_jaculus
ENSMOCP00000010861	ENSMOCG00000011093	microtus_ochrogaster
ENSCGRP00001027947	ENSCGRG00001024803	cricetulus_griseus_chok1gshd
ENSCGRP00000005335	ENSCGRG00000003903	cricetulus_griseus_crigri
ENSCGRP00015028064	ENSCGRG00015021217	cricetulus_griseus_picr
ENSMAUP00000009448	ENSMAUG00000010555	mesocricetus_auratus
ENSPEMP00000015118	ENSPEMG00000014712	peromyscus_maniculatus_bairdii
ENSMUGP00000024463	ENSMUGG00000020412	meriones_unguiculatus
ENSMUSP00000058135	ENSMUSG00000028664	mus_musculus
ENSMSIP00000005640	ENSMSIG00000005017	mus_spicilegus
MGP_SPRETEiJ_P0067831	MGP_SPRETEiJ_G0027647	mus_spretus
MGP_CAROLIEiJ_P0065282	MGP_CAROLIEiJ_G0026667	mus_caroli
MGP_PahariEiJ_P0080367	MGP_PahariEiJ_G0029000	mus_pahari
ENSRNOP00000070517	ENSRNOG00000012531	rattus_norvegicus
ENSNGAP00000008171	ENSNGAG00000011224	nannospalax_galili
ENSHGLP00000025300	ENSHGLG00000018029	heterocephalus_glaber_female
ENSHGLP00100010288	ENSHGLG00100007649	heterocephalus_glaber_male
ENSFDAP00000001070	ENSFDAG00000006266	fukomys_damarensis
ENSCPOP00000009739	ENSCPOG00000010844	cavia_porcellus
ENSCAPP00000008118	ENSCAPG00000009875	cavia_aperea
ENSCLAP00000016358	ENSCLAG00000011252	chinchilla_lanigera
ENSODEP00000020642	ENSODEG00000015223	octodon_degus
ENSEEUP00000005827	ENSEEUG00000006359	erinaceus_europaeus
ENSOANP00000033924	ENSOANG00000040706	ornithorhynchus_anatinus
ENSLACP00000001578	ENSLACG00000001408	latimeria_chalumnae
ENSLACP00000005487	ENSLACG00000004881	latimeria_chalumnae
ENSCHAP00000042443	ENSCHAG00000019006	clupea_harengus
ENSDCDP00000058502	ENSDCDG00000033489	denticeps_clupeoides
ENSAMXP00000025495	ENSAMXG00000024789	astyanax_mexicanus
ENSAMXP00005005781	ENSAMXG00005003295	astyanax_mexicanus_pachon
ENSAMXP00000006512	ENSAMXG00000006326	astyanax_mexicanus
ENSPNAP00000014433	ENSPNAG00000020381	pygocentrus_nattereri
ENSIPUP00000019192	ENSIPUG00000012991	ictalurus_punctatus
ENSDARP00000043755	ENSDARG00000021539	danio_rerio
ENSCARP00000110692	ENSCARG00000054854	carassius_auratus
ENSCARP00000080031	ENSCARG00000038053	carassius_auratus
ENSCCRP00015073584	ENSCCRG00015029759	cyprinus_carpio_huanghe
ENSCCRP00000050690	ENSCCRG00000026956	cyprinus_carpio
ENSCCRP00010065057	ENSCCRG00010026880	cyprinus_carpio_germanmirror
ENSCCRP00020092516	ENSCCRG00020041318	cyprinus_carpio_hebaored
ENSSRHP00000003191	ENSSRHG00000001548	sinocyclocheilus_rhinocerous
ENSSANP00000031907	ENSSANG00000015879	sinocyclocheilus_anshuiensis
ENSSGRP00000034541	ENSSGRG00000018684	sinocyclocheilus_grahami
ENSSGRP00000110497	ENSSGRG00000054214	sinocyclocheilus_grahami
ENSSRHP00000058754	ENSSRHG00000029429	sinocyclocheilus_rhinocerous
ENSSANP00000105646	ENSSANG00000051663	sinocyclocheilus_anshuiensis
ENSCCRP00020092961	ENSCCRG00020040310	cyprinus_carpio_hebaored
ENSCCRP00015060685	ENSCCRG00015023293	cyprinus_carpio_huanghe
ENSCCRP00020053386	ENSCCRG00020024023	cyprinus_carpio_hebaored
ENSCCRP00010017379	ENSCCRG00010005701	cyprinus_carpio_germanmirror
ENSCCRP00000059136	ENSCCRG00000027163	cyprinus_carpio
ENSCARP00000033398	ENSCARG00000013763	carassius_auratus
ENSEEEP00000027657	ENSEEEG00000013316	electrophorus_electricus
ENSSMAP00000029675	ENSSMAG00000018173	scophthalmus_maximus
ENSLBEP00000007266	ENSLBEG00000005594	labrus_bergylta
ENSTRUP00000080957	ENSTRUG00000005498	takifugu_rubripes
ENSCLMP00005045218	ENSCLMG00005020841	cyclopterus_lumpus
ENSTNIP00000015167	ENSTNIG00000012202	tetraodon_nigroviridis
ENSNMLP00000043267	ENSNMLG00000026267	neogobius_melanostomus
ENSPMGP00000010463	ENSPMGG00000008643	periophthalmus_magnuspinnatus
ENSCSEP00000020904	ENSCSEG00000013341	cynoglossus_semilaevis
ENSMAMP00000003649	ENSMAMG00000002456	mastacembelus_armatus
ENSMALP00000003487	ENSMALG00000002542	monopterus_albus
ENSATEP00000002380	ENSATEG00000001637	anabas_testudineus
ENSLCAP00010025698	ENSLCAG00010011944	lates_calcarifer
ENSENLP00000054131	ENSENLG00000022530	echeneis_naucrates
ENSSDUP00000024740	ENSSDUG00000017949	seriola_dumerili
ENSSLDP00000025113	ENSSLDG00000019542	seriola_lalandi_dorsalis
ENSSORP00005053600	ENSSORG00005024096	sphaeramia_orbicularis
ENSPRNP00000044158	ENSPRNG00000020246	parambassis_ranga
ENSSPAP00000024560	ENSSPAG00000018544	stegastes_partitus
ENSAPEP00000028235	ENSAPEG00000020015	amphiprion_percula
ENSAOCP00000008249	ENSAOCG00000000756	amphiprion_ocellaris
ENSAPOP00000007479	ENSAPOG00000009493	acanthochromis_polyacanthus
ENSCVAP00000029120	ENSCVAG00000016683	cyprinodon_variegatus
ENSPFOP00000024113	ENSPFOG00000016690	poecilia_formosa
ENSPMEP00000010432	ENSPMEG00000012472	poecilia_mexicana
ENSPLAP00000016347	ENSPLAG00000020503	poecilia_latipinna
ENSPREP00000020820	ENSPREG00000014075	poecilia_reticulata
ENSXMAP00000017696	ENSXMAG00000017602	xiphophorus_maculatus
ENSXCOP00000020614	ENSXCOG00000014212	xiphophorus_couchianus
ENSGAFP00000022847	ENSGAFG00000015441	gambusia_affinis
ENSFHEP00000010854	ENSFHEG00000012264	fundulus_heteroclitus
ENSKMAP00000023761	ENSKMAG00000017603	kryptolebias_marmoratus
ENSNFUP00015048129	ENSNFUG00015021481	nothobranchius_furzeri
ENSNBRP00000014388	ENSNBRG00000010956	neolamprologus_brichardi
ENSNBRP00000014111	ENSNBRG00000010699	neolamprologus_brichardi
ENSHBUP00000011479	ENSHBUG00000013185	haplochromis_burtoni
ENSMZEP00005001398	ENSMZEG00005001146	maylandia_zebra
ENSACLP00000003834	ENSACLG00000002529	astatotilapia_calliptera
ENSPNYP00000004720	ENSPNYG00000003628	pundamilia_nyererei
ENSONIP00000000822	ENSONIG00000000648	oreochromis_niloticus
ENSOABP00000044488	ENSOABG00000019973	oreochromis_aureus
ENSACIP00000016020	ENSACIG00000012424	amphilophus_citrinellus
ENSSAUP00010049395	ENSSAUG00010019558	sparus_aurata
ENSDLAP00005049532	ENSDLAG00005021187	dicentrarchus_labrax
ENSLCRP00005015422	ENSLCRG00005005574	larimichthys_crocea
ENSSLUP00000047362	ENSSLUG00000020437	sander_lucioperca
ENSCGOP00000038020	ENSCGOG00000017452	cottoperca_gobio
ENSCGOP00000038012	ENSCGOG00000017424	cottoperca_gobio
ENSMMOP00000017671	ENSMMOG00000013420	mola_mola
ENSMMDP00005039246	ENSMMDG00005018171	myripristis_murdjan
ENSSFAP00005048209	ENSSFAG00005023425	salarias_fasciatus
ENSGWIP00000008062	ENSGWIG00000001708	gouania_willdenowi
ENSOMEP00000014056	ENSOMEG00000015580	oryzias_melastigma
ENSOJAP00000016569	ENSOJAG00000007955	oryzias_javanicus
ENSORLP00015004771	ENSORLG00015005536	oryzias_latipes_hsok
ENSORLP00000021392	ENSORLG00000017097	oryzias_latipes
ENSOSIP00000029989	ENSOSIG00000015447	oryzias_sinensis
ENSGACP00000005936	ENSGACG00000004496	gasterosteus_aculeatus
ENSCLMP00005037414	ENSCLMG00005017741	cyclopterus_lumpus
ENSBSLP00000003734	ENSBSLG00000001834	betta_splendens
ENSHCOP00000017865	ENSHCOG00000001981	hippocampus_comes
ENSGMOP00000003248	ENSGMOG00000003073	gadus_morhua
ENSHHUP00000070994	ENSHHUG00000041729	hucho_hucho
ENSHHUP00000021957	ENSHHUG00000013751	hucho_hucho
ENSHHUP00000021972	ENSHHUG00000013765	hucho_hucho
ENSHHUP00000021945	ENSHHUG00000013744	hucho_hucho
ENSSSAP00000100691	ENSSSAG00000074141	salmo_salar
ENSSTUP00000116359	ENSSTUG00000051147	salmo_trutta
ENSOKIP00005070309	ENSOKIG00005029863	oncorhynchus_kisutch
ENSOTSP00005059351	ENSOTSG00005028082	oncorhynchus_tshawytscha
ENSOMYP00000059122	ENSOMYG00000024862	oncorhynchus_mykiss
ENSBTAP00000044677	ENSBTAG00000014467	bos_taurus
ENSELUP00000062349	ENSELUG00000010203	esox_lucius
ENSOMYP00000081241	ENSOMYG00000037539	oncorhynchus_mykiss
ENSOKIP00005104127	ENSOKIG00005045453	oncorhynchus_kisutch
ENSOTSP00005055205	ENSOTSG00005025532	oncorhynchus_tshawytscha
ENSSTUP00000034409	ENSSTUG00000014210	salmo_trutta
ENSSSAP00000119999	ENSSSAG00000081302	salmo_salar
ENSHHUP00000016977	ENSHHUG00000010143	hucho_hucho
ENSPKIP00000029143	ENSPKIG00000010481	paramormyrops_kingsleyae
ENSSFOP00015053766	ENSSFOG00015027254	scleropages_formosus
ENSSFOP00015065307	ENSSFOG00015028207	scleropages_formosus
ENSPKIP00000030410	ENSPKIG00000011256	paramormyrops_kingsleyae
ENSHHUP00000073855	ENSHHUG00000043149	hucho_hucho
ENSOKIP00005091574	ENSOKIG00005039668	oncorhynchus_kisutch
ENSOTSP00005093995	ENSOTSG00005042382	oncorhynchus_tshawytscha
ENSOMYP00000047836	ENSOMYG00000018728	oncorhynchus_mykiss
ENSSSAP00000079850	ENSSSAG00000063990	salmo_salar
ENSSTUP00000064329	ENSSTUG00000027890	salmo_trutta
ENSOMYP00000035210	ENSOMYG00000016350	oncorhynchus_mykiss
ENSOKIP00005036549	ENSOKIG00005015393	oncorhynchus_kisutch
ENSOTSP00005088772	ENSOTSG00005041329	oncorhynchus_tshawytscha
ENSOTSP00005075586	ENSOTSG00005034721	oncorhynchus_tshawytscha
ENSHHUP00000041582	ENSHHUG00000025511	hucho_hucho
ENSSSAP00000103252	ENSSSAG00000073864	salmo_salar
ENSSTUP00000049470	ENSSTUG00000020482	salmo_trutta
ENSELUP00000059618	ENSELUG00000003213	esox_lucius
ENSNMLP00000019741	ENSNMLG00000012789	neogobius_melanostomus
ENSPMGP00000005286	ENSPMGG00000004441	periophthalmus_magnuspinnatus
ENSTNIP00000009289	ENSTNIG00000006519	tetraodon_nigroviridis
ENSTRUP00000014239	ENSTRUG00000005841	takifugu_rubripes
ENSLBEP00000018359	ENSLBEG00000013099	labrus_bergylta
ENSSPAP00000010471	ENSSPAG00000007821	stegastes_partitus
ENSSPAP00000010233	ENSSPAG00000007645	stegastes_partitus
ENSXMAP00000009022	ENSXMAG00000008989	xiphophorus_maculatus
ENSXCOP00000022370	ENSXCOG00000016706	xiphophorus_couchianus
ENSGAFP00000005439	ENSGAFG00000003721	gambusia_affinis
ENSGAFP00000018852	ENSGAFG00000012728	gambusia_affinis
ENSPREP00000003363	ENSPREG00000002411	poecilia_reticulata
ENSPLAP00000005450	ENSPLAG00000007367	poecilia_latipinna
ENSPMEP00000006148	ENSPMEG00000007662	poecilia_mexicana
ENSPFOP00000004002	ENSPFOG00000003909	poecilia_formosa
ENSFHEP00000025640	ENSFHEG00000008015	fundulus_heteroclitus
ENSCVAP00000031888	ENSCVAG00000022311	cyprinodon_variegatus
ENSSFAP00005005855	ENSSFAG00005003608	salarias_fasciatus
ENSCGOP00000007349	ENSCGOG00000003371	cottoperca_gobio
ENSSLUP00000054910	ENSSLUG00000023676	sander_lucioperca
ENSGACP00000016833	ENSGACG00000012702	gasterosteus_aculeatus
ENSDLAP00005034716	ENSDLAG00005013664	dicentrarchus_labrax
ENSMMOP00000022970	ENSMMOG00000017466	mola_mola
ENSLCRP00005059939	ENSLCRG00005022141	larimichthys_crocea
ENSSAUP00010023918	ENSSAUG00010009411	sparus_aurata
ENSSMAP00000005727	ENSSMAG00000003543	scophthalmus_maximus
ENSSLDP00000030119	ENSSLDG00000023221	seriola_lalandi_dorsalis
ENSSDUP00000027106	ENSSDUG00000019224	seriola_dumerili
ENSLCAP00010015939	ENSLCAG00010007512	lates_calcarifer
ENSATEP00000000668	ENSATEG00000000441	anabas_testudineus
ENSORLP00020001881	ENSORLG00020002624	oryzias_latipes_hni
ENSORLP00015031813	ENSORLG00015016289	oryzias_latipes_hsok
ENSORLP00000024698	ENSORLG00000019878	oryzias_latipes
ENSOSIP00000031684	ENSOSIG00000016189	oryzias_sinensis
ENSOSIP00000031692	ENSOSIG00000016192	oryzias_sinensis
ENSOMEP00000025561	ENSOMEG00000006831	oryzias_melastigma
ENSOMEP00000014358	ENSOMEG00000015846	oryzias_melastigma
ENSOJAP00000022171	ENSOJAG00000010537	oryzias_javanicus
ENSSORP00005020474	ENSSORG00005009964	sphaeramia_orbicularis
ENSAPOP00000013971	ENSAPOG00000016800	acanthochromis_polyacanthus
ENSAPEP00000018508	ENSAPEG00000011903	amphiprion_percula
ENSAOCP00000020210	ENSAOCG00000004136	amphiprion_ocellaris
ENSPRNP00000002214	ENSPRNG00000001321	parambassis_ranga
ENSACIP00000017381	ENSACIG00000013529	amphilophus_citrinellus
ENSOABP00000008469	ENSOABG00000004579	oreochromis_aureus
ENSONIP00000030715	ENSONIG00000016953	oreochromis_niloticus
ENSNBRP00000029642	ENSNBRG00000022081	neolamprologus_brichardi
ENSACLP00000005929	ENSACLG00000003642	astatotilapia_calliptera
ENSMZEP00005024524	ENSMZEG00005007692	maylandia_zebra
ENSHBUP00000011609	ENSHBUG00000013263	haplochromis_burtoni
ENSPNYP00000031954	ENSPNYG00000024114	pundamilia_nyererei
ENSKMAP00000026274	ENSKMAG00000019477	kryptolebias_marmoratus
ENSACIP00000017411	ENSACIG00000013583	amphilophus_citrinellus
ENSCSEP00000007289	ENSCSEG00000004708	cynoglossus_semilaevis
ENSBSLP00000050872	ENSBSLG00000024110	betta_splendens
ENSGMOP00000009630	ENSGMOG00000009014	gadus_morhua
ENSDCDP00000009932	ENSDCDG00000004922	denticeps_clupeoides
ENSCHAP00000028169	ENSCHAG00000012864	clupea_harengus
ENSEEEP00000017265	ENSEEEG00000008532	electrophorus_electricus
ENSIPUP00000030479	ENSIPUG00000020588	ictalurus_punctatus
ENSAMXP00000048629	ENSAMXG00000030383	astyanax_mexicanus
ENSAMXP00005025592	ENSAMXG00005012635	astyanax_mexicanus_pachon
ENSPNAP00000031584	ENSPNAG00000019056	pygocentrus_nattereri
ENSDARP00000112928	ENSDARG00000037373	danio_rerio
ENSCCRP00000084758	ENSCCRG00000045891	cyprinus_carpio
ENSSANP00000042043	ENSSANG00000021311	sinocyclocheilus_anshuiensis
ENSSRHP00000077912	ENSSRHG00000038642	sinocyclocheilus_rhinocerous
ENSSGRP00000020458	ENSSGRG00000012331	sinocyclocheilus_grahami
ENSCCRP00000021063	ENSCCRG00000011561	cyprinus_carpio
ENSCCRP00020096071	ENSCCRG00020043925	cyprinus_carpio_hebaored
ENSCCRP00010002102	ENSCCRG00010000779	cyprinus_carpio_germanmirror
ENSCCRP00015031069	ENSCCRG00015012272	cyprinus_carpio_huanghe
ENSCARP00000128602	ENSCARG00000066098	carassius_auratus
ENSSRHP00000057870	ENSSRHG00000029019	sinocyclocheilus_rhinocerous
ENSSGRP00000027309	ENSSGRG00000014931	sinocyclocheilus_grahami
ENSSRHP00000038488	ENSSRHG00000019635	sinocyclocheilus_rhinocerous
ENSSANP00000048460	ENSSANG00000024054	sinocyclocheilus_anshuiensis
ENSCARP00000068056	ENSCARG00000029761	carassius_auratus
ENSCCRP00020043505	ENSCCRG00020018073	cyprinus_carpio_hebaored
ENSCCRP00010053037	ENSCCRG00010019542	cyprinus_carpio_germanmirror
ENSCCRP00015118053	ENSCCRG00015045951	cyprinus_carpio_huanghe
ENSCCRP00000034922	ENSCCRG00000018697	cyprinus_carpio
ENSECRP00000015893	ENSECRG00000010579	erpetoichthys_calabaricus
ENSLOCP00000004017	ENSLOCG00000003331	lepisosteus_oculatus
ENSCMIP00000016349	ENSCMIG00000007877	callorhinchus_milii
