ENSECRP00000030690	ENSECRG00000020786	erpetoichthys_calabaricus
ENSGMOP00000004811	ENSGMOG00000004498	gadus_morhua
ENSMMDP00005020996	ENSMMDG00005010302	myripristis_murdjan
ENSSORP00005012221	ENSSORG00005006448	sphaeramia_orbicularis
ENSNMLP00000022972	ENSNMLG00000014808	neogobius_melanostomus
ENSPMGP00000012221	ENSPMGG00000010089	periophthalmus_magnuspinnatus
ENSSLUP00000044832	ENSSLUG00000019686	sander_lucioperca
ENSCLMP00005045672	ENSCLMG00005021054	cyclopterus_lumpus
ENSGACP00000016053	ENSGACG00000012129	gasterosteus_aculeatus
ENSCGOP00000023087	ENSCGOG00000011007	cottoperca_gobio
ENSLBEP00000036316	ENSLBEG00000027181	labrus_bergylta
ENSDLAP00005011708	ENSDLAG00005005952	dicentrarchus_labrax
ENSMMOP00000009023	ENSMMOG00000006965	mola_mola
ENSLCRP00005017898	ENSLCRG00005007354	larimichthys_crocea
ENSSAUP00010049385	ENSSAUG00010020620	sparus_aurata
ENSLCAP00010029404	ENSLCAG00010013808	lates_calcarifer
ENSENLP00000036795	ENSENLG00000015890	echeneis_naucrates
ENSSLDP00000033299	ENSSLDG00000025487	seriola_lalandi_dorsalis
ENSSDUP00000010462	ENSSDUG00000007658	seriola_dumerili
ENSCSEP00000019541	ENSCSEG00000012498	cynoglossus_semilaevis
ENSSMAP00000022683	ENSSMAG00000013843	scophthalmus_maximus
ENSMAMP00000035073	ENSMAMG00000023550	mastacembelus_armatus
ENSMALP00000009270	ENSMALG00000006566	monopterus_albus
ENSBSLP00000021577	ENSBSLG00000010844	betta_splendens
ENSATEP00000035837	ENSATEG00000024628	anabas_testudineus
ENSPRNP00000033816	ENSPRNG00000017010	parambassis_ranga
ENSAPOP00000005096	ENSAPOG00000006743	acanthochromis_polyacanthus
ENSAPEP00000013637	ENSAPEG00000009731	amphiprion_percula
ENSAOCP00000015327	ENSAOCG00000020072	amphiprion_ocellaris
ENSSPAP00000019150	ENSSPAG00000014448	stegastes_partitus
ENSSFAP00005006626	ENSSFAG00005003999	salarias_fasciatus
ENSGWIP00000014196	ENSGWIG00000007720	gouania_willdenowi
ENSKMAP00000027683	ENSKMAG00000020526	kryptolebias_marmoratus
ENSNFUP00015026337	ENSNFUG00015012769	nothobranchius_furzeri
ENSCVAP00000011774	ENSCVAG00000014069	cyprinodon_variegatus
ENSFHEP00000001931	ENSFHEG00000002683	fundulus_heteroclitus
ENSXCOP00000011520	ENSXCOG00000008696	xiphophorus_couchianus
ENSXMAP00000014699	ENSXMAG00000014669	xiphophorus_maculatus
ENSGAFP00000029854	ENSGAFG00000020124	gambusia_affinis
ENSPREP00000007557	ENSPREG00000005186	poecilia_reticulata
ENSPLAP00000028693	ENSPLAG00000018330	poecilia_latipinna
ENSPMEP00000019573	ENSPMEG00000022580	poecilia_mexicana
ENSPMEP00000016268	ENSPMEG00000018908	poecilia_mexicana
ENSPFOP00000011639	ENSPFOG00000011594	poecilia_formosa
ENSPFOP00000011430	ENSPFOG00000011359	poecilia_formosa
ENSPLAP00000026117	ENSPLAG00000013643	poecilia_latipinna
ENSOMEP00000011898	ENSOMEG00000013236	oryzias_melastigma
ENSORLP00015005748	ENSORLG00015006529	oryzias_latipes_hsok
ENSOSIP00000014255	ENSOSIG00000007992	oryzias_sinensis
ENSORLP00000012004	ENSORLG00000009573	oryzias_latipes
ENSORLP00020031874	ENSORLG00020017145	oryzias_latipes_hni
ENSONIP00000002841	ENSONIG00000002277	oreochromis_niloticus
ENSOABP00000050563	ENSOABG00000022554	oreochromis_aureus
ENSNBRP00000005932	ENSNBRG00000004644	neolamprologus_brichardi
ENSHBUP00000009986	ENSHBUG00000011512	haplochromis_burtoni
ENSPNYP00000021947	ENSPNYG00000016574	pundamilia_nyererei
ENSACLP00000041552	ENSACLG00000027968	astatotilapia_calliptera
ENSMZEP00005017474	ENSMZEG00005013144	maylandia_zebra
ENSACIP00000008680	ENSACIG00000006736	amphilophus_citrinellus
ENSHCOP00000021790	ENSHCOG00000008888	hippocampus_comes
ENSTNIP00000014910	ENSTNIG00000011950	tetraodon_nigroviridis
ENSTRUP00000025369	ENSTRUG00000010085	takifugu_rubripes
ENSPKIP00000017664	ENSPKIG00000003468	paramormyrops_kingsleyae
ENSSFOP00015034348	ENSSFOG00015021880	scleropages_formosus
ENSLLEP00000031136	ENSLLEG00000019613	leptobrachium_leishanense
ENSXETP00000051846	ENSXETG00000024039	xenopus_tropicalis
ENSPMRP00000035083	ENSPMRG00000022711	podarcis_muralis
ENSSMRP00000025992	ENSSMRG00000020076	salvator_merianae
ENSVKKP00000011297	ENSVKKG00000007881	varanus_komodoensis
ENSACAP00000012118	ENSACAG00000012302	anolis_carolinensis
ENSPVIP00000006802	ENSPVIG00000005604	pogona_vitticeps
ENSLLTP00000012266	ENSLLTG00000009402	laticauda_laticaudata
ENSNSUP00000028118	ENSNSUG00000020047	notechis_scutatus
ENSNNAP00000023628	ENSNNAG00000015557	naja_naja
ENSGEVP00005010326	ENSGEVG00005007310	gopherus_evgoodei
ENSGAGP00000020794	ENSGAGG00000015228	gopherus_agassizii
ENSCABP00000004870	ENSCABG00000003667	chelonoidis_abingdonii
ENSCPBP00000028286	ENSCPBG00000019995	chrysemys_picta_bellii
ENSTMTP00000023699	ENSTMTG00000017283	terrapene_carolina_triunguis
ENSCSRP00000021477	ENSCSRG00000016123	chelydra_serpentina
ENSPSIP00000016827	ENSPSIG00000014987	pelodiscus_sinensis
ENSPCEP00000001219	ENSPCEG00000001023	pelusios_castaneus
ENSSCUP00000020744	ENSSCUG00000015228	struthio_camelus_australis
ENSDNVP00000013341	ENSDNVG00000009424	dromaius_novaehollandiae
ENSARWP00000000032	ENSARWG00000000056	apteryx_rowi
ENSAOWP00000000212	ENSAOWG00000000120	apteryx_owenii
ENSAHAP00000017516	ENSAHAG00000012421	apteryx_haastii
ENSNPEP00000005712	ENSNPEG00000004315	nothoprocta_perdicaria
ENSFTIP00000025106	ENSFTIG00000015992	falco_tinnunculus
ENSOSUP00000019783	ENSOSUG00000013890	otus_sunia
ENSBOBP00000017791	ENSBOBG00000011025	bubo_bubo
ENSSOCP00000008266	ENSSOCG00000005041	strix_occidentalis_caurina
ENSACUP00000020734	ENSACUG00000013841	athene_cunicularia
ENSANIP00000006465	ENSANIG00000004379	accipiter_nisus
ENSACCP00020023143	ENSACCG00020015896	aquila_chrysaetos_chrysaetos
ENSCPUP00000023036	ENSCPUG00000015618	calidris_pugnax
ENSCPGP00000025282	ENSCPGG00000017432	calidris_pygmaea
ENSMVIP00005004537	ENSMVIG00005003442	manacus_vitellinus
ENSLCOP00000002905	ENSLCOG00000002166	lepidothrix_coronata
ENSCPVP00000002619	ENSCPVG00000001940	camarhynchus_parvulus
ENSGFOP00000000081	ENSGFOG00000000075	geospiza_fortis
ENSZALP00000002837	ENSZALG00000002956	zonotrichia_albicollis
ENSJHYP00000007599	ENSJHYG00000006055	junco_hyemalis
ENSSCAP00000013786	ENSSCAG00000010161	serinus_canaria
ENSLSDP00000005708	ENSLSDG00000004419	lonchura_striata_domestica
ENSTGUP00000008989	ENSTGUG00000008720	taeniopygia_guttata
ENSEGOP00005008643	ENSEGOG00005006708	erythrura_gouldiae
ENSCRFP00000013240	ENSCRFG00000010245	stachyris_ruficeps
ENSZLMP00000010790	ENSZLMG00000007512	zosterops_lateralis_melanops
ENSCUSP00005025905	ENSCUSG00005016090	catharus_ustulatus
ENSFALP00000014578	ENSFALG00000013970	ficedula_albicollis
ENSPMJP00000023337	ENSPMJG00000017238	parus_major
ENSCCEP00000025394	ENSCCEG00000022402	cyanistes_caeruleus
ENSCMUP00000012953	ENSCMUG00000008146	corvus_moneduloides
ENSACOP00000000318	ENSACOG00000000230	amazona_collaria
ENSSHBP00005005676	ENSSHBG00005004964	strigops_habroptila
ENSMUNP00000008271	ENSMUNG00000006601	melopsittacus_undulatus
ENSNMEP00000008349	ENSNMEG00000008153	numida_meleagris
ENSCJPP00005016536	ENSCJPG00005013572	coturnix_japonica
ENSPSTP00000001112	ENSPSTG00000000891	pavo_cristatus
ENSMGAP00000000995	ENSMGAG00000001523	meleagris_gallopavo
ENSCPIP00010004966	ENSCPIG00010003838	chrysolophus_pictus
ENSPCLP00000021957	ENSPCLG00000019308	phasianus_colchicus
ENSABRP00000012956	ENSABRG00000011547	anser_brachyrhynchus
ENSACDP00005011592	ENSACDG00005008436	anser_cygnoides
ENSAZOP00000005784	ENSAZOG00000003720	anas_zonorhyncha
ENSAPLP00000005000	ENSAPLG00000005439	anas_platyrhynchos_platyrhynchos
ENSAPLP00020005469	ENSAPLG00020003990	anas_platyrhynchos
ENSCMMP00000026656	ENSCMMG00000016392	cairina_moschata_domestica
ENSCPRP00005007045	ENSCPRG00005005004	crocodylus_porosus
ENSSPUP00000000178	ENSSPUG00000000162	sphenodon_punctatus
ENSDNOP00000030100	ENSDNOG00000036745	dasypus_novemcinctus
ENSCHOP00000009041	ENSCHOG00000010207	choloepus_hoffmanni
ENSDORP00000003675	ENSDORG00000003934	dipodomys_ordii
ENSCCNP00000003747	ENSCCNG00000003970	castor_canadensis
ENSJJAP00000009370	ENSJJAG00000013256	jaculus_jaculus
ENSPEMP00000002248	ENSPEMG00000002227	peromyscus_maniculatus_bairdii
ENSMOCP00000022487	ENSMOCG00000019505	microtus_ochrogaster
ENSCGRP00000020025	ENSCGRG00000014585	cricetulus_griseus_crigri
ENSCGRP00015019315	ENSCGRG00015014812	cricetulus_griseus_picr
ENSCGRP00001004512	ENSCGRG00001005742	cricetulus_griseus_chok1gshd
ENSMAUP00000014672	ENSMAUG00000014353	mesocricetus_auratus
ENSRNOP00000050872	ENSRNOG00000025155	rattus_norvegicus
ENSMUSP00000048238	ENSMUSG00000038970	mus_musculus
ENSMSIP00000035142	ENSMSIG00000029281	mus_spicilegus
MGP_SPRETEiJ_P0074881	MGP_SPRETEiJ_G0028998	mus_spretus
MGP_CAROLIEiJ_P0072065	MGP_CAROLIEiJ_G0027995	mus_caroli
MGP_PahariEiJ_P0060278	MGP_PahariEiJ_G0024566	mus_pahari
ENSMUGP00000021416	ENSMUGG00000018015	meriones_unguiculatus
ENSNGAP00000009293	ENSNGAG00000012019	nannospalax_galili
ENSSVLP00005026265	ENSSVLG00005020820	sciurus_vulgaris
ENSMMMP00000007061	ENSMMMG00000006321	marmota_marmota_marmota
ENSSTOP00000025920	ENSSTOG00000009706	ictidomys_tridecemlineatus
ENSSDAP00000021322	ENSSDAG00000019386	spermophilus_dauricus
ENSUPAP00010008479	ENSUPAG00010006825	urocitellus_parryii
ENSODEP00000016612	ENSODEG00000012233	octodon_degus
ENSCLAP00000008278	ENSCLAG00000005806	chinchilla_lanigera
ENSCAPP00000006820	ENSCAPG00000008895	cavia_aperea
ENSCPOP00000027194	ENSCPOG00000009408	cavia_porcellus
ENSHGLP00100006129	ENSHGLG00100004616	heterocephalus_glaber_male
ENSHGLP00000019202	ENSHGLG00000013780	heterocephalus_glaber_female
ENSFDAP00000020620	ENSFDAG00000008303	fukomys_damarensis
ENSTBEP00000014242	ENSTBEG00000016375	tupaia_belangeri
ENSMICP00000002608	ENSMICG00000002866	microcebus_murinus
ENSPCOP00000025696	ENSPCOG00000025104	propithecus_coquereli
ENSPSMP00000004257	ENSPSMG00000003391	prolemur_simus
ENSOGAP00000009028	ENSOGAG00000010100	otolemur_garnettii
ENSTSYP00000004063	ENSTSYG00000004417	carlito_syrichta
ENSCSAP00000013769	ENSCSAG00000017746	chlorocebus_sabaeus
ENSMNEP00000029386	ENSMNEG00000038154	macaca_nemestrina
ENSMMUP00000020303	ENSMMUG00000015477	macaca_mulatta
ENSMFAP00000036048	ENSMFAG00000034382	macaca_fascicularis
ENSTGEP00000017327	ENSTGEG00000014004	theropithecus_gelada
ENSPANP00000037203	ENSPANG00000023289	papio_anubis
ENSMLEP00000018128	ENSMLEG00000033242	mandrillus_leucophaeus
ENSCATP00000027528	ENSCATG00000037130	cercocebus_atys
ENSPTEP00000019594	ENSPTEG00000020899	piliocolobus_tephrosceles
ENSCANP00000020926	ENSCANG00000033885	colobus_angolensis_palliatus
ENSRBIP00000018360	ENSRBIG00000033161	rhinopithecus_bieti
ENSRROP00000031722	ENSRROG00000039527	rhinopithecus_roxellana
ENSNLEP00000040952	ENSNLEG00000010627	nomascus_leucogenys
ENSPPAP00000019136	ENSPPAG00000032735	pan_paniscus
ENSPTRP00000067938	ENSPTRG00000019433	pan_troglodytes
ENSPTRP00000093430	ENSPTRG00000046742	pan_troglodytes
ENSP00000297293	ENSG00000164715	homo_sapiens
ENSGGOP00000031183	ENSGGOG00000003052	gorilla_gorilla
ENSPPYP00000019451	ENSPPYG00000017360	pongo_abelii
ENSANAP00000025021	ENSANAG00000030215	aotus_nancymaae
ENSCJAP00000052939	ENSCJAG00000015240	callithrix_jacchus
ENSSBOP00000038040	ENSSBOG00000035095	saimiri_boliviensis_boliviensis
ENSCCAP00000008527	ENSCCAG00000021992	cebus_capucinus
ENSEASP00005000957	ENSEASG00005000819	equus_asinus_asinus
ENSECAP00000017235	ENSECAG00000019598	equus_caballus
ENSNVIP00000008088	ENSNVIG00000006430	neovison_vison
ENSMPUP00000016464	ENSMPUG00000016567	mustela_putorius_furo
ENSAMEP00000009423	ENSAMEG00000008945	ailuropoda_melanoleuca
ENSUTTP00000018616	ENSUTTG00000011742	ursus_thibetanus_thibetanus
ENSUMAP00000012114	ENSUMAG00000009057	ursus_maritimus
ENSUAMP00000024078	ENSUAMG00000018833	ursus_americanus
ENSZCAP00015014378	ENSZCAG00015009177	zalophus_californianus
ENSVVUP00000020552	ENSVVUG00000015127	vulpes_vulpes
ENSCAFP00000043633	ENSCAFG00000015432	canis_lupus_familiaris
ENSCAFP00030031015	ENSCAFG00030019207	canis_lupus_familiarisbasenji
ENSCAFP00040020135	ENSCAFG00040012509	canis_lupus_familiarisgreatdane
ENSCAFP00020021363	ENSCAFG00020016884	canis_lupus_dingo
ENSFCAP00000016564	ENSFCAG00000030546	felis_catus
ENSLCNP00005028768	ENSLCNG00005018742	lynx_canadensis
ENSPTIP00000006077	ENSPTIG00000008096	panthera_tigris_altaica
ENSPLOP00000016929	ENSPLOG00000012296	panthera_leo
ENSPPRP00000006130	ENSPPRG00000001646	panthera_pardus
ENSSSUP00005027748	ENSSSUG00005017942	suricata_suricatta
ENSEEUP00000003212	ENSEEUG00000003499	erinaceus_europaeus
ENSSARP00000004759	ENSSARG00000005223	sorex_araneus
ENSOCUP00000014854	ENSOCUG00000017282	oryctolagus_cuniculus
ENSOPRP00000004586	ENSOPRG00000004969	ochotona_princeps
ENSETEP00000007183	ENSETEG00000008837	echinops_telfairi
ENSCHYP00000026248	ENSCHYG00000017591	cervus_hanglu_yarkandensis
ENSBGRP00000040419	ENSBGRG00000025270	bos_grunniens
ENSBMUP00000019220	ENSBMUG00000014553	bos_mutus
ENSBIXP00005010943	ENSBIXG00005002294	bos_indicus_hybrid
ENSBIXP00000008804	ENSBIXG00000014554	bos_taurus_hybrid
ENSBTAP00000061323	ENSBTAG00000004135	bos_taurus
ENSBBBP00000000968	ENSBBBG00000010132	bison_bison_bison
ENSCHIP00000028497	ENSCHIG00000023995	capra_hircus
ENSCHIP00010020949	ENSCHIG00010015394	capra_hircus_blackbengal
ENSOARP00000000900	ENSOARG00000000869	ovis_aries
ENSMMSP00000020403	ENSMMSG00000015302	moschus_moschiferus
ENSBMSP00010021959	ENSBMSG00010015958	balaenoptera_musculus
ENSDLEP00000028566	ENSDLEG00000020452	delphinapterus_leucas
ENSMMNP00015004977	ENSMMNG00015003763	monodon_monoceros
ENSPSNP00000017334	ENSPSNG00000012631	phocoena_sinus
ENSTTRP00000014874	ENSTTRG00000015697	tursiops_truncatus
ENSPCTP00005020701	ENSPCTG00005014425	physeter_catodon
ENSSSCP00000008120	ENSSSCG00000007599	sus_scrofa
ENSCWAP00000013761	ENSCWAG00000010619	catagonus_wagneri
ENSVPAP00000010331	ENSVPAG00000011092	vicugna_pacos
ENSCDRP00005019967	ENSCDRG00005013925	camelus_dromedarius
ENSMLUP00000008625	ENSMLUG00000009437	myotis_lucifugus
ENSRFEP00010012907	ENSRFEG00010008774	rhinolophus_ferrumequinum
ENSPVAP00000012170	ENSPVAG00000012904	pteropus_vampyrus
ENSPCAP00000003341	ENSPCAG00000003527	procavia_capensis
ENSLAFP00000000112	ENSLAFG00000000137	loxodonta_africana
ENSMODP00000010284	ENSMODG00000008276	monodelphis_domestica
ENSSHAP00000018058	ENSSHAG00000015332	sarcophilus_harrisii
ENSPCIP00000041440	ENSPCIG00000030286	phascolarctos_cinereus
ENSVURP00010022978	ENSVURG00010017613	vombatus_ursinus
ENSVURP00010025691	ENSVURG00010019676	vombatus_ursinus
ENSOANP00000003083	ENSOANG00000001939	ornithorhynchus_anatinus
ENSLACP00000015898	ENSLACG00000013999	latimeria_chalumnae
ENSEGOP00005016353	ENSEGOG00005013177	erythrura_gouldiae
ENSCMIP00000012206	ENSCMIG00000006246	callorhinchus_milii
