ENSOANP00000039140	ENSOANG00000029096	ornithorhynchus_anatinus
ENSPTEP00000037114	ENSPTEG00000034575	piliocolobus_tephrosceles
ENSRBIP00000014788	ENSRBIG00000028118	rhinopithecus_bieti
ENSCJAP00000065661	ENSCJAG00000001438	callithrix_jacchus
ENSTGEP00000003941	ENSTGEG00000003321	theropithecus_gelada
ENSTSYP00000009556	ENSTSYG00000010400	carlito_syrichta
ENSRNOP00000059005	ENSRNOG00000016374	rattus_norvegicus
ENSMSIP00000009155	ENSMSIG00000007996	mus_spicilegus
ENSCGRP00000008019	ENSCGRG00000005851	cricetulus_griseus_crigri
ENSMAUP00000011804	ENSMAUG00000012248	mesocricetus_auratus
ENSMOCP00000020207	ENSMOCG00000017948	microtus_ochrogaster
ENSSVLP00005002930	ENSSVLG00005002254	sciurus_vulgaris
ENSOPRP00000002093	ENSOPRG00000002252	ochotona_princeps
ENSSHAP00000007156	ENSSHAG00000006217	sarcophilus_harrisii
ENSPCIP00000004895	ENSPCIG00000004047	phascolarctos_cinereus
ENSVURP00010023022	ENSVURG00010017618	vombatus_ursinus
ENSMEUP00000005969	ENSMEUG00000006530	notamacropus_eugenii
ENSSPUP00000020577	ENSSPUG00000015804	sphenodon_punctatus
ENSSPUP00000020566	ENSSPUG00000015788	sphenodon_punctatus
ENSVKKP00000008160	ENSVKKG00000005811	varanus_komodoensis
ENSNNAP00000007942	ENSNNAG00000005354	naja_naja
ENSPTXP00000017271	ENSPTXG00000011890	pseudonaja_textilis
ENSNSUP00000001188	ENSNSUG00000001069	notechis_scutatus
ENSLLTP00000017423	ENSLLTG00000013229	laticauda_laticaudata
ENSACAP00000022870	ENSACAG00000017206	anolis_carolinensis
ENSPMRP00000009556	ENSPMRG00000006399	podarcis_muralis
ENSPVIP00000018359	ENSPVIG00000014036	pogona_vitticeps
ENSSMRP00000006670	ENSSMRG00000005415	salvator_merianae
ENSPCEP00000019292	ENSPCEG00000015012	pelusios_castaneus
ENSMUNP00000007554	ENSMUNG00000006040	melopsittacus_undulatus
ENSCCEP00000020009	ENSCCEG00000018140	cyanistes_caeruleus
ENSPMJP00000006809	ENSPMJG00000005686	parus_major
ENSSCAP00000019112	ENSSCAG00000013802	serinus_canaria
ENSTGUP00000026145	ENSTGUG00000011228	taeniopygia_guttata
ENSEGOP00005004995	ENSEGOG00005003903	erythrura_gouldiae
ENSGFOP00000020600	ENSGFOG00000013752	geospiza_fortis
ENSCPVP00000014798	ENSCPVG00000010835	camarhynchus_parvulus
ENSJHYP00000013554	ENSJHYG00000010501	junco_hyemalis
ENSCMUP00000025279	ENSCMUG00000015413	corvus_moneduloides
ENSMCSP00000017664	ENSMCSG00000012314	malurus_cyaneus_samueli
ENSFALP00000002235	ENSFALG00000002152	ficedula_albicollis
ENSCRFP00000018326	ENSCRFG00000007373	stachyris_ruficeps
ENSFTIP00000016963	ENSFTIG00000011253	falco_tinnunculus
ENSACUP00000016222	ENSACUG00000010876	athene_cunicularia
ENSSOCP00000005164	ENSSOCG00000003822	strix_occidentalis_caurina
ENSANIP00000010537	ENSANIG00000007099	accipiter_nisus
ENSCPUP00000028963	ENSCPUG00000019470	calidris_pugnax
ENSCJPP00005025709	ENSCJPG00005020154	coturnix_japonica
ENSGALP00000045192	ENSGALG00000009495	gallus_gallus
ENSNMEP00000014216	ENSNMEG00000012792	numida_meleagris
ENSACDP00005003402	ENSACDG00005002438	anser_cygnoides
ENSCMMP00000013687	ENSCMMG00000008729	cairina_moschata_domestica
ENSAPLP00000030490	ENSAPLG00000011952	anas_platyrhynchos_platyrhynchos
ENSAPLP00020026299	ENSAPLG00020017959	anas_platyrhynchos
ENSNPEP00000020021	ENSNPEG00000014891	nothoprocta_perdicaria
ENSARWP00000000163	ENSARWG00000000018	apteryx_rowi
ENSAHAP00000020459	ENSAHAG00000014367	apteryx_haastii
ENSAOWP00000008820	ENSAOWG00000006019	apteryx_owenii
ENSSCUP00000020526	ENSSCUG00000015080	struthio_camelus_australis
ENSDNVP00000010330	ENSDNVG00000007282	dromaius_novaehollandiae
ENSLSDP00000025566	ENSLSDG00000017877	lonchura_striata_domestica
ENSZALP00000015580	ENSZALG00000012754	zonotrichia_albicollis
ENSCUSP00005009789	ENSCUSG00005006252	catharus_ustulatus
ENSLCOP00000013895	ENSLCOG00000010022	lepidothrix_coronata
ENSMVIP00005022171	ENSMVIG00005015564	manacus_vitellinus
ENSZLMP00000018471	ENSZLMG00000012782	zosterops_lateralis_melanops
ENSACOP00000008934	ENSACOG00000006189	amazona_collaria
ENSSHBP00005004011	ENSSHBG00005003568	strigops_habroptila
ENSCPGP00000015583	ENSCPGG00000010980	calidris_pygmaea
ENSBJAP00000014355	ENSBJAG00000000947	buteo_japonicus
ENSACCP00020010435	ENSACCG00020007148	aquila_chrysaetos_chrysaetos
ENSOSUP00000004634	ENSOSUG00000003414	otus_sunia
ENSBOBP00000023122	ENSBOBG00000012535	bubo_bubo
ENSPSTP00000012659	ENSPSTG00000008932	pavo_cristatus
ENSCPIP00010002056	ENSCPIG00010001558	chrysolophus_pictus
ENSPCLP00000010543	ENSPCLG00000008700	phasianus_colchicus
ENSMGAP00000012017	ENSMGAG00000011456	meleagris_gallopavo
ENSABRP00000000533	ENSABRG00000000608	anser_brachyrhynchus
ENSAZOP00000015620	ENSAZOG00000010069	anas_zonorhyncha
ENSCPRP00005014495	ENSCPRG00005010191	crocodylus_porosus
ENSPSIP00000008770	ENSPSIG00000007758	pelodiscus_sinensis
ENSCSRP00000001719	ENSCSRG00000001362	chelydra_serpentina
ENSTMTP00000025930	ENSTMTG00000018950	terrapene_carolina_triunguis
ENSCPBP00000003940	ENSCPBG00000003205	chrysemys_picta_bellii
ENSGAGP00000014123	ENSGAGG00000010761	gopherus_agassizii
ENSGEVP00005028468	ENSGEVG00005020017	gopherus_evgoodei
ENSGEVP00005028456	ENSGEVG00005020010	gopherus_evgoodei
ENSCABP00000018121	ENSCABG00000012635	chelonoidis_abingdonii
ENSCLAP00000001191	ENSCLAG00000000905	chinchilla_lanigera
ENSXETP00000081224	ENSXETG00000015592	xenopus_tropicalis
ENSLLEP00000048115	ENSLLEG00000030188	leptobrachium_leishanense
ENSLACP00000007448	ENSLACG00000006604	latimeria_chalumnae
ENSECRP00000024195	ENSECRG00000016325	erpetoichthys_calabaricus
ENSLOCP00000010662	ENSLOCG00000008752	lepisosteus_oculatus
ENSPKIP00000004281	ENSPKIG00000021449	paramormyrops_kingsleyae
ENSGMOP00000020910	ENSGMOG00000019440	gadus_morhua
ENSGWIP00000054552	ENSGWIG00000021828	gouania_willdenowi
ENSSFAP00005045174	ENSSFAG00005011885	salarias_fasciatus
ENSKMAP00000012382	ENSKMAG00000009249	kryptolebias_marmoratus
ENSNFUP00015053417	ENSNFUG00015017390	nothobranchius_furzeri
ENSCVAP00000029524	ENSCVAG00000017367	cyprinodon_variegatus
ENSXMAP00000009570	ENSXMAG00000009512	xiphophorus_maculatus
ENSGAFP00000005481	ENSGAFG00000003743	gambusia_affinis
ENSXCOP00000008918	ENSXCOG00000006798	xiphophorus_couchianus
ENSPLAP00000005640	ENSPLAG00000007652	poecilia_latipinna
ENSPFOP00000019287	ENSPFOG00000019148	poecilia_formosa
ENSPMEP00000009960	ENSPMEG00000011891	poecilia_mexicana
ENSPREP00000014037	ENSPREG00000009500	poecilia_reticulata
ENSOJAP00000014248	ENSOJAG00000005416	oryzias_javanicus
ENSOMEP00000032444	ENSOMEG00000017936	oryzias_melastigma
ENSORLP00020005300	ENSORLG00020006203	oryzias_latipes_hni
ENSORLP00000016637	ENSORLG00000013277	oryzias_latipes
ENSORLP00015020257	ENSORLG00015021373	oryzias_latipes_hsok
ENSOSIP00000023721	ENSOSIG00000007814	oryzias_sinensis
ENSACIP00000006012	ENSACIG00000004708	amphilophus_citrinellus
ENSMZEP00005014263	ENSMZEG00005010727	maylandia_zebra
ENSACLP00000032483	ENSACLG00000021960	astatotilapia_calliptera
ENSHBUP00000009037	ENSHBUG00000010635	haplochromis_burtoni
ENSPNYP00000016952	ENSPNYG00000012829	pundamilia_nyererei
ENSNBRP00000020547	ENSNBRG00000015779	neolamprologus_brichardi
ENSGACP00000004504	ENSGACG00000003443	gasterosteus_aculeatus
ENSTRUP00000045145	ENSTRUG00000017610	takifugu_rubripes
ENSTNIP00000016409	ENSTNIG00000013415	tetraodon_nigroviridis
ENSMAMP00000023940	ENSMAMG00000015971	mastacembelus_armatus
ENSLBEP00000016147	ENSLBEG00000012486	labrus_bergylta
ENSDLAP00005052684	ENSDLAG00005014660	dicentrarchus_labrax
ENSLCRP00005065334	ENSLCRG00005023758	larimichthys_crocea
ENSSPAP00000007719	ENSSPAG00000005860	stegastes_partitus
ENSAPEP00000034559	ENSAPEG00000024530	amphiprion_percula
ENSAOCP00000009118	ENSAOCG00000013251	amphiprion_ocellaris
ENSAPOP00000023078	ENSAPOG00000004708	acanthochromis_polyacanthus
ENSSMAP00000019145	ENSSMAG00000011669	scophthalmus_maximus
ENSSLDP00000030924	ENSSLDG00000023773	seriola_lalandi_dorsalis
ENSATEP00000019570	ENSATEG00000013574	anabas_testudineus
ENSBSLP00000043443	ENSBSLG00000013787	betta_splendens
ENSMALP00000009593	ENSMALG00000006805	monopterus_albus
ENSOABP00000023797	ENSOABG00000006764	oreochromis_aureus
ENSMMOP00000011259	ENSMMOG00000008590	mola_mola
ENSLCAP00010007218	ENSLCAG00010002001	lates_calcarifer
ENSENLP00000039891	ENSENLG00000005847	echeneis_naucrates
ENSPRNP00000055054	ENSPRNG00000022797	parambassis_ranga
ENSHCOP00000002538	ENSHCOG00000003717	hippocampus_comes
ENSPMGP00000015016	ENSPMGG00000012309	periophthalmus_magnuspinnatus
ENSELUP00000076923	ENSELUG00000011123	esox_lucius
ENSOTSP00005078441	ENSOTSG00005017789	oncorhynchus_tshawytscha
ENSOMYP00000033482	ENSOMYG00000013467	oncorhynchus_mykiss
ENSOKIP00005070343	ENSOKIG00005029633	oncorhynchus_kisutch
ENSSTUP00000060498	ENSSTUG00000014734	salmo_trutta
ENSSSAP00000108035	ENSSSAG00000054894	salmo_salar
ENSSTUP00000112022	ENSSTUG00000044836	salmo_trutta
ENSSSAP00000109654	ENSSSAG00000056070	salmo_salar
ENSOKIP00005052957	ENSOKIG00005015147	oncorhynchus_kisutch
ENSOMYP00000002553	ENSOMYG00000000990	oncorhynchus_mykiss
ENSOTSP00005104768	ENSOTSG00005047148	oncorhynchus_tshawytscha
ENSHHUP00000040346	ENSHHUG00000024663	hucho_hucho
ENSSFOP00015046171	ENSSFOG00015003165	scleropages_formosus
ENSHHUP00000025898	ENSHHUG00000014172	hucho_hucho
ENSNMLP00000037773	ENSNMLG00000021126	neogobius_melanostomus
ENSFHEP00000031486	ENSFHEG00000017424	fundulus_heteroclitus
ENSPMEP00000014923	ENSPMEG00000017396	poecilia_mexicana
ENSPREP00000013954	ENSPREG00000009433	poecilia_reticulata
ENSXCOP00000008924	ENSXCOG00000006804	xiphophorus_couchianus
ENSGAFP00000005589	ENSGAFG00000003758	gambusia_affinis
ENSCVAP00000014703	ENSCVAG00000017413	cyprinodon_variegatus
ENSCSEP00000019773	ENSCSEG00000012618	cynoglossus_semilaevis
ENSCSEP00000027931	ENSCSEG00000017754	cynoglossus_semilaevis
ENSSDUP00000006084	ENSSDUG00000004454	seriola_dumerili
ENSSAUP00010047482	ENSSAUG00010018345	sparus_aurata
ENSSLUP00000054758	ENSSLUG00000017997	sander_lucioperca
ENSCGOP00000041213	ENSCGOG00000013030	cottoperca_gobio
ENSCLMP00005047083	ENSCLMG00005011396	cyclopterus_lumpus
ENSONIP00000060910	ENSONIG00000010192	oreochromis_niloticus
ENSMMDP00005015932	ENSMMDG00005007887	myripristis_murdjan
ENSDCDP00000000324	ENSDCDG00000000206	denticeps_clupeoides
ENSDCDP00000000305	ENSDCDG00000000173	denticeps_clupeoides
ENSCHAP00000014857	ENSCHAG00000001587	clupea_harengus
ENSDCDP00000055427	ENSDCDG00000032762	denticeps_clupeoides
ENSDARP00000124472	ENSDARG00000058115	danio_rerio
ENSCARP00000079648	ENSCARG00000031846	carassius_auratus
ENSCCRP00020117357	ENSCCRG00020042203	cyprinus_carpio_hebaored
ENSCCRP00015048590	ENSCCRG00015007538	cyprinus_carpio_huanghe
ENSCCRP00000060443	ENSCCRG00000031692	cyprinus_carpio
ENSSGRP00000067752	ENSSGRG00000034621	sinocyclocheilus_grahami
ENSCARP00000076499	ENSCARG00000018959	carassius_auratus
ENSSANP00000102848	ENSSANG00000049136	sinocyclocheilus_anshuiensis
ENSCCRP00015116438	ENSCCRG00015040254	cyprinus_carpio_huanghe
ENSCCRP00020080497	ENSCCRG00020017983	cyprinus_carpio_hebaored
ENSCCRP00010113230	ENSCCRG00010037198	cyprinus_carpio_germanmirror
ENSCCRP00000086781	ENSCCRG00000009600	cyprinus_carpio
ENSCARP00000079082	ENSCARG00000036312	carassius_auratus
ENSCCRP00010070744	ENSCCRG00010020029	cyprinus_carpio_germanmirror
ENSSANP00000015493	ENSSANG00000006412	sinocyclocheilus_anshuiensis
ENSSRHP00000045648	ENSSRHG00000022841	sinocyclocheilus_rhinocerous
ENSSGRP00000027080	ENSSGRG00000010598	sinocyclocheilus_grahami
ENSSRHP00000101351	ENSSRHG00000049540	sinocyclocheilus_rhinocerous
ENSEEEP00000045673	ENSEEEG00000021417	electrophorus_electricus
ENSPNAP00000002145	ENSPNAG00000008635	pygocentrus_nattereri
ENSAMXP00000048061	ENSAMXG00000003805	astyanax_mexicanus
ENSAMXP00005016634	ENSAMXG00005007305	astyanax_mexicanus_pachon
ENSIPUP00000022372	ENSIPUG00000015084	ictalurus_punctatus
ENSCMIP00000015209	ENSCMIG00000006245	callorhinchus_milii
ENSEBUP00000001451	ENSEBUG00000001263	eptatretus_burgeri
ENSPMAP00000008009	ENSPMAG00000007212	petromyzon_marinus
ENSEBUP00000016051	ENSEBUG00000010093	eptatretus_burgeri
ENSPMAP00000009930	ENSPMAG00000008966	petromyzon_marinus
ENSEBUP00000019241	ENSEBUG00000011922	eptatretus_burgeri
ENSACAP00000006335	ENSACAG00000006492	anolis_carolinensis
ENSMLUP00000022307	ENSMLUG00000026200	myotis_lucifugus
ENSTNIP00000010198	ENSTNIG00000007392	tetraodon_nigroviridis
ENSMODP00000010602	ENSMODG00000008525	monodelphis_domestica
ENSCINP00000036298	ENSCING00000024641	ciona_intestinalis
