ENSLLEP00000008337	ENSLLEG00000005292	leptobrachium_leishanense
ENSCUSP00005001481	ENSCUSG00005001021	catharus_ustulatus
ENSCCEP00000011694	ENSCCEG00000011397	cyanistes_caeruleus
ENSPMJP00000004402	ENSPMJG00000003797	parus_major
ENSCPVP00000009508	ENSCPVG00000006971	camarhynchus_parvulus
ENSGFOP00000004227	ENSGFOG00000003014	geospiza_fortis
ENSJHYP00000014834	ENSJHYG00000011473	junco_hyemalis
ENSZALP00000006107	ENSZALG00000005620	zonotrichia_albicollis
ENSZLMP00000008653	ENSZLMG00000006084	zosterops_lateralis_melanops
ENSCRFP00000000140	ENSCRFG00000000129	stachyris_ruficeps
ENSLCOP00000007984	ENSLCOG00000005857	lepidothrix_coronata
ENSMVIP00005019535	ENSMVIG00005013824	manacus_vitellinus
ENSANIP00000013836	ENSANIG00000009354	accipiter_nisus
ENSACCP00020017194	ENSACCG00020011747	aquila_chrysaetos_chrysaetos
ENSBJAP00000021118	ENSBJAG00000013784	buteo_japonicus
ENSSHBP00005014247	ENSSHBG00005012491	strigops_habroptila
ENSACOP00000015053	ENSACOG00000010498	amazona_collaria
ENSMUNP00000001379	ENSMUNG00000001035	melopsittacus_undulatus
ENSCPUP00000007964	ENSCPUG00000005752	calidris_pugnax
ENSCPGP00000007525	ENSCPGG00000005370	calidris_pygmaea
ENSBOBP00000005974	ENSBOBG00000003553	bubo_bubo
ENSSOCP00000007312	ENSSOCG00000005574	strix_occidentalis_caurina
ENSOSUP00000021553	ENSOSUG00000014933	otus_sunia
ENSFTIP00000002043	ENSFTIG00000001457	falco_tinnunculus
ENSNPEP00000001152	ENSNPEG00000000911	nothoprocta_perdicaria
ENSSCUP00000014845	ENSSCUG00000010919	struthio_camelus_australis
ENSDNVP00000020577	ENSDNVG00000014402	dromaius_novaehollandiae
ENSARWP00000014678	ENSARWG00000010145	apteryx_rowi
ENSAHAP00000004483	ENSAHAG00000003388	apteryx_haastii
ENSAOWP00000019774	ENSAOWG00000013389	apteryx_owenii
ENSSMRP00000010212	ENSSMRG00000008097	salvator_merianae
ENSPVIP00000019857	ENSPVIG00000015129	pogona_vitticeps
ENSACAP00000008173	ENSACAG00000008000	anolis_carolinensis
ENSNNAP00000014215	ENSNNAG00000009529	naja_naja
ENSNSUP00000027883	ENSNSUG00000019897	notechis_scutatus
ENSPTXP00000013707	ENSPTXG00000009493	pseudonaja_textilis
ENSVKKP00000013288	ENSVKKG00000009185	varanus_komodoensis
ENSPMRP00000028992	ENSPMRG00000018747	podarcis_muralis
ENSSPUP00000004613	ENSSPUG00000003542	sphenodon_punctatus
ENSOANP00000019829	ENSOANG00000012537	ornithorhynchus_anatinus
ENSPCAP00000005462	ENSPCAG00000005801	procavia_capensis
ENSETEP00000004790	ENSETEG00000005899	echinops_telfairi
ENSLAFP00000016887	ENSLAFG00000023132	loxodonta_africana
ENSETEP00000011911	ENSETEG00000014694	echinops_telfairi
ENSLAFP00000027559	ENSLAFG00000027255	loxodonta_africana
ENSFDAP00000008167	ENSFDAG00000016516	fukomys_damarensis
ENSFDAP00000007922	ENSFDAG00000016313	fukomys_damarensis
ENSHGLP00000005360	ENSHGLG00000003924	heterocephalus_glaber_female
ENSHGLP00100024553	ENSHGLG00100018031	heterocephalus_glaber_male
ENSHGLP00000000359	ENSHGLG00000000335	heterocephalus_glaber_female
ENSMLUP00000009819	ENSMLUG00000010757	myotis_lucifugus
ENSOGAP00000012132	ENSOGAG00000013534	otolemur_garnettii
ENSPCOP00000012957	ENSPCOG00000018084	propithecus_coquereli
ENSPSMP00000000161	ENSPSMG00000000124	prolemur_simus
ENSMICP00000035812	ENSMICG00000007364	microcebus_murinus
ENSTSYP00000026490	ENSTSYG00000033661	carlito_syrichta
ENSANAP00000026218	ENSANAG00000030703	aotus_nancymaae
ENSCCAP00000022202	ENSCCAG00000028883	cebus_capucinus
ENSCJAP00000050434	ENSCJAG00000018986	callithrix_jacchus
ENSSBOP00000033823	ENSSBOG00000033078	saimiri_boliviensis_boliviensis
ENSPTRP00000033908	ENSPTRG00000019796	pan_troglodytes
ENSPPAP00000019298	ENSPPAG00000032825	pan_paniscus
ENSP00000481994	ENSG00000106123	homo_sapiens
ENSGGOP00000015226	ENSGGOG00000015601	gorilla_gorilla
ENSPPYP00000020310	ENSPPYG00000018104	pongo_abelii
ENSNLEP00000003327	ENSNLEG00000002723	nomascus_leucogenys
ENSCANP00000027718	ENSCANG00000037237	colobus_angolensis_palliatus
ENSRBIP00000042440	ENSRBIG00000044488	rhinopithecus_bieti
ENSPTEP00000034758	ENSPTEG00000032931	piliocolobus_tephrosceles
ENSRROP00000013216	ENSRROG00000030865	rhinopithecus_roxellana
ENSCSAP00000003741	ENSCSAG00000007523	chlorocebus_sabaeus
ENSCATP00000027673	ENSCATG00000037179	cercocebus_atys
ENSPANP00000010928	ENSPANG00000018830	papio_anubis
ENSTGEP00000000121	ENSTGEG00000000149	theropithecus_gelada
ENSMLEP00000015387	ENSMLEG00000031808	mandrillus_leucophaeus
ENSMMUP00000076404	ENSMMUG00000016218	macaca_mulatta
ENSMFAP00000044510	ENSMFAG00000039585	macaca_fascicularis
ENSMNEP00000000444	ENSMNEG00000002006	macaca_nemestrina
ENSODEP00000017058	ENSODEG00000012570	octodon_degus
ENSCLAP00000001366	ENSCLAG00000001039	chinchilla_lanigera
ENSCAPP00000007006	ENSCAPG00000009039	cavia_aperea
ENSCPOP00000004777	ENSCPOG00000005313	cavia_porcellus
ENSHGLP00000014060	ENSHGLG00000010041	heterocephalus_glaber_female
ENSHGLP00100000043	ENSHGLG00100000063	heterocephalus_glaber_male
ENSFDAP00000006756	ENSFDAG00000015462	fukomys_damarensis
ENSMMMP00000009223	ENSMMMG00000008255	marmota_marmota_marmota
ENSUPAP00010012190	ENSUPAG00010009864	urocitellus_parryii
ENSSTOP00000025427	ENSSTOG00000007963	ictidomys_tridecemlineatus
ENSSDAP00000007404	ENSSDAG00000006498	spermophilus_dauricus
ENSSVLP00005015886	ENSSVLG00005012447	sciurus_vulgaris
ENSCCNP00000026535	ENSCCNG00000025746	castor_canadensis
ENSDORP00000008158	ENSDORG00000008691	dipodomys_ordii
ENSJJAP00000012638	ENSJJAG00000015598	jaculus_jaculus
ENSNGAP00000025180	ENSNGAG00000023214	nannospalax_galili
ENSMAUP00000015355	ENSMAUG00000014846	mesocricetus_auratus
ENSCGRP00001027349	ENSCGRG00001024379	cricetulus_griseus_chok1gshd
ENSCGRP00000006357	ENSCGRG00000004656	cricetulus_griseus_crigri
ENSCGRP00015030989	ENSCGRG00015023369	cricetulus_griseus_picr
ENSPEMP00000011787	ENSPEMG00000012321	peromyscus_maniculatus_bairdii
ENSMOCP00000024364	ENSMOCG00000020818	microtus_ochrogaster
ENSRNOP00000019720	ENSRNOG00000014367	rattus_norvegicus
MGP_SPRETEiJ_P0076305	MGP_SPRETEiJ_G0029279	mus_spretus
ENSMUSP00000110380	ENSMUSG00000029869	mus_musculus
ENSMSIP00000003789	ENSMSIG00000003489	mus_spicilegus
MGP_CAROLIEiJ_P0073448	MGP_CAROLIEiJ_G0028274	mus_caroli
ENSMUGP00000026805	ENSMUGG00000022324	meriones_unguiculatus
ENSOCUP00000006527	ENSOCUG00000007545	oryctolagus_cuniculus
ENSOPRP00000000811	ENSOPRG00000000878	ochotona_princeps
ENSTBEP00000009650	ENSTBEG00000011155	tupaia_belangeri
ENSECAP00000033986	ENSECAG00000007276	equus_caballus
ENSEASP00005013323	ENSEASG00005009287	equus_asinus_asinus
ENSLCNP00005023116	ENSLCNG00005015040	lynx_canadensis
ENSFCAP00000013849	ENSFCAG00000014929	felis_catus
ENSPLOP00000015775	ENSPLOG00000011477	panthera_leo
ENSPPRP00000000270	ENSPPRG00000024931	panthera_pardus
ENSPTIP00000006041	ENSPTIG00000008034	panthera_tigris_altaica
ENSSSUP00005002272	ENSSSUG00005001532	suricata_suricatta
ENSZCAP00015019300	ENSZCAG00015012259	zalophus_californianus
ENSAMEP00000006749	ENSAMEG00000006351	ailuropoda_melanoleuca
ENSUAMP00000016048	ENSUAMG00000012814	ursus_americanus
ENSUTTP00000010150	ENSUTTG00000006450	ursus_thibetanus_thibetanus
ENSUMAP00000016439	ENSUMAG00000012002	ursus_maritimus
ENSNVIP00000025483	ENSNVIG00000019504	neovison_vison
ENSMPUP00000008414	ENSMPUG00000008478	mustela_putorius_furo
ENSCAFP00040009283	ENSCAFG00040005706	canis_lupus_familiarisgreatdane
ENSCAFP00000005623	ENSCAFG00000003745	canis_lupus_familiaris
ENSCAFP00030015786	ENSCAFG00030009753	canis_lupus_familiarisbasenji
ENSCAFP00020026608	ENSCAFG00020020909	canis_lupus_dingo
ENSVVUP00000038733	ENSVVUG00000027625	vulpes_vulpes
ENSMMSP00000000744	ENSMMSG00000000585	moschus_moschiferus
ENSBIXP00005004043	ENSBIXG00005010085	bos_indicus_hybrid
ENSBIXP00000039629	ENSBIXG00000023545	bos_taurus_hybrid
ENSBTAP00000033341	ENSBTAG00000015510	bos_taurus
ENSBMUP00000004562	ENSBMUG00000003581	bos_mutus
ENSBGRP00000011911	ENSBGRG00000007491	bos_grunniens
ENSBBBP00000021369	ENSBBBG00000003701	bison_bison_bison
ENSCHIP00010003921	ENSCHIG00010002804	capra_hircus_blackbengal
ENSCHIP00000014181	ENSCHIG00000015303	capra_hircus
ENSOARP00000017981	ENSOARG00000016740	ovis_aries
ENSOARP00020001553	ENSOARG00020001251	ovis_aries_rambouillet
ENSCHYP00000036227	ENSCHYG00000024208	cervus_hanglu_yarkandensis
ENSBMSP00010024168	ENSBMSG00010017569	balaenoptera_musculus
ENSPCTP00005022494	ENSPCTG00005015771	physeter_catodon
ENSPSNP00000016766	ENSPSNG00000012089	phocoena_sinus
ENSDLEP00000024029	ENSDLEG00000017432	delphinapterus_leucas
ENSMMNP00015015976	ENSMMNG00015011787	monodon_monoceros
ENSTTRP00000007356	ENSTTRG00000007772	tursiops_truncatus
ENSCWAP00000025092	ENSCWAG00000018983	catagonus_wagneri
ENSSSCP00000058040	ENSSSCG00000016473	sus_scrofa
ENSCDRP00005008817	ENSCDRG00005006214	camelus_dromedarius
ENSRFEP00010013806	ENSRFEG00010009351	rhinolophus_ferrumequinum
ENSPVAP00000007362	ENSPVAG00000007800	pteropus_vampyrus
ENSEEUP00000007857	ENSEEUG00000008566	erinaceus_europaeus
ENSDNOP00000003657	ENSDNOG00000004735	dasypus_novemcinctus
ENSSHAP00000005290	ENSSHAG00000004627	sarcophilus_harrisii
ENSMEUP00000005329	ENSMEUG00000005827	notamacropus_eugenii
ENSPCIP00000020497	ENSPCIG00000015601	phascolarctos_cinereus
ENSVURP00010029816	ENSVURG00010022784	vombatus_ursinus
ENSMODP00000001174	ENSMODG00000000983	monodelphis_domestica
ENSLACP00000006446	ENSLACG00000005719	latimeria_chalumnae
