FBpp0081021	FBgn0011829	drosophila_melanogaster
ENSPTXP00000015389	ENSPTXG00000010632	pseudonaja_textilis
ENSNSUP00000007911	ENSNSUG00000006166	notechis_scutatus
ENSNNAP00000008110	ENSNNAG00000005449	naja_naja
ENSPVIP00000005619	ENSPVIG00000004565	pogona_vitticeps
ENSACAP00000004610	ENSACAG00000004564	anolis_carolinensis
ENSSVLP00005014335	ENSSVLG00005011050	sciurus_vulgaris
ENSUPAP00010028080	ENSUPAG00010022187	urocitellus_parryii
ENSSTOP00000001331	ENSSTOG00000001482	ictidomys_tridecemlineatus
ENSSDAP00000007314	ENSSDAG00000006670	spermophilus_dauricus
ENSMMMP00000022362	ENSMMMG00000019644	marmota_marmota_marmota
ENSDORP00000024192	ENSDORG00000026479	dipodomys_ordii
ENSPEMP00000027719	ENSPEMG00000023447	peromyscus_maniculatus_bairdii
ENSMOCP00000005624	ENSMOCG00000005124	microtus_ochrogaster
ENSMAUP00000003311	ENSMAUG00000003571	mesocricetus_auratus
ENSCGRP00015007904	ENSCGRG00015006125	cricetulus_griseus_picr
ENSCGRP00001017592	ENSCGRG00001017584	cricetulus_griseus_chok1gshd
ENSCGRP00000008044	ENSCGRG00000005869	cricetulus_griseus_crigri
MGP_PahariEiJ_P0051934	MGP_PahariEiJ_G0022538	mus_pahari
MGP_CAROLIEiJ_P0075713	MGP_CAROLIEiJ_G0028784	mus_caroli
ENSMUSP00000032201	ENSMUSG00000030110	mus_musculus
MGP_SPRETEiJ_P0078808	MGP_SPRETEiJ_G0029815	mus_spretus
ENSMSIP00000005615	ENSMSIG00000005075	mus_spicilegus
ENSRNOP00000047793	ENSRNOG00000014751	rattus_norvegicus
ENSMUGP00000006112	ENSMUGG00000005567	meriones_unguiculatus
ENSMUGP00000007474	ENSMUGG00000005938	meriones_unguiculatus
ENSNGAP00000011675	ENSNGAG00000013749	nannospalax_galili
ENSJJAP00000012652	ENSJJAG00000015602	jaculus_jaculus
ENSODEP00000005972	ENSODEG00000004491	octodon_degus
ENSCLAP00000002478	ENSCLAG00000001797	chinchilla_lanigera
ENSCAPP00000003751	ENSCAPG00000006439	cavia_aperea
ENSCPOP00000012729	ENSCPOG00000014130	cavia_porcellus
ENSFDAP00000006416	ENSFDAG00000015184	fukomys_damarensis
ENSHGLP00000000573	ENSHGLG00000000505	heterocephalus_glaber_female
ENSHGLP00100001334	ENSHGLG00100001058	heterocephalus_glaber_male
ENSTSYP00000006758	ENSTSYG00000007376	carlito_syrichta
ENSNLEP00000019224	ENSNLEG00000015820	nomascus_leucogenys
ENSPPYP00000002579	ENSPPYG00000002208	pongo_abelii
ENSGGOP00000003517	ENSGGOG00000003576	gorilla_gorilla
ENSPTRP00000004184	ENSPTRG00000002442	pan_troglodytes
ENSPPAP00000021726	ENSPPAG00000034047	pan_paniscus
ENSP00000347942	ENSG00000165731	homo_sapiens
ENSRROP00000034560	ENSRROG00000040811	rhinopithecus_roxellana
ENSRBIP00000028216	ENSRBIG00000037979	rhinopithecus_bieti
ENSMLEP00000014860	ENSMLEG00000031551	mandrillus_leucophaeus
ENSCSAP00000007188	ENSCSAG00000011059	chlorocebus_sabaeus
ENSTGEP00000012163	ENSTGEG00000009919	theropithecus_gelada
ENSPANP00000020151	ENSPANG00000022737	papio_anubis
ENSCATP00000025832	ENSCATG00000036362	cercocebus_atys
ENSMFAP00000021062	ENSMFAG00000033445	macaca_fascicularis
ENSMMUP00000020196	ENSMMUG00000015400	macaca_mulatta
ENSMNEP00000021470	ENSMNEG00000034473	macaca_nemestrina
ENSCANP00000008587	ENSCANG00000027693	colobus_angolensis_palliatus
ENSPTEP00000016611	ENSPTEG00000018225	piliocolobus_tephrosceles
ENSCJAP00000029792	ENSCJAG00000016166	callithrix_jacchus
ENSSBOP00000004952	ENSSBOG00000019160	saimiri_boliviensis_boliviensis
ENSCCAP00000001115	ENSCCAG00000007016	cebus_capucinus
ENSANAP00000007307	ENSANAG00000021731	aotus_nancymaae
ENSANAP00000029410	ENSANAG00000032474	aotus_nancymaae
ENSMICP00000008782	ENSMICG00000009645	microcebus_murinus
ENSPSMP00000028303	ENSPSMG00000019704	prolemur_simus
ENSPCOP00000023769	ENSPCOG00000024033	propithecus_coquereli
ENSOGAP00000010070	ENSOGAG00000011244	otolemur_garnettii
ENSZCAP00015036244	ENSZCAG00015022704	zalophus_californianus
ENSUAMP00000031262	ENSUAMG00000023995	ursus_americanus
ENSUMAP00000022577	ENSUMAG00000016509	ursus_maritimus
ENSUTTP00000035083	ENSUTTG00000022411	ursus_thibetanus_thibetanus
ENSAMEP00000017857	ENSAMEG00000016880	ailuropoda_melanoleuca
ENSVVUP00000029131	ENSVVUG00000021289	vulpes_vulpes
ENSCAFP00030030407	ENSCAFG00030018599	canis_lupus_familiarisbasenji
ENSCAFP00000046537	ENSCAFG00000007076	canis_lupus_familiaris
ENSCAFP00040041894	ENSCAFG00040025690	canis_lupus_familiarisgreatdane
ENSCAFP00020032443	ENSCAFG00020025280	canis_lupus_dingo
ENSMPUP00000017168	ENSMPUG00000017277	mustela_putorius_furo
ENSNVIP00000026040	ENSNVIG00000020085	neovison_vison
ENSPPRP00000006170	ENSPPRG00000001685	panthera_pardus
ENSPLOP00000024148	ENSPLOG00000017480	panthera_leo
ENSPTIP00000007208	ENSPTIG00000008883	panthera_tigris_altaica
ENSLCNP00005018100	ENSLCNG00005011858	lynx_canadensis
ENSFCAP00000012057	ENSFCAG00000012999	felis_catus
ENSSSUP00005006384	ENSSSUG00005004119	suricata_suricatta
ENSCDRP00005009972	ENSCDRG00005007057	camelus_dromedarius
ENSBMSP00010020625	ENSBMSG00010014878	balaenoptera_musculus
ENSMMNP00015025963	ENSMMNG00015018914	monodon_monoceros
ENSDLEP00000008746	ENSDLEG00000006403	delphinapterus_leucas
ENSPSNP00000013485	ENSPSNG00000009662	phocoena_sinus
ENSTTRP00000001522	ENSTTRG00000001614	tursiops_truncatus
ENSPCTP00005026814	ENSPCTG00005018973	physeter_catodon
ENSMMSP00000027015	ENSMMSG00000020162	moschus_moschiferus
ENSOARP00000004207	ENSOARG00000003932	ovis_aries
ENSOARP00020027483	ENSOARG00020021522	ovis_aries_rambouillet
ENSCHIP00000024240	ENSCHIG00000021480	capra_hircus
ENSCHIP00010026884	ENSCHIG00010020060	capra_hircus_blackbengal
ENSBIXP00000005512	ENSBIXG00000011682	bos_taurus_hybrid
ENSBIXP00005039479	ENSBIXG00005003688	bos_indicus_hybrid
ENSBTAP00000000744	ENSBTAG00000000570	bos_taurus
ENSBMUP00000017013	ENSBMUG00000012880	bos_mutus
ENSBGRP00000038893	ENSBGRG00000024201	bos_grunniens
ENSBBBP00000003546	ENSBBBG00000012637	bison_bison_bison
ENSSSCP00000010875	ENSSSCG00000010199	sus_scrofa
ENSCWAP00000016184	ENSCWAG00000012276	catagonus_wagneri
ENSECAP00000002849	ENSECAG00000001064	equus_caballus
ENSEASP00005009705	ENSEASG00005006900	equus_asinus_asinus
ENSMLUP00000015919	ENSMLUG00000017458	myotis_lucifugus
ENSRFEP00010016887	ENSRFEG00010011349	rhinolophus_ferrumequinum
ENSPVAP00000007683	ENSPVAG00000008130	pteropus_vampyrus
ENSSARP00000003522	ENSSARG00000003834	sorex_araneus
ENSDNOP00000015257	ENSDNOG00000019676	dasypus_novemcinctus
ENSLAFP00000014660	ENSLAFG00000017479	loxodonta_africana
ENSPCAP00000011095	ENSPCAG00000011802	procavia_capensis
ENSETEP00000002051	ENSETEG00000002514	echinops_telfairi
ENSTBEP00000009774	ENSTBEG00000011269	tupaia_belangeri
ENSOPRP00000012011	ENSOPRG00000013157	ochotona_princeps
ENSOCUP00000035713	ENSOCUG00000011141	oryctolagus_cuniculus
ENSMODP00000001452	ENSMODG00000001212	monodelphis_domestica
ENSVURP00010018850	ENSVURG00010014349	vombatus_ursinus
ENSPCIP00000001579	ENSPCIG00000001252	phascolarctos_cinereus
ENSMEUP00000002005	ENSMEUG00000002191	notamacropus_eugenii
ENSSHAP00000012289	ENSSHAG00000010528	sarcophilus_harrisii
ENSOANP00000050465	ENSOANG00000046180	ornithorhynchus_anatinus
ENSXETP00000076036	ENSXETG00000005422	xenopus_tropicalis
ENSLLEP00000046136	ENSLLEG00000029257	leptobrachium_leishanense
ENSLACP00000004888	ENSLACG00000004347	latimeria_chalumnae
ENSECRP00000026908	ENSECRG00000018102	erpetoichthys_calabaricus
ENSLOCP00000014134	ENSLOCG00000011498	lepisosteus_oculatus
ENSGMOP00000005764	ENSGMOG00000005386	gadus_morhua
ENSMMDP00005024240	ENSMMDG00005011682	myripristis_murdjan
ENSSFAP00005022424	ENSSFAG00005011643	salarias_fasciatus
ENSSORP00005036688	ENSSORG00005017273	sphaeramia_orbicularis
ENSHCOP00000003496	ENSHCOG00000004866	hippocampus_comes
ENSPMGP00000011158	ENSPMGG00000009248	periophthalmus_magnuspinnatus
ENSNMLP00000004122	ENSNMLG00000002955	neogobius_melanostomus
ENSCGOP00000016042	ENSCGOG00000007394	cottoperca_gobio
ENSGACP00000004312	ENSGACG00000003269	gasterosteus_aculeatus
ENSCLMP00005011556	ENSCLMG00005006182	cyclopterus_lumpus
ENSSLUP00000005024	ENSSLUG00000002200	sander_lucioperca
ENSSAUP00010053656	ENSSAUG00010021734	sparus_aurata
ENSMMOP00000010938	ENSMMOG00000008430	mola_mola
ENSTNIP00000016066	ENSTNIG00000013085	tetraodon_nigroviridis
ENSTRUP00000071496	ENSTRUG00000017885	takifugu_rubripes
ENSLBEP00000016210	ENSLBEG00000012461	labrus_bergylta
ENSDLAP00005014191	ENSDLAG00005006733	dicentrarchus_labrax
ENSLCRP00005054335	ENSLCRG00005020306	larimichthys_crocea
ENSMALP00000011338	ENSMALG00000008039	monopterus_albus
ENSMAMP00000020371	ENSMAMG00000013635	mastacembelus_armatus
ENSATEP00000017180	ENSATEG00000011958	anabas_testudineus
ENSBSLP00000015524	ENSBSLG00000007693	betta_splendens
ENSSLDP00000026198	ENSSLDG00000020309	seriola_lalandi_dorsalis
ENSSDUP00000025257	ENSSDUG00000018296	seriola_dumerili
ENSENLP00000009767	ENSENLG00000004597	echeneis_naucrates
ENSSMAP00000021173	ENSSMAG00000012975	scophthalmus_maximus
ENSCSEP00000016872	ENSCSEG00000010826	cynoglossus_semilaevis
ENSLCAP00010017421	ENSLCAG00010008233	lates_calcarifer
ENSACIP00000004492	ENSACIG00000003477	amphilophus_citrinellus
ENSMZEP00005015258	ENSMZEG00005011427	maylandia_zebra
ENSACLP00000029896	ENSACLG00000020251	astatotilapia_calliptera
ENSPNYP00000005198	ENSPNYG00000004000	pundamilia_nyererei
ENSHBUP00000028182	ENSHBUG00000011869	haplochromis_burtoni
ENSMZEP00005033504	ENSMZEG00005025032	maylandia_zebra
ENSNBRP00000022288	ENSNBRG00000017065	neolamprologus_brichardi
ENSONIP00000012975	ENSONIG00000010322	oreochromis_niloticus
ENSOABP00000005916	ENSOABG00000003270	oreochromis_aureus
ENSOJAP00000040850	ENSOJAG00000020105	oryzias_javanicus
ENSOMEP00000031678	ENSOMEG00000000822	oryzias_melastigma
ENSOSIP00000021866	ENSOSIG00000011314	oryzias_sinensis
ENSORLP00020004277	ENSORLG00020005055	oryzias_latipes_hni
ENSORLP00000028739	ENSORLG00000013965	oryzias_latipes
ENSORLP00015034245	ENSORLG00015020104	oryzias_latipes_hsok
ENSKMAP00000010592	ENSKMAG00000007897	kryptolebias_marmoratus
ENSNFUP00015054303	ENSNFUG00015025186	nothobranchius_furzeri
ENSXMAP00000014427	ENSXMAG00000014398	xiphophorus_maculatus
ENSXCOP00000007884	ENSXCOG00000006056	xiphophorus_couchianus
ENSGAFP00000001303	ENSGAFG00000000879	gambusia_affinis
ENSPMEP00000005729	ENSPMEG00000007167	poecilia_mexicana
ENSPFOP00000029385	ENSPFOG00000024271	poecilia_formosa
ENSPLAP00000005880	ENSPLAG00000007945	poecilia_latipinna
ENSPREP00000003385	ENSPREG00000002410	poecilia_reticulata
ENSCVAP00000004100	ENSCVAG00000005428	cyprinodon_variegatus
ENSFHEP00000029667	ENSFHEG00000014536	fundulus_heteroclitus
ENSPRNP00000055710	ENSPRNG00000026085	parambassis_ranga
ENSGWIP00000055089	ENSGWIG00000026237	gouania_willdenowi
ENSSPAP00000000498	ENSSPAG00000000356	stegastes_partitus
ENSAPOP00000029334	ENSAPOG00000015142	acanthochromis_polyacanthus
ENSAOCP00000020617	ENSAOCG00000004906	amphiprion_ocellaris
ENSAPEP00000034872	ENSAPEG00000024768	amphiprion_percula
ENSELUP00000040215	ENSELUG00000020668	esox_lucius
ENSOMYP00000061287	ENSOMYG00000028196	oncorhynchus_mykiss
ENSOTSP00005089246	ENSOTSG00005041959	oncorhynchus_tshawytscha
ENSOKIP00005008706	ENSOKIG00005003733	oncorhynchus_kisutch
ENSSSAP00000046991	ENSSSAG00000046954	salmo_salar
ENSSTUP00000034126	ENSSTUG00000014446	salmo_trutta
ENSHHUP00000054500	ENSHHUG00000032657	hucho_hucho
ENSOMYP00000095754	ENSOMYG00000043313	oncorhynchus_mykiss
ENSOKIP00005052661	ENSOKIG00005021999	oncorhynchus_kisutch
ENSOTSP00005007998	ENSOTSG00005004354	oncorhynchus_tshawytscha
ENSSSAP00000012992	ENSSSAG00000005432	salmo_salar
ENSSTUP00000008221	ENSSTUG00000002623	salmo_trutta
ENSHHUP00000062169	ENSHHUG00000036729	hucho_hucho
ENSDARP00000072093	ENSDARG00000055305	danio_rerio
ENSSGRP00000020609	ENSSGRG00000012407	sinocyclocheilus_grahami
ENSSANP00000057238	ENSSANG00000028376	sinocyclocheilus_anshuiensis
ENSSRHP00000055783	ENSSRHG00000028032	sinocyclocheilus_rhinocerous
ENSCCRP00020101004	ENSCCRG00020045507	cyprinus_carpio_hebaored
ENSCCRP00015058392	ENSCCRG00015023578	cyprinus_carpio_huanghe
ENSCCRP00010084139	ENSCCRG00010035930	cyprinus_carpio_germanmirror
ENSCCRP00000020569	ENSCCRG00000011287	cyprinus_carpio
ENSCARP00000041781	ENSCARG00000016835	carassius_auratus
ENSSRHP00000080060	ENSSRHG00000039655	sinocyclocheilus_rhinocerous
ENSSANP00000050078	ENSSANG00000024995	sinocyclocheilus_anshuiensis
ENSSGRP00000055519	ENSSGRG00000028886	sinocyclocheilus_grahami
ENSCARP00000021030	ENSCARG00000009557	carassius_auratus
ENSCARP00000120570	ENSCARG00000063004	carassius_auratus
ENSCCRP00010036601	ENSCCRG00010014872	cyprinus_carpio_germanmirror
ENSCCRP00020099315	ENSCCRG00020045629	cyprinus_carpio_hebaored
ENSCCRP00015085053	ENSCCRG00015033718	cyprinus_carpio_huanghe
ENSCCRP00000088333	ENSCCRG00000047916	cyprinus_carpio
ENSIPUP00000032013	ENSIPUG00000021488	ictalurus_punctatus
ENSAMXP00005057206	ENSAMXG00005025280	astyanax_mexicanus_pachon
ENSAMXP00000004811	ENSAMXG00000004705	astyanax_mexicanus
ENSPNAP00000029153	ENSPNAG00000015122	pygocentrus_nattereri
ENSEEEP00000035874	ENSEEEG00000017064	electrophorus_electricus
ENSCHAP00000012779	ENSCHAG00000005492	clupea_harengus
ENSDCDP00000047390	ENSDCDG00000029480	denticeps_clupeoides
ENSSFOP00015059971	ENSSFOG00015011082	scleropages_formosus
ENSPKIP00000024788	ENSPKIG00000007875	paramormyrops_kingsleyae
