ENSECRP00000021110	ENSECRG00000014164	erpetoichthys_calabaricus
ENSONIP00000016438	ENSONIG00000013070	oreochromis_niloticus
ENSNBRP00000013077	ENSNBRG00000010129	neolamprologus_brichardi
ENSORLP00020012346	ENSORLG00020000353	oryzias_latipes_hni
ENSORLP00000006025	ENSORLG00000004786	oryzias_latipes
ENSOSIP00000043939	ENSOSIG00000020961	oryzias_sinensis
ENSORLP00015035647	ENSORLG00015022365	oryzias_latipes_hsok
ENSOJAP00000038825	ENSOJAG00000019027	oryzias_javanicus
ENSOMEP00000024178	ENSOMEG00000004646	oryzias_melastigma
ENSPREP00000004019	ENSPREG00000002821	poecilia_reticulata
ENSPMEP00000027529	ENSPMEG00000012060	poecilia_mexicana
ENSPLAP00000028847	ENSPLAG00000018564	poecilia_latipinna
ENSPFOP00000003320	ENSPFOG00000003236	poecilia_formosa
ENSPFOP00000004079	ENSPFOG00000003982	poecilia_formosa
ENSXMAP00000008599	ENSXMAG00000008554	xiphophorus_maculatus
ENSXCOP00000004128	ENSXCOG00000003236	xiphophorus_couchianus
ENSGAFP00000012978	ENSGAFG00000008763	gambusia_affinis
ENSFHEP00000012823	ENSFHEG00000014326	fundulus_heteroclitus
ENSCVAP00000009037	ENSCVAG00000010932	cyprinodon_variegatus
ENSKMAP00000005415	ENSKMAG00000004119	kryptolebias_marmoratus
ENSNFUP00015027437	ENSNFUG00015013252	nothobranchius_furzeri
ENSLCAP00010007109	ENSLCAG00010003495	lates_calcarifer
ENSSLDP00000004321	ENSSLDG00000003444	seriola_lalandi_dorsalis
ENSSDUP00000004832	ENSSDUG00000003600	seriola_dumerili
ENSENLP00000006512	ENSENLG00000003077	echeneis_naucrates
ENSCSEP00000016496	ENSCSEG00000010607	cynoglossus_semilaevis
ENSSMAP00000004265	ENSSMAG00000002643	scophthalmus_maximus
ENSMAMP00000010566	ENSMAMG00000007127	mastacembelus_armatus
ENSMALP00000019712	ENSMALG00000013731	monopterus_albus
ENSATEP00000012273	ENSATEG00000008565	anabas_testudineus
ENSGACP00000023788	ENSGACG00000018005	gasterosteus_aculeatus
ENSCLMP00005034566	ENSCLMG00005016522	cyclopterus_lumpus
ENSSLUP00000028176	ENSSLUG00000012684	sander_lucioperca
ENSCGOP00000010186	ENSCGOG00000005153	cottoperca_gobio
ENSSAUP00010040524	ENSSAUG00010016998	sparus_aurata
ENSLCRP00005006727	ENSLCRG00005003361	larimichthys_crocea
ENSDLAP00005016646	ENSDLAG00005008065	dicentrarchus_labrax
ENSMMOP00000003945	ENSMMOG00000003154	mola_mola
ENSTNIP00000017238	ENSTNIG00000014225	tetraodon_nigroviridis
ENSTRUP00000018654	ENSTRUG00000007528	takifugu_rubripes
ENSLBEP00000036925	ENSLBEG00000027586	labrus_bergylta
ENSMMDP00005002127	ENSMMDG00005001134	myripristis_murdjan
ENSGMOP00000010782	ENSGMOG00000010080	gadus_morhua
ENSCARP00000079720	ENSCARG00000037863	carassius_auratus
ENSSRHP00000011835	ENSSRHG00000006689	sinocyclocheilus_rhinocerous
ENSSGRP00000040476	ENSSGRG00000022065	sinocyclocheilus_grahami
ENSSANP00000010930	ENSSANG00000005625	sinocyclocheilus_anshuiensis
ENSCCRP00000028417	ENSCCRG00000015386	cyprinus_carpio
ENSCCRP00015101627	ENSCCRG00015040697	cyprinus_carpio_huanghe
ENSCCRP00020093679	ENSCCRG00020042870	cyprinus_carpio_hebaored
ENSCCRP00010102313	ENSCCRG00010044796	cyprinus_carpio_germanmirror
ENSCCRP00000028408	ENSCCRG00000015377	cyprinus_carpio
ENSCCRP00010009634	ENSCCRG00010004112	cyprinus_carpio_germanmirror
ENSCCRP00020023348	ENSCCRG00020010832	cyprinus_carpio_hebaored
ENSCCRP00015094835	ENSCCRG00015038234	cyprinus_carpio_huanghe
ENSSANP00000009073	ENSSANG00000005019	sinocyclocheilus_anshuiensis
ENSSGRP00000105910	ENSSGRG00000052355	sinocyclocheilus_grahami
ENSSRHP00000062340	ENSSRHG00000031064	sinocyclocheilus_rhinocerous
ENSCARP00000056491	ENSCARG00000024328	carassius_auratus
ENSDARP00000152459	ENSDARG00000100897	danio_rerio
ENSAMXP00000017568	ENSAMXG00000017026	astyanax_mexicanus
ENSAMXP00005040166	ENSAMXG00005018867	astyanax_mexicanus_pachon
ENSPNAP00000004573	ENSPNAG00000011017	pygocentrus_nattereri
ENSIPUP00000013827	ENSIPUG00000009456	ictalurus_punctatus
ENSEEEP00000030904	ENSEEEG00000014790	electrophorus_electricus
ENSCHAP00000046980	ENSCHAG00000021639	clupea_harengus
ENSCHAP00000047049	ENSCHAG00000021722	clupea_harengus
ENSDCDP00000041285	ENSDCDG00000026545	denticeps_clupeoides
ENSSFOP00015040598	ENSSFOG00015014672	scleropages_formosus
ENSPKIP00000028253	ENSPKIG00000009936	paramormyrops_kingsleyae
ENSLOCP00000013637	ENSLOCG00000011097	lepisosteus_oculatus
ENSLACP00000016550	ENSLACG00000014583	latimeria_chalumnae
ENSXETP00000078219	ENSXETG00000031823	xenopus_tropicalis
ENSLLEP00000034923	ENSLLEG00000022005	leptobrachium_leishanense
ENSACAP00000015253	ENSACAG00000015352	anolis_carolinensis
ENSPVIP00000021214	ENSPVIG00000016135	pogona_vitticeps
ENSVKKP00000006509	ENSVKKG00000004719	varanus_komodoensis
ENSNNAP00000021122	ENSNNAG00000013967	naja_naja
ENSNSUP00000023999	ENSNSUG00000017176	notechis_scutatus
ENSPTXP00000019592	ENSPTXG00000013519	pseudonaja_textilis
ENSLLTP00000017498	ENSLLTG00000013285	laticauda_laticaudata
ENSPMRP00000009967	ENSPMRG00000006636	podarcis_muralis
ENSSMRP00000022065	ENSSMRG00000017145	salvator_merianae
ENSSPUP00000004775	ENSSPUG00000003667	sphenodon_punctatus
ENSPCEP00000024517	ENSPCEG00000018520	pelusios_castaneus
ENSTMTP00000030624	ENSTMTG00000022087	terrapene_carolina_triunguis
ENSCPBP00000013436	ENSCPBG00000009762	chrysemys_picta_bellii
ENSGEVP00005005680	ENSGEVG00005004021	gopherus_evgoodei
ENSGAGP00000003985	ENSGAGG00000003261	gopherus_agassizii
ENSCABP00000017829	ENSCABG00000013252	chelonoidis_abingdonii
ENSCSRP00000010050	ENSCSRG00000005802	chelydra_serpentina
ENSPSIP00000015140	ENSPSIG00000013306	pelodiscus_sinensis
ENSCPRP00005017780	ENSCPRG00005012378	crocodylus_porosus
ENSNPEP00000009320	ENSNPEG00000007004	nothoprocta_perdicaria
ENSSCUP00000003854	ENSSCUG00000002926	struthio_camelus_australis
ENSAHAP00000005779	ENSAHAG00000004440	apteryx_haastii
ENSARWP00000004608	ENSARWG00000003349	apteryx_rowi
ENSAOWP00000015124	ENSAOWG00000010297	apteryx_owenii
ENSDNVP00000019507	ENSDNVG00000013666	dromaius_novaehollandiae
ENSCMMP00000012416	ENSCMMG00000007864	cairina_moschata_domestica
ENSAPLP00000022197	ENSAPLG00000013101	anas_platyrhynchos_platyrhynchos
ENSAZOP00000006415	ENSAZOG00000004127	anas_zonorhyncha
ENSABRP00000020510	ENSABRG00000017474	anser_brachyrhynchus
ENSACDP00005001131	ENSACDG00005000772	anser_cygnoides
ENSNMEP00000022074	ENSNMEG00000018903	numida_meleagris
ENSCJPP00005006003	ENSCJPG00005005661	coturnix_japonica
ENSPSTP00000004225	ENSPSTG00000003024	pavo_cristatus
ENSGALP00000043875	ENSGALG00000030613	gallus_gallus
ENSCPIP00010010545	ENSCPIG00010008164	chrysolophus_pictus
ENSPCLP00000012040	ENSPCLG00000009906	phasianus_colchicus
ENSMGAP00000006912	ENSMGAG00000006856	meleagris_gallopavo
ENSCPUP00000003154	ENSCPUG00000002424	calidris_pugnax
ENSCPGP00000023995	ENSCPGG00000016577	calidris_pygmaea
ENSFTIP00000016765	ENSFTIG00000011114	falco_tinnunculus
ENSBJAP00000007656	ENSBJAG00000005367	buteo_japonicus
ENSACCP00020020654	ENSACCG00020014132	aquila_chrysaetos_chrysaetos
ENSANIP00000012534	ENSANIG00000008500	accipiter_nisus
ENSOSUP00000002907	ENSOSUG00000002058	otus_sunia
ENSBOBP00000013282	ENSBOBG00000008398	bubo_bubo
ENSSOCP00000012116	ENSSOCG00000009168	strix_occidentalis_caurina
ENSACUP00000016913	ENSACUG00000011358	athene_cunicularia
ENSCMUP00000015294	ENSCMUG00000009540	corvus_moneduloides
ENSEGOP00005014441	ENSEGOG00005011790	erythrura_gouldiae
ENSLSDP00000013576	ENSLSDG00000009844	lonchura_striata_domestica
ENSTGUP00000000985	ENSTGUG00000000942	taeniopygia_guttata
ENSCCEP00000010048	ENSCCEG00000010099	cyanistes_caeruleus
ENSPMJP00000010293	ENSPMJG00000008128	parus_major
ENSFALP00000008280	ENSFALG00000007939	ficedula_albicollis
ENSSCAP00000016113	ENSSCAG00000011809	serinus_canaria
ENSZALP00000012301	ENSZALG00000010344	zonotrichia_albicollis
ENSJHYP00000020040	ENSJHYG00000015201	junco_hyemalis
ENSGFOP00000000135	ENSGFOG00000000122	geospiza_fortis
ENSCPVP00000015383	ENSCPVG00000011260	camarhynchus_parvulus
ENSCRFP00000001690	ENSCRFG00000001429	stachyris_ruficeps
ENSZLMP00000015150	ENSZLMG00000010510	zosterops_lateralis_melanops
ENSCUSP00005017346	ENSCUSG00005011134	catharus_ustulatus
ENSMCSP00000021178	ENSMCSG00000014806	malurus_cyaneus_samueli
ENSMVIP00005000478	ENSMVIG00005000288	manacus_vitellinus
ENSLCOP00000010050	ENSLCOG00000007167	lepidothrix_coronata
ENSMUNP00000002672	ENSMUNG00000002332	melopsittacus_undulatus
ENSACOP00000008171	ENSACOG00000005715	amazona_collaria
ENSSHBP00005006869	ENSSHBG00005005995	strigops_habroptila
ENSSHBP00005006886	ENSSHBG00005006031	strigops_habroptila
ENSOANP00000003631	ENSOANG00000002294	ornithorhynchus_anatinus
ENSSHAP00000020111	ENSSHAG00000017061	sarcophilus_harrisii
ENSMODP00000012168	ENSMODG00000009737	monodelphis_domestica
ENSPCIP00000026410	ENSPCIG00000019781	phascolarctos_cinereus
ENSVURP00010010564	ENSVURG00010008163	vombatus_ursinus
ENSMEUP00000005267	ENSMEUG00000005764	notamacropus_eugenii
ENSTBEP00000000522	ENSTBEG00000000575	tupaia_belangeri
ENSDNOP00000024299	ENSDNOG00000045278	dasypus_novemcinctus
ENSETEP00000007283	ENSETEG00000008967	echinops_telfairi
ENSLAFP00000014108	ENSLAFG00000016816	loxodonta_africana
ENSPCAP00000007817	ENSPCAG00000008306	procavia_capensis
ENSMLUP00000012051	ENSMLUG00000013238	myotis_lucifugus
ENSRFEP00010020772	ENSRFEG00010013950	rhinolophus_ferrumequinum
ENSPVAP00000001234	ENSPVAG00000001314	pteropus_vampyrus
ENSCHIP00000029847	ENSCHIG00000024821	capra_hircus
ENSCHIP00010001349	ENSCHIG00010001044	capra_hircus_blackbengal
ENSOARP00000007004	ENSOARG00000006538	ovis_aries
ENSOARP00020014869	ENSOARG00020011812	ovis_aries_rambouillet
ENSBIXP00000024767	ENSBIXG00000026907	bos_taurus_hybrid
ENSBIXP00005016651	ENSBIXG00005003405	bos_indicus_hybrid
ENSBGRP00000033423	ENSBGRG00000020782	bos_grunniens
ENSBMUP00000016000	ENSBMUG00000012182	bos_mutus
ENSBTAP00000064374	ENSBTAG00000002804	bos_taurus
ENSBBBP00000016116	ENSBBBG00000006246	bison_bison_bison
ENSMMSP00000002322	ENSMMSG00000001819	moschus_moschiferus
ENSCHYP00000006740	ENSCHYG00000004180	cervus_hanglu_yarkandensis
ENSBMSP00010001888	ENSBMSG00010001441	balaenoptera_musculus
ENSPCTP00005027549	ENSPCTG00005018275	physeter_catodon
ENSPSNP00000025093	ENSPSNG00000018303	phocoena_sinus
ENSDLEP00000006296	ENSDLEG00000004691	delphinapterus_leucas
ENSMMNP00015002762	ENSMMNG00015002105	monodon_monoceros
ENSTTRP00000013882	ENSTTRG00000014638	tursiops_truncatus
ENSCDRP00005003271	ENSCDRG00005002306	camelus_dromedarius
ENSSSCP00000015373	ENSSSCG00000022741	sus_scrofa
ENSCWAP00000008288	ENSCWAG00000006419	catagonus_wagneri
ENSECAP00000022400	ENSECAG00000024793	equus_caballus
ENSEASP00005003604	ENSEASG00005002763	equus_asinus_asinus
ENSFCAP00000003349	ENSFCAG00000003634	felis_catus
ENSLCNP00005009314	ENSLCNG00005006096	lynx_canadensis
ENSPLOP00000003632	ENSPLOG00000002606	panthera_leo
ENSPPRP00000023761	ENSPPRG00000014021	panthera_pardus
ENSPTIP00000004124	ENSPTIG00000006696	panthera_tigris_altaica
ENSSSUP00005030858	ENSSSUG00005019911	suricata_suricatta
ENSVVUP00000010070	ENSVVUG00000007442	vulpes_vulpes
ENSCAFP00020030246	ENSCAFG00020023594	canis_lupus_dingo
ENSCAFP00000000714	ENSCAFG00000018214	canis_lupus_familiaris
ENSCAFP00040016788	ENSCAFG00040010427	canis_lupus_familiarisgreatdane
ENSCAFP00030004078	ENSCAFG00030002489	canis_lupus_familiarisbasenji
ENSUAMP00000032250	ENSUAMG00000024657	ursus_americanus
ENSUTTP00000003183	ENSUTTG00000002026	ursus_thibetanus_thibetanus
ENSUMAP00000006011	ENSUMAG00000004358	ursus_maritimus
ENSAMEP00000005339	ENSAMEG00000004961	ailuropoda_melanoleuca
ENSNVIP00000001461	ENSNVIG00000001164	neovison_vison
ENSMPUP00000013885	ENSMPUG00000013990	mustela_putorius_furo
ENSZCAP00015006564	ENSZCAG00015004160	zalophus_californianus
ENSOGAP00000004108	ENSOGAG00000004602	otolemur_garnettii
ENSMICP00000002563	ENSMICG00000002797	microcebus_murinus
ENSPSMP00000034832	ENSPSMG00000023975	prolemur_simus
ENSPCOP00000030751	ENSPCOG00000028113	propithecus_coquereli
ENSTSYP00000029080	ENSTSYG00000026745	carlito_syrichta
ENSANAP00000038246	ENSANAG00000036549	aotus_nancymaae
ENSSBOP00000016719	ENSSBOG00000025037	saimiri_boliviensis_boliviensis
ENSCCAP00000027460	ENSCCAG00000031575	cebus_capucinus
ENSCJAP00000072743	ENSCJAG00000021070	callithrix_jacchus
ENSMFAP00000003821	ENSMFAG00000001633	macaca_fascicularis
ENSMMUP00000015166	ENSMMUG00000011557	macaca_mulatta
ENSMNEP00000019066	ENSMNEG00000033412	macaca_nemestrina
ENSCATP00000044728	ENSCATG00000044827	cercocebus_atys
ENSPANP00000007796	ENSPANG00000023735	papio_anubis
ENSTGEP00000002717	ENSTGEG00000002364	theropithecus_gelada
ENSMLEP00000004380	ENSMLEG00000019760	mandrillus_leucophaeus
ENSCSAP00000007868	ENSCSAG00000011671	chlorocebus_sabaeus
ENSRROP00000037297	ENSRROG00000042071	rhinopithecus_roxellana
ENSRBIP00000015019	ENSRBIG00000031617	rhinopithecus_bieti
ENSCANP00000008928	ENSCANG00000027868	colobus_angolensis_palliatus
ENSPTEP00000017986	ENSPTEG00000019461	piliocolobus_tephrosceles
ENSPPYP00000017839	ENSPPYG00000015943	pongo_abelii
ENSGGOP00000007098	ENSGGOG00000007244	gorilla_gorilla
ENSP00000261799	ENSG00000113721	homo_sapiens
ENSPPAP00000029028	ENSPPAG00000037485	pan_paniscus
ENSPTRP00000080188	ENSPTRG00000044533	pan_troglodytes
ENSNLEP00000012499	ENSNLEG00000010243	nomascus_leucogenys
ENSOCUP00000001483	ENSOCUG00000001725	oryctolagus_cuniculus
ENSOPRP00000007561	ENSOPRG00000008257	ochotona_princeps
ENSNGAP00000000737	ENSNGAG00000000534	nannospalax_galili
ENSMAUP00000011472	ENSMAUG00000012051	mesocricetus_auratus
ENSCGRP00001024844	ENSCGRG00001022643	cricetulus_griseus_chok1gshd
ENSCGRP00015027956	ENSCGRG00015021159	cricetulus_griseus_picr
ENSCGRP00000016235	ENSCGRG00000011776	cricetulus_griseus_crigri
ENSPEMP00000017087	ENSPEMG00000016131	peromyscus_maniculatus_bairdii
ENSMOCP00000016478	ENSMOCG00000015349	microtus_ochrogaster
ENSRNOP00000060534	ENSRNOG00000018461	rattus_norvegicus
MGP_PahariEiJ_P0039434	MGP_PahariEiJ_G0019048	mus_pahari
MGP_CAROLIEiJ_P0046851	MGP_CAROLIEiJ_G0022318	mus_caroli
ENSMUSP00000025522	ENSMUSG00000024620	mus_musculus
ENSMSIP00000002506	ENSMSIG00000002120	mus_spicilegus
MGP_SPRETEiJ_P0048798	MGP_SPRETEiJ_G0023230	mus_spretus
ENSMUGP00000001145	ENSMUGG00000000982	meriones_unguiculatus
ENSJJAP00000013388	ENSJJAG00000016117	jaculus_jaculus
ENSSVLP00005009799	ENSSVLG00005007828	sciurus_vulgaris
ENSMMMP00000022103	ENSMMMG00000019362	marmota_marmota_marmota
ENSUPAP00010015510	ENSUPAG00010012151	urocitellus_parryii
ENSSTOP00000023255	ENSSTOG00000025211	ictidomys_tridecemlineatus
ENSCLAP00000014022	ENSCLAG00000009688	chinchilla_lanigera
ENSODEP00000009609	ENSODEG00000007189	octodon_degus
ENSCAPP00000016385	ENSCAPG00000016261	cavia_aperea
ENSCPOP00000005411	ENSCPOG00000005994	cavia_porcellus
ENSFDAP00000023081	ENSFDAG00000021315	fukomys_damarensis
ENSHGLP00000005195	ENSHGLG00000003797	heterocephalus_glaber_female
ENSHGLP00100012241	ENSHGLG00100009065	heterocephalus_glaber_male
ENSDORP00000024733	ENSDORG00000009895	dipodomys_ordii
ENSCCNP00000032825	ENSCCNG00000031126	castor_canadensis
ENSEEUP00000000539	ENSEEUG00000000613	erinaceus_europaeus
